Unnamed: 0,DAL,SEA
First Downs,27,23
Rush-Yds-TDs,21-61-1,26-117-0
Cmp-Att-Yd-TD-INT,37-57-472-3-2,27-40-315-5-0
Sacked-Yards,2-11,4-20
Net Pass Yards,461,295
Total Yards,522,412
Fumbles-Lost,1-1,2-1
Turnovers,3,1
Penalties-Yards,10-59,5-30
Third Down Conv.,7-15,5-13
Fourth Down Conv.,2-2,1-1
Time of Possession,27:26,32:34
