Quarter,Time,Tm,Detail,BAL,NYJ
1.0,10:54,Jets,Nick Folk 23 yard field goal,0,3
2.0,8:16,Jets,Nick Folk 28 yard field goal,0,6
,0:06,Ravens,Willis McGahee 1 yard rush (Billy Cundiff kick),7,6
3.0,7:07,Ravens,Billy Cundiff 25 yard field goal,10,6
4.0,10:29,Jets,Nick Folk 48 yard field goal,10,9
