Unnamed: 0,BAL,NYJ
First Downs,20,6
Rush-Yds-TDs,35-49-1,21-116-0
Cmp-Att-Yd-TD-INT,20-38-248-0-1,10-21-74-0-0
Sacked-Yards,2-15,2-14
Net Pass Yards,233,60
Total Yards,282,176
Fumbles-Lost,2-2,3-1
Turnovers,3,1
Penalties-Yards,5-38,14-125
Third Down Conv.,11-19,1-11
Fourth Down Conv.,0-0,0-1
Time of Possession,38:32,21:28
