Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Billy Cundiff kicks off 66 yards, returned by Brad Smith for 17 yards (tackle by David Reed)",0.000,0.340
1,14:56,1,10,NYJ 21,0,0,Braylon Edwards left end for 4 yards (tackle by Dawan Landry),0.340,0.340
1,14:13,2,6,NYJ 25,0,0,"Mark Sanchez pass complete short left to Shonn Greene for 9 yards (tackle by Terrell Suggs). Shonn Greene fumbles (forced by Terrell Suggs), ball out of bounds at NYJ-34",0.340,1.200
1,13:45,1,10,NYJ 34,0,0,Shonn Greene right guard for 2 yards (tackle by Kelly Gregg and Jameel McClain),1.200,0.930
1,13:04,2,8,NYJ 36,0,0,Mark Sanchez pass incomplete deep right intended for Braylon Edwards,0.930,0.230
1,12:59,3,8,NYJ 36,0,0,Mark Sanchez pass incomplete short right intended for Dustin Keller,0.230,-0.980
1,12:52,4,8,NYJ 36,0,0,"Steve Weatherford punts 54 yards, returned by Tom Zbikowski for 10 yards (tackle by Vernon Gholston)",-0.980,-0.280
1,12:37,1,10,BAL 20,0,0,"Joe Flacco sacked by Shaun Ellis for -2 yards. Joe Flacco fumbles (forced by Shaun Ellis), recovered by Sione Pouha at BAL-13 and returned for 2 yards (tackle by Ben Grubbs)",0.280,-4.840
1,12:30,1,10,BAL 11,0,0,LaDainian Tomlinson right guard for 2 yards (tackle by Ray Lewis),4.840,4.510
1,11:48,2,8,BAL 9,0,0,Mark Sanchez pass complete short right to Dustin Keller for 4 yards (tackle by Chris Carr),4.510,4.440
1,11:04,3,4,BAL 5,0,0,Mark Sanchez pass incomplete short right intended for Braylon Edwards,4.440,3.010
1,11:04,4,4,BAL 5,0,3,Nick Folk 23 yard field goal good,3.010,3.000
1,,,,NYJ 30,0,3,"Nick Folk kicks off 63 yards, returned by Jalen Parmele for 23 yards (tackle by Eric Smith)",0.000,0.940
1,10:49,1,10,BAL 30,0,3,Ray Rice middle for no gain (tackle by Bryan Thomas and Sione Pouha),0.940,0.390
1,10:12,2,10,BAL 30,0,3,Ray Rice right end for 1 yard (tackle by Bart Scott),0.390,-0.160
1,9:41,3,9,BAL 31,0,3,Joe Flacco pass complete short middle to Anquan Boldin for 14 yards (tackle by Kyle Wilson). Penalty on Darrelle Revis: Defensive Holding (Declined),-0.160,1.930
1,9:12,1,10,BAL 45,0,3,Joe Flacco pass complete short right to Willis McGahee for -6 yards (tackle by Bart Scott and Kris Jenkins),1.930,0.570
1,8:31,2,16,BAL 39,0,3,Le'Ron McClain right guard for 3 yards (tackle by Bryan Thomas and Mike DeVito),0.570,0.300
1,8:00,3,13,BAL 42,0,3,Joe Flacco pass complete deep right to Todd Heap for 16 yards (tackle by Dwight Lowery),0.300,2.790
1,7:17,1,10,NYJ 42,0,3,Ray Rice right tackle for no gain (tackle by Shaun Ellis and Bart Scott),2.790,2.240
1,6:37,2,10,NYJ 42,0,3,Joe Flacco pass complete short left to Anquan Boldin for 7 yards (tackle by Jim Leonhard),2.240,2.480
1,5:52,3,3,NYJ 35,0,3,Joe Flacco pass complete short left to Todd Heap for 6 yards (tackle by Jim Leonhard),2.480,3.640
1,5:17,1,10,NYJ 29,0,3,Joe Flacco pass incomplete deep left intended for Todd Heap (defended by Kyle Wilson),3.640,3.100
1,5:10,2,10,NYJ 29,0,3,Ray Rice left tackle for -3 yards (tackle by Jason Taylor),3.100,2.020
1,5:10,3,13,NYJ 32,0,3,"Penalty on Ray Rice: False Start, 5 yards (no play)",2.020,1.360
1,4:05,3,18,NYJ 37,0,3,"Joe Flacco pass complete short right to Derrick Mason for 11 yards. Penalty on Chris Chester: Offensive Holding, 10 yards (no play)",1.360,0.040
1,3:37,3,28,NYJ 47,0,3,"Joe Flacco pass complete short left to Ray Rice for no gain. Penalty on Kyle Wilson: Defensive Holding, 5 yards (no play)",0.040,2.790
1,3:04,,,,0,3,Timeout #1 by Baltimore Ravens,0.000,2.790
1,3:03,1,10,NYJ 42,0,3,Joe Flacco pass complete short right to Ray Rice for 16 yards (tackle by David Harris),2.790,3.840
1,2:28,1,10,NYJ 26,0,3,Ray Rice left end for 6 yards (tackle by Sione Pouha),3.840,4.110
1,1:46,2,4,NYJ 20,0,3,"Willis McGahee left tackle for -2 yards (tackle by Bart Scott and Vernon Gholston). Willis McGahee fumbles (forced by Bart Scott), recovered by Sione Pouha at NYJ-22 (tackle by Matt Birk)",4.110,-0.410
1,1:38,1,10,NYJ 22,0,3,Brad Smith right tackle for 5 yards (tackle by Haloti Ngata and Kelly Gregg),0.410,0.540
1,0:57,2,5,NYJ 27,0,3,LaDainian Tomlinson left end for 21 yards (tackle by Tom Zbikowski),0.540,2.130
1,0:09,1,10,NYJ 48,0,3,LaDainian Tomlinson left tackle for 1 yard (tackle by Terrell Suggs),2.130,1.720
Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,NYJ 49,0,3,Mark Sanchez pass complete short middle to Tony Richardson for 5 yards (tackle by Jameel McClain),1.720,1.680
2,14:21,3,4,BAL 46,0,3,Shonn Greene right guard for 3 yards (tackle by Ray Lewis and Haloti Ngata),1.680,0.400
2,13:40,4,1,BAL 43,0,3,"Steve Weatherford punts 30 yards, fair catch by Tom Zbikowski",0.400,0.320
2,13:32,1,10,BAL 13,0,3,Ray Rice left end for 4 yards (tackle by Eric Smith),-0.320,-0.300
2,12:53,2,6,BAL 17,0,3,Joe Flacco pass complete short right to Todd Heap for 4 yards (tackle by Jim Leonhard),-0.300,-0.470
2,12:15,3,2,BAL 21,0,3,Joe Flacco sacked by Bryan Thomas for -8 yards,-0.470,-2.490
2,11:58,4,10,BAL 13,0,3,"Sam Koch punts 56 yards, returned by Jim Leonhard for 32 yards (tackle by Sam Koch)",-2.490,-3.120
2,11:39,1,10,BAL 37,0,3,"Mark Sanchez pass complete deep right to Dustin Keller for 33 yards (tackle by Tom Zbikowski). Penalty on Braylon Edwards: Illegal Shift, 5 yards (no play)",3.120,2.790
2,11:06,,,,0,3,Timeout #1 by New York Jets,0.000,2.790
2,11:06,1,15,BAL 42,0,3,"Shonn Greene right end for 8 yards (tackle by Jameel McClain). Penalty on Jameel McClain: Horse Collar Tackle, 15 yards",2.790,4.310
2,10:47,1,10,BAL 19,0,3,Shonn Greene right tackle for 3 yards (tackle by Terrell Suggs and Dawan Landry),4.310,4.180
2,10:10,2,7,BAL 16,0,3,"Penalty on D'Brickashaw Ferguson: False Start, 5 yards (no play)",4.180,3.490
2,9:44,2,12,BAL 21,0,3,LaDainian Tomlinson left tackle for 5 yards (tackle by Tavares Gooden),3.490,3.410
2,9:00,3,7,BAL 16,0,3,Mark Sanchez middle for 6 yards,3.410,2.910
2,8:21,,,,0,3,Timeout #2 by New York Jets,0.000,2.910
2,8:21,4,1,BAL 10,0,6,"Nick Folk 28 yard field goal good. Penalty on Wayne Hunter: Unnecessary Roughness, 15 yards",2.910,3.000
2,,,,NYJ 15,0,6,"Nick Folk kicks off 67 yards, returned by Jalen Parmele for 18 yards (tackle by Lance Laury)",0.000,1.330
2,8:09,1,10,BAL 36,0,6,Ray Rice right guard for 1 yard (tackle by Shaun Ellis and Bart Scott),1.330,0.930
2,7:24,2,9,BAL 37,0,6,Joe Flacco pass incomplete short right intended for Anquan Boldin,0.930,0.230
2,7:19,3,9,BAL 37,0,6,"Joe Flacco pass incomplete deep left intended for Derrick Mason. Penalty on Antonio Cromartie: Defensive Pass Interfere, 28 yards (no play)",0.230,3.250
2,7:07,1,10,NYJ 35,0,6,Ray Rice left end for 1 yard (tackle by Mike DeVito and Jason Taylor),3.250,2.840
2,6:30,2,9,NYJ 34,0,6,Joe Flacco pass incomplete short right intended for T.J. Houshmandzadeh (defended by Kyle Wilson),2.840,2.150
2,6:25,3,9,NYJ 34,0,6,Joe Flacco pass complete short left to Derrick Mason for 12 yards,2.150,4.110
2,5:57,1,10,NYJ 22,0,6,Ray Rice left guard for 2 yards (tackle by Mike DeVito and Sione Pouha),4.110,3.830
2,5:17,2,8,NYJ 20,0,6,Joe Flacco pass incomplete deep left intended for Anquan Boldin is intercepted by Antonio Cromartie at NYJ-3 and returned for 66 yards,3.830,-3.510
,,,,,,,"BAL challenged the runner was in bounds ruling, and the play was upheld.",,
2,4:58,1,10,BAL 31,0,6,Mark Sanchez pass complete short right to Jerricho Cotchery for 5 yards (tackle by Chris Carr),3.510,3.640
2,4:17,2,5,BAL 26,0,6,"Shonn Greene right guard for 2 yards. Shonn Greene fumbles, recovered by Dawan Landry at BAL-24",3.640,-0.540
2,4:09,1,10,BAL 24,0,6,Ray Rice left guard for 3 yards (tackle by Mike DeVito),0.540,0.400
2,4:09,2,7,BAL 27,0,6,Ray Rice left guard for 4 yards (tackle by Bart Scott and Eric Smith),0.400,0.230
2,2:47,3,3,BAL 31,0,6,Joe Flacco pass complete deep left to T.J. Houshmandzadeh for 27 yards (tackle by Antonio Cromartie),0.230,2.790
2,2:11,1,10,NYJ 42,0,6,"Joe Flacco pass incomplete deep left intended for T.J. Houshmandzadeh. Penalty on Antonio Cromartie: Defensive Holding, 5 yards (no play)",2.790,3.120
2,2:06,1,10,NYJ 37,0,6,Joe Flacco pass incomplete short right intended for Todd Heap (defended by Jason Taylor),3.120,2.570
2,2:01,2,10,NYJ 37,0,6,Joe Flacco pass complete short middle to Derrick Mason for 9 yards (tackle by Antonio Cromartie and Eric Smith),2.570,3.070
2,1:56,3,1,NYJ 28,0,6,Willis McGahee right guard for no gain (tackle by David Harris),3.070,1.720
2,1:11,4,1,NYJ 28,0,6,"Billy Cundiff 46 yard field goal good. Penalty on Braylon Edwards: Running Into the Kicker, 5 yards (no play)",1.720,4.040
2,1:05,1,10,NYJ 23,0,6,Joe Flacco pass incomplete short right intended for T.J. Houshmandzadeh,4.040,3.500
2,1:01,2,10,NYJ 23,0,6,Joe Flacco pass incomplete deep left intended for T.J. Houshmandzadeh,3.500,2.810
2,0:56,3,10,NYJ 23,0,6,"Joe Flacco pass incomplete deep middle intended for T.J. Houshmandzadeh. Penalty on Kyle Wilson: Defensive Pass Interfere, 22 yards (no play)",2.810,6.970
2,0:50,1,1,NYJ 1,0,6,Willis McGahee left guard for no gain (tackle by James Ihedigbo and Eric Smith),6.970,5.910
2,0:16,2,1,NYJ 1,0,6,Joe Flacco pass incomplete short right intended for Le'Ron McClain,5.910,5.170
2,0:11,3,1,NYJ 1,6,6,"Willis McGahee left tackle for 1 yard, touchdown",5.170,7.000
2,,,,NYJ 2,7,6,"Billy Cundiff kicks extra point good. Penalty on Antonio Cromartie: Defensive Offside, 5 yards",0.000,0.000
2,,,,BAL 35,7,6,"Billy Cundiff kicks off 65 yards, touchback",0.000,0.280
2,0:06,1,10,NYJ 20,7,6,"Penalty on Wayne Hunter: Illegal Substitution, 5 yards (no play)",0.280,-0.310
2,0:06,1,15,NYJ 15,7,6,Mark Sanchez kneels for -1 yards,-0.310,-1.180
Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,7,6,"Nick Folk kicks off 57 yards, returned by Tom Zbikowski for 15 yards (tackle by Brad Smith)",0.000,0.810
3,14:53,1,10,BAL 28,7,6,Joe Flacco pass complete short right to Le'Ron McClain for 5 yards (tackle by Jim Leonhard and Sione Pouha),0.810,0.940
