Unnamed: 0,ATL,CAR
First Downs,12,27
Rush-Yds-TDs,20-78-0,33-131-2
Cmp-Att-Yd-TD-INT,20-27-219-1-3,23-37-249-1-2
Sacked-Yards,1-8,1-7
Net Pass Yards,211,242
Total Yards,289,373
Fumbles-Lost,1-1,1-0
Turnovers,4,2
Penalties-Yards,7-59,2-15
Third Down Conv.,4-10,8-14
Fourth Down Conv.,0-0,1-1
Time of Possession,23:29,36:31
