Unnamed: 0,CAR,TEN
First Downs,19,15
Rush-Yds-TDs,32-96-1,24-80-2
Cmp-Att-Yd-TD-INT,18-31-194-0-0,18-28-185-0-0
Sacked-Yards,4-32,1-1
Net Pass Yards,162,184
Total Yards,258,264
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,4-35,8-53
Third Down Conv.,6-16,2-11
Fourth Down Conv.,2-3,1-1
Time of Possession,33:49,26:11
