Quarter,Time,Tm,Detail,CAR,TEN
1.0,0:34,Titans,Derrick Henry 1 yard rush (Nick Folk kick),0,7
2.0,8:51,Panthers,Eddy Pineiro 50 yard field goal,3,7
,2:27,Titans,Derrick Henry 10 yard rush (Nick Folk kick),3,14
,0:00,Titans,Nick Folk 53 yard field goal,3,17
3.0,8:06,Panthers,Chuba Hubbard 5 yard rush (Eddy Pineiro kick),10,17
