Unnamed: 0,HOU,CIN
First Downs,25,16
Rush-Yds-TDs,28-144-0,29-101-0
Cmp-Att-Yd-TD-INT,26-44-300-2-1,16-28-189-1-0
Sacked-Yards,5-32,1-5
Net Pass Yards,268,184
Total Yards,412,285
Fumbles-Lost,4-3,2-2
Turnovers,4,2
Penalties-Yards,5-50,3-27
Third Down Conv.,9-16,5-13
Fourth Down Conv.,0-1,1-1
Time of Possession,31:44,28:16
