Unnamed: 0,BUF,OAK
First Downs,24,24
Rush-Yds-TDs,30-212-3,32-139-2
Cmp-Att-Yd-TD-INT,18-35-191-0-1,19-35-260-2-0
Sacked-Yards,4-21,0-0
Net Pass Yards,170,260
Total Yards,382,399
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,8-73,7-65
Third Down Conv.,9-15,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:15,29:45
