Quarter,Time,Tm,Detail,BUF,OAK
1.0,8:02,Bills,Dan Carpenter 27 yard field goal,3,0
,4:35,Raiders,Sebastian Janikowski 47 yard field goal,3,3
2.0,13:28,Bills,Mike Gillislee 1 yard rush (Dan Carpenter kick),10,3
,2:56,Raiders,Sebastian Janikowski 41 yard field goal,10,6
,0:00,Raiders,Sebastian Janikowski 47 yard field goal,10,9
3.0,14:03,Bills,Tyrod Taylor 12 yard rush (Dan Carpenter kick),17,9
,9:01,Bills,Mike Gillislee 2 yard rush (Dan Carpenter kick),24,9
,5:17,Raiders,Michael Crabtree 3 yard pass from Derek Carr (Sebastian Janikowski kick),24,16
,0:57,Raiders,Latavius Murray 1 yard rush (Sebastian Janikowski kick),24,23
4.0,14:08,Raiders,Amari Cooper 37 yard pass from Derek Carr (Sebastian Janikowski kick),24,30
,8:34,Raiders,Latavius Murray 3 yard rush (Seth Roberts pass from Derek Carr),24,38
