Quarter,Time,Down,ToGo,Location,BUF,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,1,10,OAK 25,0,0,Latavius Murray middle for 5 yards (tackle by Marcell Dareus and James Ihedigbo),0.610,0.740
1,14:25,2,5,OAK 30,0,0,Latavius Murray left guard for no gain (tackle by Brandon Spikes),0.740,0.040
1,13:54,3,5,OAK 30,0,0,"Penalty on Kyle Williams: Neutral Zone Infraction, 5 yards (no play)",0.040,1.270
1,13:36,1,10,OAK 35,0,0,Derek Carr pass incomplete short middle intended for Mychal Rivera,1.270,0.720
1,13:32,2,10,OAK 35,0,0,Derek Carr pass incomplete short right intended for Mychal Rivera,0.720,0.040
1,13:25,3,10,OAK 35,0,0,"Derek Carr pass complete deep middle to Amari Cooper for 51 yards (tackle by Corey Graham). Penalty on Austin Howard: Illegal Formation, 5 yards (no play)",0.040,-0.630
1,12:59,3,15,OAK 30,0,0,Derek Carr pass complete short middle to Latavius Murray for 5 yards (tackle by Lorenzo Alexander and Corey Graham),-0.630,-1.040
1,12:20,4,10,OAK 35,0,0,"Marquette King punts 46 yards, fair catch by Brandon Tate",-1.040,-0.150
1,12:12,1,10,BUF 19,0,0,Tyrod Taylor pass complete deep left to Sammy Watkins for 16 yards (tackle by Sean Smith),0.150,1.270
1,11:49,1,10,BUF 35,0,0,Tyrod Taylor pass incomplete short middle intended for Justin Hunter,1.270,0.720
1,11:45,2,10,BUF 35,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 8 yards (tackle by Malcolm Smith),0.720,1.090
1,11:10,3,2,BUF 43,0,0,Tyrod Taylor pass complete short right to Sammy Watkins for 16 yards (tackle by Reggie Nelson),1.090,2.850
1,10:38,1,10,OAK 41,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 10 yards (tackle by Khalil Mack),2.850,3.510
1,10:25,1,10,OAK 31,0,0,Tyrod Taylor pass complete deep right to Justin Hunter for 22 yards (tackle by David Amerson),3.510,5.140
1,10:00,1,9,OAK 9,0,0,LeSean McCoy middle for 3 yards (tackle by Perry Riley and Reggie Nelson),5.140,4.950
1,9:27,2,6,OAK 6,0,0,Tyrod Taylor pass complete short right to LeSean McCoy for 3 yards (tackle by Perry Riley),4.950,4.720
1,8:51,3,3,OAK 3,0,0,Tyrod Taylor sacked by Bruce Irvin for -6 yards,4.720,2.830
1,8:06,4,9,OAK 9,3,0,Dan Carpenter 27 yard field goal good,2.830,3.000
1,8:02,,,BUF 35,3,0,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
1,8:02,1,10,OAK 25,3,0,Latavius Murray left tackle for 22 yards (tackle by James Ihedigbo),0.610,2.060
1,7:24,1,10,OAK 47,3,0,Latavius Murray middle for 1 yard (tackle by Kyle Williams and Zach Brown),2.060,1.650
1,6:43,2,9,OAK 48,3,0,Derek Carr pass incomplete short left intended for Amari Cooper,1.650,0.960
1,6:39,3,9,OAK 48,3,0,Derek Carr pass complete deep middle to Mychal Rivera for 26 yards (tackle by Corey Graham and Corey White),0.960,3.840
1,5:58,1,10,BUF 26,3,0,"Jalen Richard left tackle for 7 yards (tackle by Corey White). Penalty on Vadal Alexander: Offensive Holding, 10 yards (no play)",3.840,3.180
1,5:43,1,20,BUF 36,3,0,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",3.180,3.510
1,5:30,1,15,BUF 31,3,0,Jalen Richard right guard for 2 yards (tackle by Preston Brown and Leger Douzable),3.510,2.890
1,4:50,2,13,BUF 29,3,0,Derek Carr pass incomplete short right intended for Amari Cooper,2.890,2.210
1,4:44,3,13,BUF 29,3,0,Derek Carr pass incomplete short right intended for Latavius Murray,2.210,1.500
1,4:40,4,13,BUF 29,3,3,Sebastian Janikowski 47 yard field goal good,1.500,3.000
1,4:35,,,OAK 35,3,3,"Sebastian Janikowski kicks off 63 yards, returned by Brandon Tate for 18 yards (tackle by Andre Holmes)",0.000,-0.280
1,4:30,1,10,BUF 20,3,3,LeSean McCoy right guard for 1 yard (tackle by Branden Jackson),0.280,-0.130
1,3:50,2,9,BUF 21,3,3,Tyrod Taylor pass complete short right to Gerald Christian for 14 yards (tackle by Perry Riley and Karl Joseph),-0.130,1.270
1,3:15,1,10,BUF 35,3,3,LeSean McCoy left guard for 1 yard (tackle by Perry Riley and Khalil Mack),1.270,0.860
1,2:40,2,9,BUF 36,3,3,Tyrod Taylor pass complete short middle to Brandon Tate for 13 yards (tackle by T.J. Carrie),0.860,2.190
1,2:04,1,10,BUF 49,3,3,LeSean McCoy right end for 8 yards (tackle by David Amerson),2.190,2.730
1,1:33,2,2,OAK 43,3,3,Mike Gillislee right guard for 29 yards (tackle by David Amerson),2.730,4.650
1,1:08,1,10,OAK 14,3,3,Mike Gillislee middle for 5 yards (tackle by Jihad Ward),4.650,4.900
1,0:30,2,5,OAK 9,3,3,LeSean McCoy right end for 4 yards (tackle by Karl Joseph),4.900,4.960
Quarter,Time,Down,ToGo,Location,BUF,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,OAK 5,3,3,Mike Gillislee middle for 4 yards (tackle by Reggie Nelson and Jihad Ward),4.960,6.970
2,14:12,1,1,OAK 1,3,3,Jerome Felton middle for no gain (tackle by Denico Autry and Perry Riley),6.970,5.910
2,13:31,2,1,OAK 1,9,3,"Mike Gillislee left guard for 1 yard, touchdown",5.910,7.000
2,13:28,,,OAK 15,10,3,Dan Carpenter kicks extra point good,0.000,0.000
2,13:28,,,BUF 35,10,3,"Dan Carpenter kicks off 67 yards, returned by Jalen Richard for 22 yards (tackle by Lerentee McCray)",0.000,-0.280
2,13:23,1,10,OAK 20,10,3,Derek Carr pass complete short left to Taiwan Jones for 11 yards (tackle by Kyle Williams),0.280,1.000
2,12:44,1,10,OAK 31,10,3,Latavius Murray left tackle for no gain (tackle by Shaq Lawson),1.000,0.460
2,12:12,2,10,OAK 31,10,3,Derek Carr pass complete short middle to Michael Crabtree for 9 yards (tackle by Corey White),0.460,0.960
2,11:31,3,1,OAK 40,10,3,Latavius Murray middle for no gain (tackle by Preston Brown),0.960,-0.720
2,10:46,4,1,OAK 40,10,3,"Marquette King punts 60 yards, touchback",-0.720,-0.280
2,10:37,1,10,BUF 20,10,3,Tyrod Taylor pass complete short right to Nick O'Leary for 8 yards (tackle by Sean Smith),0.280,0.810
2,10:02,2,2,BUF 28,10,3,LeSean McCoy for 14 yards,0.810,1.730
2,9:24,1,10,BUF 42,10,3,LeSean McCoy middle for 6 yards (tackle by Karl Joseph and Dan Williams),1.730,2.000
2,8:45,2,4,BUF 48,10,3,Tyrod Taylor sacked by James Cowser for -10 yards,2.000,-0.030
2,7:57,3,14,BUF 38,10,3,"Tyrod Taylor for 21 yards (tackle by Sean Smith). Penalty on Richie Incognito: Offensive Holding, 10 yards (no play)",-0.030,-1.350
2,7:34,3,24,BUF 28,10,3,Tyrod Taylor pass incomplete deep left intended for Marquise Goodwin,-1.350,-1.500
2,7:26,4,24,BUF 28,10,3,"Colton Schmidt punts 33 yards, out of bounds",-1.500,-1.530
2,7:20,1,10,OAK 39,10,3,Amari Cooper left end for no gain (tackle by Stephon Gilmore and Shaq Lawson),1.530,0.990
2,6:42,2,10,OAK 39,10,3,Latavius Murray left guard for 11 yards (tackle by Kyle Williams and Corey White),0.990,2.260
2,5:55,1,10,,10,3,Latavius Murray middle for 2 yards (tackle by Marcell Dareus and Kyle Williams),2.260,1.980
2,5:30,2,8,BUF 48,10,3,Derek Carr pass complete short right to Michael Crabtree for 4 yards (tackle by Kevon Seymour),1.980,1.820
2,5:09,3,4,BUF 44,10,3,"Derek Carr pass incomplete deep left intended for Amari Cooper. Penalty on Stephon Gilmore: Defensive Pass Interference, 23 yards (no play)",1.820,4.170
2,5:03,1,10,BUF 21,10,3,Derek Carr pass incomplete deep middle intended for Seth Roberts (defended by Corey Graham),4.170,3.630
2,4:57,2,10,BUF 21,10,3,Jalen Richard middle for 8 yards (tackle by James Ihedigbo),3.630,4.240
2,4:14,3,2,BUF 13,10,3,Jalen Richard middle for 2 yards (tackle by Kyle Williams and Preston Brown),4.240,4.840
2,3:43,1,10,BUF 11,10,3,Derek Carr pass incomplete short middle intended for Michael Crabtree,4.840,4.140
2,3:39,2,10,BUF 11,10,3,Derek Carr right end for 3 yards (tackle by Nickell Robey-Coleman),4.140,3.760
2,3:06,3,7,BUF 8,10,3,"Derek Carr pass incomplete short middle intended for Michael Crabtree. Penalty on Michael Crabtree: Taunting, 15 yards",3.760,1.930
2,3:01,4,22,BUF 23,10,6,Sebastian Janikowski 41 yard field goal good,1.930,3.000
2,2:56,,,OAK 35,10,6,"Sebastian Janikowski kicks off 66 yards, returned by Brandon Tate for 25 yards (tackle by Brynden Trawick)",0.000,-0.540
2,2:50,1,10,BUF 24,10,6,LeSean McCoy left end for 6 yards (tackle by Karl Joseph),0.540,0.810
2,2:23,2,4,BUF 30,10,6,Tyrod Taylor pass incomplete deep right intended for Marquise Goodwin,0.810,0.100
2,2:17,3,4,BUF 30,10,6,"Penalty on Tyrod Taylor: Delay of Game, 5 yards (no play)",0.100,-0.560
2,2:17,3,9,BUF 25,10,6,Tyrod Taylor left end for 9 yards (tackle by Bruce Irvin),-0.560,1.200
2,2:00,1,10,BUF 34,10,6,LeSean McCoy right guard for -2 yards (tackle by Khalil Mack),1.200,0.390
2,1:20,2,12,BUF 32,10,6,LeSean McCoy right tackle for 9 yards (tackle by David Amerson),0.390,0.890
2,0:41,3,3,BUF 41,10,6,Tyrod Taylor pass incomplete short right intended for Sammy Watkins,0.890,-0.650
2,0:37,4,3,BUF 41,10,6,"Colton Schmidt punts 44 yards, out of bounds",-0.650,0.220
2,0:30,1,10,OAK 15,10,6,Derek Carr pass complete short middle to Amari Cooper for 22 yards (tackle by Nickell Robey-Coleman),-0.220,0.000
2,0:23,,,,10,6,Timeout #1 by Oakland Raiders,0.000,-1.400
2,0:23,1,10,OAK 37,10,6,Derek Carr pass complete short middle to Michael Crabtree for 17 yards (tackle by Corey Graham and Kevon Seymour),1.400,0.000
2,0:15,,,,10,6,Timeout #2 by Oakland Raiders,0.000,-2.520
2,0:15,1,10,BUF 46,10,6,Derek Carr pass complete short left to Latavius Murray for 10 yards (tackle by Corey Graham),2.520,3.180
2,0:10,1,10,BUF 36,10,6,Derek Carr pass complete short left to Latavius Murray for 8 yards (tackle by Stephon Gilmore),3.180,0.000
2,0:05,,,,10,6,Timeout #1 by Buffalo Bills,0.000,-3.720
2,0:05,2,2,BUF 28,10,9,Sebastian Janikowski 47 yard field goal good,3.720,3.000
Quarter,Time,Down,ToGo,Location,BUF,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,10,9,"Sebastian Janikowski kicks off 57 yards, returned by Brandon Tate for 26 yards (tackle by Johnny Holton)",0.000,-1.200
3,14:53,1,10,BUF 34,10,9,LeSean McCoy left guard for 54 yards (tackle by Khalil Mack and T.J. Carrie),1.200,4.780
3,14:08,1,10,OAK 12,16,9,"Tyrod Taylor right end for 12 yards, touchdown",4.780,7.000
3,14:03,,,OAK 15,17,9,Dan Carpenter kicks extra point good,0.000,0.000
3,14:03,,,BUF 35,17,9,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
3,14:03,1,10,OAK 25,17,9,Derek Carr right end for 1 yard (tackle by Kevon Seymour),0.610,0.200
3,13:34,2,9,OAK 26,17,9,Derek Carr pass incomplete short right intended for Clive Walford,0.200,-0.490
3,13:24,3,9,OAK 26,17,9,Derek Carr pass incomplete short middle intended for Seth Roberts,-0.490,-1.630
3,13:21,4,9,OAK 26,17,9,Marquette King punts 28 yards,-1.630,-1.990
3,13:11,1,10,BUF 46,17,9,"Tyrod Taylor pass incomplete short middle intended for Brandon Tate. Penalty on David Amerson: Defensive Holding, 5 yards (no play)",1.990,2.320
3,13:07,1,10,OAK 49,17,9,Tyrod Taylor pass complete short left to Marquise Goodwin for 11 yards,2.320,3.050
3,12:42,1,10,OAK 38,17,9,Tyrod Taylor pass incomplete deep left intended for Marquise Goodwin,3.050,2.510
3,12:33,2,10,OAK 38,17,9,LeSean McCoy middle for 9 yards (tackle by Malcolm Smith and Nate Allen),2.510,3.010
3,12:03,3,1,OAK 29,17,9,Mike Gillislee right guard for 5 yards (tackle by Perry Riley and Nate Allen),3.010,3.970
3,11:23,1,10,OAK 24,17,9,Tyrod Taylor pass incomplete short left intended for Sammy Watkins,3.970,3.430
3,11:20,2,10,OAK 24,17,9,LeSean McCoy right guard for 8 yards (tackle by Sean Smith),3.430,3.950
3,10:43,3,2,OAK 16,17,9,Tyrod Taylor pass complete short right to Marquise Goodwin for 5 yards (tackle by David Amerson),3.950,4.840
3,10:15,1,10,OAK 11,17,9,Tyrod Taylor pass complete short middle to Sammy Watkins for 6 yards (tackle by T.J. Carrie),4.840,5.280
3,9:36,2,4,OAK 5,17,9,Mike Gillislee left guard for 3 yards (tackle by Perry Riley and Reggie Nelson),5.280,5.120
3,9:05,3,1,OAK 2,23,9,"Mike Gillislee middle for 2 yards, touchdown",5.120,7.000
3,9:01,,,OAK 15,24,9,Dan Carpenter kicks extra point good,0.000,0.000
3,9:01,,,BUF 35,24,9,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
3,9:01,1,10,OAK 25,24,9,Derek Carr pass complete short middle to Clive Walford for 18 yards (tackle by Kyle Williams),0.610,1.800
3,8:31,1,10,OAK 43,24,9,Jalen Richard right tackle for 1 yard (tackle by Lorenzo Alexander),1.800,1.390
3,7:59,2,9,OAK 44,24,9,Derek Carr pass complete short right to Seth Roberts for 14 yards (tackle by Zach Brown and Corey Graham),1.390,2.790
3,7:30,1,10,BUF 42,24,9,Derek Carr pass complete short left to Seth Roberts for 4 yards (tackle by Stephon Gilmore),2.790,2.780
3,7:02,2,6,BUF 38,24,9,Latavius Murray middle for 14 yards (tackle by Kyle Williams and Lorenzo Alexander),2.780,3.970
3,6:38,1,10,BUF 24,24,9,Derek Carr pass complete deep middle to Michael Crabtree for 19 yards (tackle by Corey Graham),3.970,0.000
3,6:11,,,,24,9,Timeout #1 by Buffalo Bills,0.000,-6.060
3,6:11,1,5,BUF 5,24,9,Derek Carr pass incomplete short right intended for Michael Crabtree,6.060,5.150
3,6:06,2,5,BUF 5,24,9,Latavius Murray left tackle for 2 yards (tackle by Marcell Dareus and Corey Graham),5.150,4.720
3,5:22,3,3,BUF 3,24,15,"Derek Carr pass complete short middle to Michael Crabtree for 3 yards, touchdown",4.720,7.000
3,5:17,,,BUF 15,24,16,Sebastian Janikowski kicks extra point good,0.000,0.000
3,5:17,,,OAK 35,24,16,"Sebastian Janikowski kicks off 65 yards, returned by Brandon Tate for 14 yards (tackle by Andre Holmes)",0.000,0.280
3,5:12,1,10,BUF 14,24,16,LeSean McCoy left end for 6 yards (tackle by Perry Riley),-0.280,0.150
3,4:55,2,4,BUF 20,24,16,Mike Gillislee middle for no gain (tackle by Perry Riley and Malcolm Smith),0.150,-0.680
3,4:13,3,4,BUF 20,24,16,Tyrod Taylor pass incomplete short right intended for Sammy Watkins,-0.680,-2.030
3,4:09,4,4,BUF 20,24,16,"Colton Schmidt punts 35 yards, returned by Jalen Richard for 17 yards (tackle by Sergio Brown)",-2.030,-3.050
3,4:00,1,10,BUF 38,24,16,Derek Carr pass complete short middle to Michael Crabtree for 4 yards (tackle by Zach Brown),3.050,3.050
3,3:16,2,6,BUF 34,24,16,Jalen Richard left guard for 21 yards (tackle by Zach Brown),3.050,4.710
3,2:29,1,10,BUF 13,24,16,Jalen Richard right tackle for 3 yards (tackle by Corey Graham and Zach Brown),4.710,4.580
3,1:46,2,7,BUF 10,24,16,Derek Carr pass complete short right to Mychal Rivera for 9 yards (tackle by Zach Brown),4.580,6.970
3,1:01,1,1,BUF 1,24,22,"Latavius Murray middle for 1 yard, touchdown",6.970,7.000
3,0:57,,,BUF 15,24,23,Sebastian Janikowski kicks extra point good,0.000,0.000
3,0:57,,,OAK 35,24,23,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
3,0:57,1,10,BUF 25,24,23,Tyrod Taylor pass incomplete short right intended for Sammy Watkins (defended by T.J. Carrie),0.610,0.060
3,0:52,2,10,BUF 25,24,23,LeSean McCoy left tackle for no gain (tackle by Bruce Irvin),0.060,-0.620
3,0:17,3,10,BUF 25,24,23,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",-0.620,-1.290
Quarter,Time,Down,ToGo,Location,BUF,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,15,BUF 20,24,23,Tyrod Taylor pass incomplete deep right intended for Sammy Watkins (defended by David Amerson),-1.290,-2.030
4,14:56,4,15,BUF 20,24,23,"Colton Schmidt punts 39 yards, out of bounds",-2.030,-1.660
4,14:48,1,10,OAK 41,24,23,Derek Carr pass incomplete short right intended for Seth Roberts (defended by Shaq Lawson),1.660,1.120
4,14:44,2,10,OAK 41,24,23,Derek Carr pass incomplete deep right intended for Michael Crabtree (defended by James Ihedigbo),1.120,0.430
4,14:37,3,10,OAK 41,24,23,Derek Carr pass complete deep right to Mychal Rivera for 22 yards (tackle by Corey White and James Ihedigbo),0.430,3.120
4,14:21,1,10,BUF 37,24,23,Derek Carr pass incomplete deep left intended for Andre Holmes,3.120,2.570
4,14:15,2,10,BUF 37,24,29,"Derek Carr pass complete deep right to Amari Cooper for 37 yards, touchdown",2.570,7.000
4,14:08,,,BUF 15,24,30,Sebastian Janikowski kicks extra point good,0.000,0.000
4,14:08,,,OAK 35,24,30,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
4,14:08,1,10,BUF 25,24,30,LeSean McCoy left guard for 2 yards (tackle by Denico Autry and Khalil Mack),0.610,0.330
4,13:36,2,8,BUF 27,24,30,Tyrod Taylor pass incomplete deep right intended for Gerald Christian,0.330,-0.360
4,13:25,3,8,BUF 27,24,30,Tyrod Taylor pass incomplete short right intended for Nick O'Leary,-0.360,-1.570
4,13:20,4,8,BUF 27,24,30,"Colton Schmidt punts 48 yards, returned by Jalen Richard for 25 yards (tackle by Colton Schmidt). Penalty on Daren Bates: Offensive Holding, 10 yards",-1.570,0.220
4,13:06,1,10,OAK 15,24,30,Jalen Richard left tackle for 7 yards (tackle by Zach Brown and Corey Graham),-0.220,0.350
4,12:41,2,3,OAK 22,24,30,Derek Carr pass complete short right to Michael Crabtree for 18 yards (tackle by Preston Brown),0.350,1.600
4,12:06,1,10,OAK 40,24,30,Jalen Richard middle for 1 yard (tackle by Preston Brown),1.600,0.000
4,11:17,,,,24,30,Timeout #1 by Oakland Raiders,0.000,-1.190
4,11:17,2,9,OAK 41,24,30,Derek Carr pass incomplete short right intended for Clive Walford,1.190,0.500
4,11:10,3,9,OAK 41,24,30,Derek Carr pass incomplete short right intended for Latavius Murray,0.500,-0.650
4,11:06,4,9,OAK 41,24,30,Marquette King punts 55 yards,-0.650,0.380
4,10:53,1,10,BUF 4,24,30,Tyrod Taylor pass incomplete short left intended for Marquise Goodwin is intercepted by Nate Allen at BUF-17 and returned for 1 yard,-0.380,-4.510
4,10:45,1,10,BUF 16,24,30,Latavius Murray middle for no gain (tackle by Lorenzo Alexander),4.510,3.900
4,10:08,2,10,BUF 16,24,30,Jalen Richard middle for 8 yards (tackle by James Ihedigbo and Corey Graham),3.900,0.000
4,9:20,,,,24,30,Timeout #2 by Oakland Raiders,0.000,-4.620
4,9:20,3,2,BUF 8,24,30,Latavius Murray middle for 5 yards (tackle by Zach Brown and Preston Brown),4.620,6.510
4,8:37,1,3,BUF 3,24,36,"Latavius Murray right tackle for 3 yards, touchdown",6.510,7.000
4,8:34,,,BUF 2,24,38,"Two Point Attempt: Derek Carr pass complete to Seth Roberts, conversion succeeds",0.000,1.000
4,8:34,,,OAK 35,24,38,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
4,8:34,1,10,BUF 25,24,38,Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by Perry Riley),0.610,0.600
4,8:07,2,6,BUF 29,24,38,"Tyrod Taylor pass complete short left to Marquise Goodwin for 5 yards (tackle by Nate Allen). Penalty on Bruce Irvin: Defensive Offside, 5 yards (no play)",0.600,1.280
4,7:48,2,1,BUF 34,24,38,LeSean McCoy left guard for 1 yard (tackle by Malcolm Smith),1.280,1.270
4,7:23,1,10,BUF 35,24,38,Tyrod Taylor pass complete short left to LeSean McCoy for 6 yards (tackle by Malcolm Smith),1.270,1.530
4,6:58,2,4,BUF 41,24,38,Tyrod Taylor pass complete short left to Marquise Goodwin for 7 yards (tackle by Sean Smith),1.530,2.130
4,6:31,1,10,BUF 48,24,38,Tyrod Taylor sacked by Denico Autry for 0 yards,2.130,1.580
4,5:57,2,10,BUF 48,24,38,Tyrod Taylor pass complete short left to Marquise Goodwin for 12 yards (tackle by Nate Allen),1.580,2.920
4,5:36,1,10,OAK 40,24,38,Tyrod Taylor pass incomplete short right intended for Nick O'Leary,2.920,2.370
4,5:32,2,10,OAK 40,24,38,Tyrod Taylor left end for 9 yards (tackle by Sean Smith),2.370,2.870
4,4:57,3,1,OAK 31,24,38,Reggie Bush middle for 3 yards (tackle by Malcolm Smith and Khalil Mack),2.870,3.710
