Player,Pos
Rich Gannon,QB
Charlie Garner,RB
Tim Brown,WR
Jon Ritchie,WR
Jerry Rice,WR
Jerry Porter,WR
Barry Sims,LT
Frank Middleton,LG
Barret Robbins,C
Mo Collins,RG
Lincoln Kennedy,RT
Trace Armstrong,DE
DeLawrence Grant,DE
John Parrella,DT
Sam Adams,DT
Eric Barton,OLB
Bill Romanowski,OLB
Napoleon Harris,MLB
Tory James,CB
Charles Woodson,CB
Anthony Dorsett,SS
Rod Woodson,FS
