Unnamed: 0,PIT,NOR
First Downs,13,19
Rush-Yds-TDs,21-108-1,21-30-0
Cmp-Att-Yd-TD-INT,17-28-195-0-1,34-44-305-2-1
Sacked-Yards,3-24,2-17
Net Pass Yards,171,288
Total Yards,279,318
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,4-38,3-35
Third Down Conv.,3-10,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,25:54,34:06
