Quarter,Time,Tm,Detail,PIT,NOR
2.0,9:09,Steelers,Jeff Reed 19 yard field goal,3,0
,0:08,Saints,Garrett Hartley 31 yard field goal,3,3
3.0,8:24,Saints,Garrett Hartley 23 yard field goal,3,6
4.0,12:55,Saints,Marques Colston 16 yard pass from Drew Brees (Garrett Hartley kick),3,13
,10:48,Steelers,Rashard Mendenhall 38 yard rush (Jeff Reed kick),10,13
,2:37,Saints,Lance Moore 8 yard pass from Drew Brees (Garrett Hartley kick),10,20
