Unnamed: 0,NOR,ATL
First Downs,18,30
Rush-Yds-TDs,16-41-0,32-138-0
Cmp-Att-Yd-TD-INT,30-43-322-2-0,29-52-351-2-1
Sacked-Yards,0-0,1-8
Net Pass Yards,322,343
Total Yards,363,481
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,8-79,10-85
Third Down Conv.,4-13,5-16
Fourth Down Conv.,0-0,2-3
Time of Possession,30:03,36:32
