Unnamed: 0,ATL,NOR
First Downs,28,22
Rush-Yds-TDs,38-260-4,24-159-2
Cmp-Att-Yd-TD-INT,16-25-195-0-0,16-35-192-2-2
Sacked-Yards,3-9,0-0
Net Pass Yards,186,192
Total Yards,446,351
Fumbles-Lost,2-2,2-1
Turnovers,2,3
Penalties-Yards,10-95,9-96
Third Down Conv.,7-11,2-8
Fourth Down Conv.,0-0,2-3
Time of Possession,35:03,24:57
