Quarter,Time,Tm,Detail,ATL,NOR
1.0,10:41,Saints,John Carney 40 yard field goal,0,3
,2:43,Saints,Deuce McAllister 1 yard rush (John Carney kick),0,10
2.0,12:00,Falcons,Michael Vick 3 yard rush (Jay Feely kick),7,10
,3:54,Falcons,Warrick Dunn 3 yard rush (Jay Feely kick),14,10
3.0,12:00,Falcons,Bob Christian 8 yard rush (Jay Feely kick),21,10
,10:39,Saints,Deuce McAllister 19 yard pass from Aaron Brooks (Boo Williams pass from Aaron Brooks),21,18
,5:28,Falcons,Jay Feely 31 yard field goal,24,18
,2:30,Saints,Joe Horn 6 yard pass from Aaron Brooks (John Carney kick),24,25
4.0,14:35,Falcons,Jay Feely 32 yard field goal,27,25
,5:57,Falcons,Michael Vick 32 yard rush (Jay Feely kick),34,25
,3:33,Saints,John Carney 40 yard field goal,34,28
,2:20,Saints,Deuce McAllister 16 yard rush (John Carney kick),34,35
,0:00,Falcons,Jay Feely 47 yard field goal,37,35
