Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Toby Gowin kicks off 64 yards, returned by Allen Rossum for 15 yards (tackle by J.J. Jones)",0.000,0.340
1,14:56,1,10,ATL 21,0,0,Michael Vick pass complete to Warrick Dunn for 2 yards (tackle by Jay Bellamy),0.340,0.070
1,14:21,2,8,ATL 23,0,0,Warrick Dunn left guard for 4 yards (tackle by Sammy Knight),0.070,-0.100
1,13:37,3,4,ATL 27,0,0,Michael Vick pass incomplete intended for Willie Jackson,-0.100,-1.570
1,13:30,4,4,ATL 27,0,0,"Chris Mohr punts 40 yards, returned by Michael Lewis for -6 yards (tackle by Maurice Smith). Michael Lewis fumbles (forced by Maurice Smith), recovered by Boo Williams at NOR-27 (tackle by Derek Rackley). Penalty on Brian Kozlowski: Face Mask (15 Yards), 13 yards (no play)",-1.570,-2.470
1,13:19,4,17,ATL 14,0,0,"Chris Mohr punts 37 yards, returned by Michael Lewis for 8 yards (tackle by Artie Ulmer)",-2.470,-2.720
1,13:09,1,10,ATL 43,0,0,Aaron Brooks pass incomplete intended for Deuce McAllister,2.720,2.180
1,13:05,2,10,ATL 43,0,0,Aaron Brooks right end for 19 yards (tackle by Ray Buchanan),2.180,3.970
1,12:20,1,10,ATL 24,0,0,"Aaron Brooks pass incomplete. Penalty on Aaron Brooks: Intentional Grounding, 13 yards",3.970,1.680
1,12:13,2,23,ATL 37,0,0,Deuce McAllister right guard for 6 yards (tackle by Keion Carpenter and Juran Bolden),1.680,1.820
1,11:32,3,17,ATL 31,0,0,Deuce McAllister right tackle for 9 yards (tackle by Keith Brooking),1.820,1.990
1,10:46,4,8,ATL 22,0,3,John Carney 40 yard field goal good,1.990,3.000
1,10:46,,,NOR 30,0,3,"Toby Gowin kicks off 61 yards, returned by Allen Rossum for 15 yards (tackle by James Allen)",0.000,0.540
1,10:35,1,10,ATL 24,0,3,Michael Vick sacked by Jay Bellamy and Darren Howard for -3 yards,0.540,-0.410
1,10:02,2,13,ATL 21,0,3,Michael Vick sacked by Charlie Clemons and Grady Jackson for -1 yards,-0.410,-1.220
1,9:27,3,14,ATL 20,0,3,Michael Vick pass incomplete intended for Willie Jackson (defended by Jay Bellamy),-1.220,-2.030
1,9:17,4,14,ATL 20,0,3,"Chris Mohr punts 47 yards, returned by Michael Lewis for 2 yards (tackle by Kevin McCadam)",-2.030,-1.270
1,9:08,1,10,NOR 35,0,3,Deuce McAllister right guard for 28 yards (tackle by Ray Buchanan),1.270,3.120
1,8:27,1,10,ATL 37,0,3,Deuce McAllister right guard for 1 yard (tackle by John Holecek),3.120,2.710
1,7:45,2,9,ATL 36,0,3,Deuce McAllister left guard for 2 yards (tackle by Keion Carpenter and Ellis Johnson),2.710,2.280
1,7:04,3,7,ATL 34,0,3,"Aaron Brooks pass incomplete intended for Jake Reed. Penalty on Juran Bolden: Illegal Use of Hands (Declined), Penalty on John Thierry: Roughing the Passer, 15 yards (no play)",2.280,4.310
1,6:58,1,10,ATL 19,0,3,Deuce McAllister left guard for 1 yard (tackle by Sam Rogers and Keith Brooking),4.310,3.880
1,6:15,2,9,ATL 18,0,3,"Penalty on Travis Hall: Encroachment, 5 yards (no play)",3.880,4.720
1,5:57,2,4,ATL 13,0,3,Aaron Brooks pass complete to Jerome Pathon for 7 yards (tackle by Keion Carpenter),4.720,5.830
1,5:23,2,4,ATL 13,,,Timeout #1 by Atlanta Falcons,4.720,5.830
1,5:23,1,6,ATL 6,0,3,Deuce McAllister right guard for 3 yards (tackle by Gerald McBurrows and John Holecek),5.830,5.530
1,4:46,2,3,ATL 3,0,3,"Deuce McAllister left end for -1 yards (tackle by John Holecek). Penalty on ATL: Defensive 12 On-field, 2 yards (no play)",5.530,5.910
1,4:16,2,1,ATL 1,0,3,Deuce McAllister left guard for no gain (tackle by John Holecek and Brady Smith),5.910,5.170
1,3:34,3,1,ATL 1,0,3,Aaron Brooks middle for no gain (tackle by Chris Draft),5.170,3.550
1,2:48,4,1,ATL 1,0,9,"Deuce McAllister left tackle for 1 yard, touchdown",3.550,7.000
1,2:48,,,ATL 1,0,10,John Carney kicks extra point good,0.000,0.000
1,2:48,,,NOR 30,0,10,"Toby Gowin kicks off 65 yards, returned by Allen Rossum for 21 yards (tackle by Jay Bellamy)",0.000,0.670
1,2:38,1,10,ATL 26,0,10,Michael Vick pass complete to Brian Finneran for 10 yards (tackle by Ken Irvin),0.670,1.330
1,2:00,1,10,ATL 36,0,10,Michael Vick pass complete to Warrick Dunn for 1 yard (tackle by Darren Howard),1.330,0.930
1,1:19,2,9,ATL 37,0,10,"Penalty on Bob Whitfield: False Start, 5 yards (no play)",0.930,0.250
1,0:56,2,14,ATL 32,0,10,"Michael Vick pass incomplete intended for Shawn Jefferson. Penalty on Ken Irvin: Defensive Pass Interference, 32 yards (no play)",0.250,3.180
1,0:49,1,10,NOR 36,0,10,"Warrick Dunn left tackle for 11 yards (tackle by Jay Bellamy and Sammy Knight). Penalty on Travis Claridge: Offensive Holding, 10 yards (no play)",3.180,2.520
1,0:26,1,20,NOR 46,0,10,Michael Vick sacked by Darren Howard for -5 yards,2.520,0.610
Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,25,ATL 49,0,10,Michael Vick for 27 yards (tackle by Jay Bellamy),0.610,3.970
2,14:10,1,10,NOR 24,0,10,Warrick Dunn left guard for 6 yards (tackle by Ken Irvin),3.970,4.290
2,13:27,2,4,NOR 18,0,10,Warrick Dunn right end for 3 yards (tackle by Charlie Clemons and Fred Thomas),4.290,4.170
2,12:41,3,1,NOR 15,0,10,Warrick Dunn for 9 yards (tackle by Jay Bellamy),4.170,5.830
2,12:11,3,1,NOR 15,,,Timeout #2 by Atlanta Falcons,4.170,5.830
2,12:11,1,6,NOR 6,0,10,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Ken Irvin: Illegal Contact, 3 yards (no play)",5.830,6.510
2,12:06,1,3,NOR 3,6,10,"Michael Vick for 3 yards, touchdown",6.510,7.000
2,12:06,,,NOR 3,7,10,Jay Feely kicks extra point good,0.000,0.000
