Unnamed: 0,PIT,CIN
First Downs,16,25
Rush-Yds-TDs,15-51-0,38-198-3
Cmp-Att-Yd-TD-INT,24-41-263-1-2,20-25-190-1-1
Sacked-Yards,3-13,2-18
Net Pass Yards,250,172
Total Yards,301,370
Fumbles-Lost,2-1,0-0
Turnovers,3,1
Penalties-Yards,4-30,3-18
Third Down Conv.,7-13,5-11
Fourth Down Conv.,0-0,1-1
Time of Possession,24:40,35:20
