Unnamed: 0,NOR,ARI
First Downs,33,26
Rush-Yds-TDs,32-130-2,15-116-3
Cmp-Att-Yd-TD-INT,37-48-389-4-0,28-40-318-2-0
Sacked-Yards,3-31,1-9
Net Pass Yards,358,309
Total Yards,488,425
Fumbles-Lost,1-1,2-2
Turnovers,1,2
Penalties-Yards,5-46,7-52
Third Down Conv.,9-14,5-10
Fourth Down Conv.,1-1,1-1
Time of Possession,37:13,22:47
