Quarter,Time,Down,ToGo,Location,NOR,ARI,Detail,EPB,EPA
1,5:32,4,10,ARI 19,3,7,Wil Lutz 37 yard field goal good,2.180,3.000
1,5:27,,,NOR 35,3,7,"Wil Lutz kicks off 65 yards, returned by Brittan Golden for 26 yards (tackle by Chris Banjo)",0.000,-0.670
1,5:18,1,10,ARI 26,3,7,David Johnson middle for 4 yards (tackle by Paul Kruger),0.670,0.670
1,4:42,2,6,ARI 30,3,7,"Carson Palmer pass complete short left to Larry Fitzgerald for no gain (tackle by Paul Kruger). Larry Fitzgerald fumbles (forced by Paul Kruger), recovered by Craig Robertson at ARI-30 (tackle by Taylor Boggs)",0.670,-3.580
1,4:32,1,10,ARI 30,3,7,Tim Hightower middle for 4 yards (tackle by Tyrann Mathieu),3.580,3.570
1,3:54,2,6,ARI 26,3,7,Drew Brees pass complete short right to Travaris Cadet for 7 yards (tackle by Sio Moore),3.570,4.310
1,3:22,1,10,ARI 19,3,7,Tim Hightower middle for 2 yards (tackle by Josh Mauro),4.310,4.030
1,2:53,2,8,ARI 17,3,7,Drew Brees pass complete short left to Mark Ingram for -3 yards (tackle by Sio Moore),4.030,2.940
1,2:22,3,11,ARI 20,3,7,"Drew Brees pass incomplete short left intended for Michael Thomas. Penalty on Markus Golden: Face Mask (15 Yards), 11 yards (no play)",2.940,5.140
1,2:17,1,9,ARI 9,3,7,Tim Hightower left end for -1 yards (tackle by D.J. Swearinger),5.140,4.190
1,1:45,2,10,ARI 10,3,7,Drew Brees pass incomplete short middle intended for Willie Snead (defended by Tony Jefferson),4.190,3.130
1,1:41,3,10,ARI 10,9,7,"Drew Brees pass complete short right to Travaris Cadet for 10 yards, touchdown",3.130,7.000
1,1:33,,,ARI 15,10,7,Wil Lutz kicks extra point good,0.000,0.000
1,1:33,,,NOR 35,10,7,"Wil Lutz kicks off 64 yards, returned by Brittan Golden for 24 yards (tackle by Tommylee Lewis)",0.000,-0.610
1,1:26,1,10,ARI 25,10,7,Carson Palmer pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Craig Robertson and Vonn Bell),0.610,1.010
1,0:52,2,3,ARI 32,10,7,Kerwynn Williams middle for no gain (tackle by Roman Harper),1.010,0.000
1,0:11,,,,10,7,Timeout #1 by New Orleans Saints,0.000,-0.300
1,0:11,3,3,ARI 32,10,7,Carson Palmer pass complete short left to David Johnson for 14 yards (tackle by Jairus Byrd),0.300,1.990
Quarter,Time,Down,ToGo,Location,NOR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 46,10,7,David Johnson middle for 3 yards (tackle by Nick Fairley),1.990,1.860
2,14:24,2,7,ARI 49,10,7,Carson Palmer pass complete short left to JJ Nelson for 6 yards (tackle by Jairus Byrd),1.860,1.950
2,13:46,3,1,NOR 45,10,7,David Johnson right end for 5 yards (tackle by Darryl Tapp),1.950,2.920
2,13:08,1,10,NOR 40,10,7,Carson Palmer sacked by Cameron Jordan for -9 yards,2.920,1.160
2,12:25,2,19,NOR 49,10,7,Carson Palmer pass complete short right to David Johnson for 12 yards (tackle by Sheldon Rankins),1.160,2.080
2,11:37,3,7,NOR 37,10,7,Carson Palmer pass incomplete deep right intended for John Brown,2.080,0.790
2,11:31,4,7,NOR 37,10,7,Chandler Catanzaro 55 yard field goal no good,0.790,-1.930
2,11:26,1,10,NOR 45,10,7,Drew Brees pass complete short right to Brandin Cooks for 7 yards (tackle by Tyrann Mathieu),1.930,2.330
2,10:46,2,3,ARI 48,10,7,Mark Ingram right tackle for 4 yards (tackle by Kevin Minter),2.330,2.650
2,10:11,1,10,ARI 44,10,7,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Kevin Minter),2.650,2.650
2,9:37,2,6,ARI 40,10,7,Mark Ingram middle for 4 yards (tackle by Sio Moore),2.650,2.480
2,9:03,3,2,ARI 36,10,7,John Kuhn middle for 1 yard (tackle by Kevin Minter),2.480,0.000
2,8:22,,,,10,7,Timeout #2 by New Orleans Saints,0.000,-1.000
2,8:22,4,1,ARI 35,10,7,Drew Brees pass complete short right to Willie Snead for 5 yards (tackle by D.J. Swearinger),1.000,3.580
2,7:48,1,10,ARI 30,10,7,"Drew Brees pass complete short middle to Willie Snead for 12 yards (tackle by Marcus Cooper). Penalty on Andrus Peat: Offensive Holding, 10 yards (no play)",3.580,2.920
2,7:25,1,20,ARI 40,10,7,Drew Brees pass incomplete short right intended for Mark Ingram (defended by Kevin Minter),2.920,1.680
2,7:20,2,20,ARI 40,10,13,"Drew Brees sacked by Markus Golden for -7 yards. Drew Brees fumbles (forced by Markus Golden), recovered by Calais Campbell at ARI-47 and returned for 53 yards, touchdown",1.680,-7.000
2,,,,NOR 15,10,13,Chandler Catanzaro kicks extra point good,,
2,7:08,,,ARI 35,10,13,"Chandler Catanzaro kicks off 61 yards, returned by Tommylee Lewis for 19 yards (tackle by Justin Bethel)",0.000,-0.480
2,7:01,1,10,NOR 23,10,13,Drew Brees pass complete short middle to Willie Snead for 12 yards (tackle by D.J. Swearinger),0.480,1.270
2,6:21,1,10,NOR 35,16,13,"Drew Brees pass complete deep middle to Brandin Cooks for 65 yards, touchdown",1.270,7.000
2,6:11,,,ARI 15,17,13,"Wil Lutz kicks extra point good. Penalty on Justin Bethel: Defensive Offside, 5 yards",0.000,0.000
2,6:11,,,NOR 40,17,13,"Wil Lutz kicks off 57 yards, returned by Brittan Golden for 14 yards (tackle by De'Vante Harris). Penalty on Evan Boehm: Offensive Holding, 8 yards",0.000,0.380
2,6:03,1,10,ARI 8,17,13,Carson Palmer pass complete short right to Jermaine Gresham for 9 yards (tackle by Vonn Bell),-0.380,0.050
2,5:32,2,1,ARI 17,17,13,Carson Palmer pass complete short right to JJ Nelson for 3 yards (tackle by Sterling Moore),0.050,0.280
2,4:56,1,10,ARI 20,17,13,David Johnson left end for 2 yards (tackle by Vonn Bell),0.280,0.000
2,4:18,2,8,ARI 22,17,13,Carson Palmer pass incomplete short left intended for JJ Nelson,0.000,-0.690
2,4:14,3,8,ARI 22,17,13,Carson Palmer pass complete short right to David Johnson for 4 yards (tackle by Ken Crawley),-0.690,-1.630
2,3:42,4,4,ARI 26,17,13,Matt Wile punts 36 yards,-1.630,-1.470
2,3:32,1,10,NOR 38,17,13,Drew Brees pass complete short middle to Tim Hightower for 3 yards (tackle by Sio Moore),1.470,1.330
2,3:00,2,7,NOR 41,17,13,Drew Brees pass complete short left to Michael Thomas for 8 yards (tackle by Marcus Cooper),1.330,2.190
2,2:26,1,10,NOR 49,17,13,Drew Brees pass incomplete short left intended for Michael Thomas (defended by Marcus Cooper),2.190,1.650
2,2:21,2,10,NOR 49,17,13,Tim Hightower right tackle for 6 yards (tackle by Kevin Minter),1.650,1.750
2,2:00,3,4,ARI 45,23,13,"Drew Brees pass complete short right to Brandin Cooks for 45 yards, touchdown",1.750,7.000
2,1:51,,,ARI 15,24,13,Wil Lutz kicks extra point good,0.000,0.000
2,1:51,,,NOR 35,24,13,"Wil Lutz kicks off 66 yards, returned by Brittan Golden for 21 yards (tackle by Travaris Cadet)",0.000,-0.280
2,1:43,1,10,ARI 20,24,13,Carson Palmer pass complete deep middle to Jermaine Gresham for 23 yards (tackle by Vonn Bell),0.280,1.800
2,1:23,1,10,ARI 43,24,13,Carson Palmer pass complete short right to John Brown for 13 yards (tackle by Ken Crawley),1.800,0.000
2,1:16,,,,24,13,Timeout #1 by Arizona Cardinals,0.000,-2.650
2,1:16,1,10,NOR 44,24,13,Carson Palmer pass incomplete short middle intended for Jermaine Gresham,2.650,2.110
2,1:12,2,10,NOR 44,24,13,Carson Palmer pass incomplete short left intended for JJ Nelson,2.110,1.420
2,1:06,3,10,NOR 44,24,13,Carson Palmer pass complete short left to John Brown for 11 yards (tackle by B.W. Webb),1.420,3.380
2,1:01,1,10,NOR 33,24,13,"Carson Palmer pass incomplete short right intended for Larry Fitzgerald. Penalty on Cameron Jordan: Roughing the Passer, 15 yards (no play)",3.380,4.370
2,0:57,1,10,NOR 18,24,13,Carson Palmer pass incomplete short right intended for Jermaine Gresham,4.370,3.800
2,0:51,2,10,NOR 18,24,13,Carson Palmer pass complete short middle to Larry Fitzgerald for 8 yards (tackle by Sheldon Rankins and Vonn Bell),3.800,0.000
2,0:45,,,,24,13,Timeout #2 by Arizona Cardinals,0.000,-4.510
2,0:45,3,2,NOR 10,24,19,"Carson Palmer pass complete short right to JJ Nelson for 10 yards, touchdown",4.510,7.000
2,0:40,,,NOR 15,24,20,Chandler Catanzaro kicks extra point good,0.000,0.000
2,0:40,,,ARI 35,24,20,"Chandler Catanzaro kicks off 64 yards, returned by Tommylee Lewis for 21 yards (tackle by Kareem Martin)",0.000,-0.410
2,0:35,1,10,NOR 22,24,20,Drew Brees pass complete short right to Travaris Cadet for 2 yards (tackle by Sio Moore),0.410,0.140
2,0:16,2,8,NOR 24,24,20,Drew Brees pass complete short left to Travaris Cadet for 4 yards (tackle by Marcus Cooper),0.140,-0.030
2,0:08,3,4,NOR 28,24,20,Travaris Cadet for 16 yards (tackle by Patrick Peterson),-0.030,1.860
2,0:01,1,10,NOR 44,24,20,Drew Brees sacked by Calais Campbell for -16 yards,1.860,-0.840
Quarter,Time,Down,ToGo,Location,NOR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,24,20,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NOR 25,24,20,Drew Brees pass incomplete short middle intended for Michael Thomas (defended by Brandon Williams),0.610,0.060
3,14:55,2,10,NOR 25,24,20,Drew Brees pass incomplete deep left intended for Mark Ingram,0.060,-0.620
3,14:49,3,10,NOR 25,24,20,Drew Brees pass complete short left to Willie Snead for 5 yards (tackle by Tyrann Mathieu),-0.620,-1.370
3,14:16,4,5,NOR 30,24,20,"Thomas Morstead punts 30 yards, out of bounds",-1.370,-1.600
3,14:08,1,10,ARI 40,24,20,Kerwynn Williams middle for 14 yards (tackle by Vonn Bell),1.600,2.520
3,13:35,1,10,NOR 46,24,20,David Johnson right end for 5 yards (tackle by Roman Harper and Sterling Moore),2.520,2.650
3,12:54,2,5,NOR 41,24,20,David Johnson middle for -2 yards (tackle by Cameron Jordan and Nathan Stupar),2.650,1.680
3,12:15,3,7,NOR 43,24,20,Carson Palmer pass incomplete short left intended for Larry Fitzgerald (defended by Sterling Moore),1.680,0.400
3,12:09,4,7,NOR 43,24,20,"Matt Wile punts 32 yards, fair catch by Jairus Byrd",0.400,0.370
3,12:03,1,10,NOR 11,24,20,Mark Ingram left tackle for 5 yards (tackle by Marcus Cooper),-0.370,-0.300
3,11:31,2,5,NOR 16,24,20,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by Marcus Cooper),-0.300,0.410
3,10:50,1,10,NOR 22,24,20,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by Marcus Cooper),0.410,1.080
3,10:10,2,1,NOR 31,24,20,Mark Ingram left end for 6 yards (tackle by Sio Moore),1.080,1.400
3,9:55,1,10,NOR 37,24,20,Drew Brees pass complete short left to Willie Snead for 11 yards (tackle by Brandon Williams),1.400,2.130
3,9:24,1,10,NOR 48,24,20,Drew Brees pass complete short middle to John Phillips for 9 yards (tackle by Kevin Minter),2.130,2.800
3,8:48,2,1,ARI 43,24,20,Tim Hightower middle for 4 yards (tackle by Calais Campbell),2.800,2.980
3,8:17,1,10,ARI 39,24,20,Drew Brees pass incomplete short left intended for Brandin Cooks,2.980,2.440
3,8:12,2,10,ARI 39,24,20,Mark Ingram middle for no gain (tackle by Markus Golden),2.440,1.750
3,7:36,3,10,ARI 39,24,20,Drew Brees pass complete short right to Brandin Cooks for 13 yards (tackle by Sio Moore),1.750,3.840
3,6:59,1,10,ARI 26,24,20,Mark Ingram right tackle for 5 yards (tackle by Tony Jefferson),3.840,3.970
3,6:22,2,5,ARI 21,24,20,Drew Brees pass incomplete deep middle intended for Willie Snead (defended by Sio Moore),3.970,3.270
,,,,,,,"NOR challenged the incomplete pass ruling, and the play was upheld.",,
3,6:15,3,5,ARI 21,24,20,Drew Brees pass incomplete short left intended for Michael Thomas,3.270,2.110
3,6:11,4,5,ARI 21,27,20,Wil Lutz 39 yard field goal good,2.110,3.000
3,6:06,,,NOR 35,27,20,"Wil Lutz kicks off 62 yards, returned by Brittan Golden for 35 yards (tackle by Nathan Stupar)",0.000,-1.470
3,5:58,1,10,ARI 38,27,20,Carson Palmer pass complete short left to JJ Nelson for 11 yards (tackle by B.W. Webb),1.470,2.190
3,5:26,1,10,ARI 49,27,20,Carson Palmer pass complete deep left to David Johnson for 25 yards (tackle by Craig Robertson),2.190,3.840
3,4:38,1,10,NOR 26,27,20,Carson Palmer pass complete short right to John Brown for 8 yards (tackle by Sterling Moore),3.840,4.450
3,3:58,2,2,NOR 18,27,20,David Johnson middle for 5 yards (tackle by Cameron Jordan). Penalty on Vonn Bell: Defensive Offside (Declined),4.450,4.710
3,3:27,1,10,NOR 13,27,20,"Carson Palmer pass incomplete short middle intended for Hakeem Valles. Penalty on Sterling Moore: Defensive Pass Interference, 11 yards (no play)",4.710,6.740
3,3:23,1,2,NOR 2,27,26,"David Johnson middle for 2 yards, touchdown",6.740,7.000
3,3:19,,,NOR 15,27,27,Chandler Catanzaro kicks extra point good,0.000,0.000
3,3:19,,,ARI 35,27,27,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
3,3:18,1,10,NOR 25,27,27,Drew Brees pass complete short left to Willie Snead for 19 yards (tackle by Kevin Minter),0.610,1.860
3,2:38,1,10,NOR 44,27,27,Tim Hightower left tackle for 3 yards (tackle by Kevin Minter),1.860,1.720
3,2:07,2,7,NOR 47,27,27,Drew Brees pass complete short left to Michael Thomas for 12 yards (tackle by Brandon Williams),1.720,2.850
3,1:48,1,10,ARI 41,27,27,Drew Brees pass complete short right to John Kuhn for 3 yards (tackle by Tyrann Mathieu),2.850,2.710
3,1:11,2,7,ARI 38,27,27,Drew Brees pass complete short right to Willie Snead for 6 yards (tackle by Tyrann Mathieu),2.710,2.810
3,0:36,3,1,ARI 32,27,27,Drew Brees pass complete short left to Mark Ingram for 17 yards (tackle by Kevin Minter),2.810,4.580
Quarter,Time,Down,ToGo,Location,NOR,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 15,27,27,Drew Brees pass complete short right to John Kuhn for -2 yards (tackle by Chandler Jones),4.580,3.680
4,14:23,2,12,ARI 17,27,27,Drew Brees pass complete short right to Tim Hightower for 3 yards (tackle by Chandler Jones),3.680,3.240
4,13:51,3,9,ARI 14,27,27,Drew Brees pass complete short right to Travaris Cadet for 7 yards (tackle by Chandler Jones),3.240,3.000
4,13:08,4,2,ARI 7,27,27,"Wil Lutz 25 yard field goal good. Penalty on Justin Bethel: Defensive Offside, 4 yards (no play)",3.000,6.510
4,13:04,1,3,ARI 3,33,27,"Tim Hightower right tackle for 3 yards, touchdown",6.510,7.000
4,12:59,,,ARI 15,34,27,Wil Lutz kicks extra point good,0.000,0.000
4,12:59,,,NOR 35,34,27,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
4,12:59,1,10,ARI 25,34,27,Carson Palmer pass complete deep middle to Brittan Golden for 19 yards (tackle by Sterling Moore),0.610,1.860
4,12:20,1,10,ARI 44,34,27,Carson Palmer pass complete short middle to Darren Fells for 13 yards (tackle by Vonn Bell),1.860,2.720
4,11:41,1,10,NOR 43,34,27,David Johnson middle for 13 yards (tackle by Sterling Moore and Jairus Byrd),2.720,3.580
4,11:06,1,10,NOR 30,34,27,David Johnson right end for 5 yards (tackle by Nick Fairley),3.580,3.710
4,10:21,2,5,NOR 25,34,27,Carson Palmer pass complete short left to Jermaine Gresham for 10 yards (tackle by Jairus Byrd),3.710,4.580
4,9:40,1,10,NOR 15,34,27,Carson Palmer pass complete short left to JJ Nelson for 8 yards (tackle by B.W. Webb),4.580,5.410
4,9:02,2,2,NOR 7,34,33,"David Johnson middle for 7 yards, touchdown",5.410,7.000
4,8:57,,,NOR 15,34,34,Chandler Catanzaro kicks extra point good,0.000,0.000
4,8:57,,,ARI 35,34,34,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
4,8:57,1,10,NOR 25,34,34,Drew Brees pass complete short right to Willie Snead for 10 yards (tackle by Brandon Williams),0.610,1.270
4,8:19,1,10,NOR 35,34,34,Mark Ingram middle for 3 yards (tackle by Josh Mauro),1.270,1.130
4,7:46,2,7,NOR 38,34,34,Drew Brees pass complete short left to Brandin Cooks for 10 yards (tackle by Patrick Peterson),1.130,2.130
,,,,,,,"ARI challenged the pass completion ruling, and the play was upheld.",,
4,7:36,1,10,NOR 48,34,34,Drew Brees pass complete short left to Brandin Cooks for 36 yards (tackle by Brandon Williams),2.130,4.510
4,6:59,1,10,ARI 16,34,34,Mark Ingram right tackle for 4 yards (tackle by Sio Moore),4.510,4.570
4,6:20,2,6,ARI 12,34,34,Drew Brees pass complete short left to Willie Snead for 8 yards (tackle by Patrick Peterson),4.570,6.280
4,5:39,1,4,ARI 4,40,34,"Drew Brees pass complete short right to Michael Thomas for 4 yards, touchdown",6.280,7.000
4,5:33,,,ARI 15,41,34,"Wil Lutz kicks extra point good. Penalty on Justin Bethel: Defensive Offside, 5 yards",0.000,0.000
4,5:33,,,NOR 40,41,34,"Wil Lutz kicks off 60 yards, touchback",0.000,-0.610
4,5:33,1,10,ARI 25,41,34,Carson Palmer pass incomplete deep left intended for JJ Nelson,0.610,0.060
4,5:28,2,10,ARI 25,41,34,Carson Palmer pass incomplete deep right intended for JJ Nelson,0.060,-0.620
4,5:22,3,10,ARI 25,41,34,"Carson Palmer pass complete short right to Brittan Golden for 4 yards (tackle by Vonn Bell). Brittan Golden fumbles (forced by Vonn Bell), recovered by Ken Crawley at ARI-29 (tackle by John Brown)",-0.620,-3.640
4,5:13,1,10,ARI 29,41,34,Drew Brees pass incomplete short left intended for Willie Snead,3.640,3.100
4,5:07,2,10,ARI 29,41,34,Tim Hightower middle for 2 yards (tackle by Sio Moore),3.100,2.680
4,4:29,3,8,ARI 27,41,34,"Drew Brees sacked by Kevin Minter for -11 yards. Penalty on Sio Moore: Roughing the Passer, 14 yards (no play)",2.680,4.710
4,4:22,1,10,ARI 13,41,34,Drew Brees pass complete short left to Michael Thomas for 9 yards (tackle by Brandon Williams),4.710,5.730
4,3:45,2,1,ARI 4,41,34,Drew Brees pass incomplete short middle intended for Coby Fleener (defended by Tony Jefferson),5.730,0.000
4,3:38,,,,41,34,Timeout #2 by New Orleans Saints,0.000,-5.010
4,3:38,3,1,ARI 4,41,34,Mark Ingram left end for 2 yards (tackle by Brandon Williams),5.010,6.740
4,3:31,1,2,ARI 2,47,34,"Tim Hightower right tackle for 2 yards, touchdown",6.740,7.000
4,3:27,,,ARI 15,48,34,Wil Lutz kicks extra point good,0.000,0.000
4,3:27,,,NOR 35,48,34,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
4,3:27,1,10,ARI 25,48,34,Carson Palmer pass complete deep right to John Brown for 19 yards (tackle by Jairus Byrd),0.610,1.860
4,3:21,1,10,ARI 44,48,34,Carson Palmer pass incomplete deep left intended for JJ Nelson,1.860,1.320
4,3:14,2,10,ARI 44,48,34,Carson Palmer pass incomplete short middle intended for David Johnson,1.320,0.630
4,3:10,3,10,ARI 44,48,34,"Penalty on Earl Watford: False Start, 5 yards (no play)",0.630,-0.030
4,3:10,3,15,ARI 39,48,34,Carson Palmer pass complete short left to Larry Fitzgerald for 13 yards (tackle by Roman Harper),-0.030,0.070
4,2:49,4,2,NOR 48,48,34,Carson Palmer pass complete short middle to Larry Fitzgerald for 5 yards (tackle by Sterling Moore),0.070,2.720
4,2:30,1,10,NOR 43,48,34,Carson Palmer pass complete short left to Larry Fitzgerald for 13 yards (tackle by Craig Robertson),2.720,0.000
4,2:25,,,,48,34,Timeout #2 by Arizona Cardinals,0.000,-3.580
4,2:25,1,10,NOR 30,48,40,"Carson Palmer pass complete deep left to John Brown for 30 yards, touchdown",3.580,7.000
4,2:19,,,NOR 15,48,41,Chandler Catanzaro kicks extra point good,0.000,0.000
4,2:19,,,ARI 35,48,41,Chandler Catanzaro kicks onside 17 yards. Penalty on Chandler Catanzaro: Kickoff Out of Bounds (Declined),0.000,-2.130
4,2:19,1,10,NOR 48,48,41,Mark Ingram middle for 6 yards (tackle by Kevin Minter),2.130,0.000
4,2:14,,,,48,41,Timeout #3 by Arizona Cardinals,0.000,-2.390
4,2:14,2,4,ARI 46,48,41,Mark Ingram middle for 1 yard (tackle by Calais Campbell),2.390,0.000
4,2:00,,,,48,41,Timeout #3 by New Orleans Saints,0.000,-1.820
4,2:00,3,3,ARI 45,48,41,Drew Brees pass complete short left to Coby Fleener for 6 yards (tackle by Tony Jefferson),1.820,2.980
4,1:17,1,10,ARI 39,48,41,Drew Brees kneels for -1 yards,2.980,2.300
4,0:39,2,11,ARI 40,48,41,Drew Brees kneels for -1 yards,2.300,1.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
