Unnamed: 0,SEA,ARI
First Downs,24,19
Rush-Yds-TDs,31-110-2,14-41-1
Cmp-Att-Yd-TD-INT,26-40-386-1-1,23-45-322-1-1
Sacked-Yards,2-6,5-36
Net Pass Yards,380,286
Total Yards,490,327
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,6-51,10-50
Third Down Conv.,6-15,2-11
Fourth Down Conv.,0-1,0-2
Time of Possession,35:05,24:55
