Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
1,8:23,3,4,,0,0,Russell Wilson pass complete short right to Luke Willson for 7 yards (tackle by Jelani Jenkins and Xavien Howard),1.420,2.720
1,7:49,1,10,MIA 43,0,0,Russell Wilson pass complete short right to Doug Baldwin for 14 yards (tackle by Xavien Howard),2.720,3.640
1,7:19,1,10,MIA 29,0,0,Christine Michael right tackle for 12 yards (tackle by Xavien Howard and Reshad Jones),3.640,4.440
1,6:42,1,10,MIA 17,0,0,Thomas Rawls middle for 1 yard (tackle by Julius Warmsley),4.440,4.000
1,6:05,2,9,MIA 16,0,0,Russell Wilson pass incomplete short middle intended for Jermaine Kearse (defended by Reshad Jones),4.000,3.190
1,5:56,3,9,MIA 16,0,0,Russell Wilson sacked by Mario Williams for -5 yards,3.190,2.060
1,5:15,4,14,MIA 21,0,3,Steven Hauschka 39 yard field goal good,2.060,3.000
1,5:15,,,SEA 35,0,3,"Steven Hauschka kicks off 62 yards, returned by Damien Williams for 17 yards (tackle by Mike Morgan)",0.000,-0.280
1,5:05,1,10,MIA 20,0,3,Ryan Tannehill pass complete short right to Leonte Carroo for 2 yards (tackle by Richard Sherman),0.280,0.000
1,4:31,2,8,MIA 22,0,3,Arian Foster left guard for 2 yards (tackle by Michael Bennett and K.J. Wright),0.000,-0.430
1,3:48,3,6,MIA 24,0,3,Ryan Tannehill pass complete short left to Arian Foster for 50 yards (tackle by K.J. Wright),-0.430,3.840
1,3:15,1,10,SEA 26,0,3,Arian Foster left guard for 3 yards (tackle by Michael Bennett),3.840,3.700
1,2:42,2,7,SEA 23,0,3,Ryan Tannehill pass complete short right to Jarvis Landry for 1 yard (tackle by Bobby Wagner),3.700,3.140
1,2:06,3,6,SEA 22,0,3,Ryan Tannehill pass complete short middle to Jordan Cameron for 5 yards (tackle by Bobby Wagner),3.140,2.460
1,1:21,4,1,SEA 17,0,3,Arian Foster middle for no gain (tackle by Kam Chancellor),2.460,0.060
1,1:09,1,10,SEA 17,0,3,C.J. Prosise middle for -2 yards (tackle by Jordan Phillips and Andre Branch),-0.060,-0.850
1,0:33,2,12,SEA 15,0,3,Russell Wilson left end for 9 yards (tackle by Byron Maxwell),-0.850,-0.370
Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,SEA 24,0,3,Christine Michael middle for 2 yards (tackle by Koa Misi and Ndamukong Suh),-0.370,-1.630
2,14:20,4,1,SEA 26,0,3,"Jon Ryan punts 42 yards, returned by Jakeem Grant for 7 yards (tackle by Cassius Marsh). Penalty on MIA: Illegal Block Above the Waist, 10 yards",-1.630,-1.630
2,14:09,4,1,SEA 26,0,3,Timeout #1 by Miami Dolphins,-1.630,-0.870
2,14:09,1,10,MIA 29,0,3,Ryan Tannehill pass incomplete deep middle intended for Kenny Stills,0.870,0.330
2,14:01,2,10,MIA 29,0,3,Ryan Tannehill sacked by Frank Clark for -8 yards,0.330,-1.420
2,13:22,3,18,MIA 21,0,3,Ryan Tannehill pass complete short middle to Jarvis Landry for 10 yards (tackle by Earl Thomas and Quinton Jefferson),-1.420,-1.310
2,12:40,4,8,MIA 31,0,3,"Matt Darr punts 46 yards, returned by Tyler Lockett for 20 yards (tackle by Michael Thomas). Penalty on Brock Coyle: Illegal Block Above the Waist, 10 yards",-1.310,-0.040
2,12:26,1,10,SEA 18,0,3,Thomas Rawls middle for 6 yards (tackle by Xavien Howard and Mario Williams),0.040,0.410
2,11:40,2,4,SEA 24,0,3,Thomas Rawls right guard for -1 yards (tackle by Reshad Jones and Jelani Jenkins),0.410,-0.530
2,11:01,3,5,SEA 23,0,3,Russell Wilson pass incomplete deep right intended for Luke Willson is intercepted by Isa Abdul-Quddus at MIA-49 and returned for 9 yards,-0.530,-2.790
2,10:51,1,10,SEA 42,0,3,Arian Foster right tackle for 6 yards (tackle by K.J. Wright),2.790,3.050
2,10:16,2,4,SEA 36,0,3,Arian Foster left tackle for 9 yards (tackle by Bobby Wagner),3.050,3.780
2,9:43,1,10,SEA 27,0,3,Ryan Tannehill pass incomplete deep left intended for Kenny Stills,3.780,3.230
2,9:37,2,10,SEA 27,0,3,Damien Williams right tackle for 4 yards (tackle by Richard Sherman),3.230,3.070
2,8:55,3,6,SEA 23,0,3,Ryan Tannehill pass incomplete short left intended for Kenny Stills (defended by DeShawn Shead),3.070,1.950
2,8:49,4,6,SEA 23,3,3,Andrew Franks 41 yard field goal good,1.950,3.000
2,8:49,,,MIA 35,3,3,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
2,8:45,1,10,SEA 25,3,3,Russell Wilson pass incomplete short right intended for Tyler Lockett,0.610,0.060
2,8:39,2,10,SEA 25,3,3,Russell Wilson pass complete short left to Doug Baldwin for 4 yards (tackle by Reshad Jones),0.060,-0.100
2,7:55,3,6,SEA 29,3,3,Russell Wilson pass complete short middle to Doug Baldwin for 10 yards (tackle by Koa Misi and Kiko Alonso),-0.100,1.530
2,7:19,1,10,SEA 39,3,3,Christine Michael middle for 3 yards (tackle by Koa Misi),1.530,1.390
2,6:43,2,7,SEA 42,3,3,"Russell Wilson pass incomplete deep left intended for Paul Richardson. Penalty on Bradley Sowell: Offensive Holding, 10 yards (no play)",1.390,0.040
2,6:36,2,17,SEA 32,3,3,Russell Wilson pass complete short left to Thomas Rawls for 9 yards (tackle by Isa Abdul-Quddus),0.040,0.560
2,5:56,3,8,SEA 41,3,3,Russell Wilson pass incomplete short middle intended for Tyler Lockett,0.560,-0.650
2,5:52,4,8,SEA 41,3,3,"Jon Ryan punts 48 yards, returned by Jarvis Landry for 16 yards (tackle by Tyvis Powell)",-0.650,-0.740
2,5:40,1,10,MIA 27,3,3,Ryan Tannehill right end for 11 yards (tackle by Bobby Wagner),0.740,1.470
2,5:13,1,10,MIA 38,3,3,Damien Williams middle for 5 yards (tackle by Frank Clark and Tony McDaniel),1.470,1.600
2,4:38,2,5,MIA 43,3,3,Ryan Tannehill pass incomplete short middle intended for Damien Williams (defended by Jarran Reed),1.600,0.890
2,4:34,3,5,MIA 43,3,3,Ryan Tannehill pass incomplete short right intended for Arian Foster,0.890,-0.520
2,4:30,4,5,MIA 43,3,3,"Matt Darr punts 57 yards, touchback",-0.520,-0.280
2,4:21,1,10,SEA 20,3,3,"Thomas Rawls right tackle for 8 yards (tackle by Jelani Jenkins and Koa Misi). Penalty on Brandon Williams: Offensive Holding, 10 yards",0.280,0.020
2,3:57,1,12,SEA 18,3,3,Russell Wilson pass incomplete,0.020,-0.630
2,3:51,2,12,SEA 18,3,3,Russell Wilson pass incomplete short left intended for Paul Richardson,-0.630,-1.330
2,3:47,3,12,SEA 18,3,3,Russell Wilson pass incomplete,-1.330,-2.240
2,3:38,4,12,SEA 18,3,3,"Jon Ryan punts 49 yards, returned by Jakeem Grant for 5 yards (tackle by Cassius Marsh)",-2.240,-1.470
2,3:28,1,10,MIA 38,3,3,Ryan Tannehill pass incomplete deep right intended for Jordan Cameron,1.470,0.920
2,3:23,2,10,MIA 38,3,3,Arian Foster right end for no gain (tackle by K.J. Wright and Richard Sherman),0.920,0.230
2,2:42,3,10,MIA 38,3,3,"Penalty on Ja'Wuan James: False Start, 5 yards (no play)",0.230,-0.430
2,2:25,3,15,MIA 33,3,3,Ryan Tannehill pass complete short right to Arian Foster for 6 yards (tackle by K.J. Wright and Earl Thomas),-0.430,-0.780
2,2:00,4,9,MIA 39,3,3,"Matt Darr punts 45 yards, fair catch by Tyler Lockett. Penalty on Kelcie McCray: Offensive Holding, 8 yards",-0.780,0.380
2,1:52,1,10,SEA 8,3,3,Christine Michael left guard for 4 yards (tackle by Ndamukong Suh and Jordan Phillips),-0.380,-0.490
2,1:30,2,6,SEA 12,3,3,"Russell Wilson pass complete short middle to Tyler Lockett for 9 yards (tackle by Ndamukong Suh). Penalty on Bradley Sowell: Offensive Holding, 6 yards (no play)",-0.490,-0.930
2,1:23,2,12,SEA 6,3,3,Christine Michael middle for 11 yards (tackle by Isa Abdul-Quddus and Bobby McCain),-0.930,-0.370
2,0:57,3,1,SEA 17,3,3,Russell Wilson pass complete short left to Doug Baldwin for 6 yards (tackle by Bobby McCain),-0.370,0.480
2,0:52,1,10,SEA 23,3,3,Russell Wilson sacked by Jordan Phillips and Jason Jones for 0 yards,0.480,0.480
2,0:44,1,10,SEA 23,3,3,Timeout #1 by Seattle Seahawks,0.480,-0.070
2,0:44,2,10,SEA 23,3,3,Russell Wilson pass complete short middle to Jermaine Kearse for 15 yards (tackle by Xavien Howard),-0.070,-0.070
2,0:37,2,10,SEA 23,3,3,Timeout #2 by Seattle Seahawks,-0.070,1.470
2,0:37,1,10,SEA 38,3,3,Russell Wilson pass complete short left to Doug Baldwin for 18 yards (tackle by Reshad Jones),1.470,1.470
2,0:30,1,10,SEA 38,3,3,Timeout #3 by Seattle Seahawks,1.470,2.650
2,0:30,1,10,MIA 44,3,3,Russell Wilson pass complete short right to Christine Michael for 5 yards (tackle by Xavien Howard),2.650,2.780
2,0:15,2,5,MIA 39,3,3,Russell Wilson pass complete short right to Luke Willson for 19 yards (tackle by Reshad Jones),2.780,4.240
2,0:09,1,10,MIA 20,3,3,Russell Wilson pass incomplete short left intended for Doug Baldwin,4.240,4.240
2,0:04,1,10,MIA 20,3,3,Timeout #2 by Miami Dolphins,4.240,3.690
2,0:04,2,10,MIA 20,3,6,Steven Hauschka 38 yard field goal good,3.690,3.000
Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,3,6,"Steven Hauschka kicks off 69 yards, returned by Jakeem Grant for 45 yards (tackle by Steven Hauschka)",0.000,-1.660
3,14:51,1,10,MIA 41,3,6,"Arian Foster middle for 3 yards (tackle by Ahtyba Rubin). Arian Foster fumbles (forced by Ahtyba Rubin), recovered by Ja'Wuan James at MIA-44",1.660,1.530
3,14:08,2,7,MIA 44,3,6,Ryan Tannehill sacked by Michael Bennett for -9 yards,1.530,-0.360
3,13:35,3,16,MIA 35,3,6,Ryan Tannehill pass complete short middle to Arian Foster for 6 yards (tackle by K.J. Wright and Frank Clark),-0.360,-0.650
3,12:56,4,10,MIA 41,3,6,"Matt Darr punts 53 yards, returned by Tyler Lockett for 13 yards (tackle by MarQueis Gray)",-0.650,-0.150
3,12:43,1,10,SEA 19,3,6,Russell Wilson pass complete short left to Jermaine Kearse for 7 yards (tackle by Byron Maxwell),0.150,0.610
3,12:15,2,3,SEA 26,3,6,Thomas Rawls left tackle for 2 yards (tackle by Isa Abdul-Quddus),0.610,0.100
3,11:39,3,1,SEA 28,3,6,Thomas Rawls middle for 2 yards (tackle by Jelani Jenkins and Isa Abdul-Quddus),0.100,0.940
3,11:02,1,10,SEA 30,3,6,Russell Wilson sacked by Ndamukong Suh for -13 yards,0.940,-1.500
3,10:18,2,23,SEA 17,3,6,Thomas Rawls left tackle for 1 yard (tackle by Julius Warmsley and Kiko Alonso),-1.500,-2.120
3,9:37,3,22,SEA 18,3,6,Russell Wilson pass incomplete short left intended for Tyler Lockett,-2.120,-2.240
3,9:33,4,22,SEA 18,3,6,"Jon Ryan punts 50 yards, returned by Jakeem Grant for 16 yards (tackle by Cassius Marsh). Penalty on Damien Williams: Illegal Block Above the Waist, 10 yards",-2.240,-0.670
3,9:22,1,10,MIA 26,3,6,Ryan Tannehill pass complete short right to Jordan Cameron for 1 yard (tackle by Jeremy Lane),0.670,0.270
3,8:55,2,9,MIA 27,3,6,Ryan Tannehill right tackle for 1 yard (tackle by Kam Chancellor and Jarran Reed),0.270,-0.300
3,8:13,3,8,MIA 28,3,6,Ryan Tannehill pass incomplete short right intended for Jarvis Landry,-0.300,-1.500
3,8:10,4,8,MIA 28,3,6,"Matt Darr punts 45 yards, returned by Tyler Lockett for 22 yards (tackle by Spencer Paysinger)",-1.500,-2.190
3,7:58,1,10,SEA 49,3,6,Russell Wilson pass complete short right to Thomas Rawls for 11 yards (tackle by Koa Misi and Isa Abdul-Quddus),2.190,2.920
3,7:11,1,10,MIA 40,3,6,Thomas Rawls right end for 5 yards (tackle by Koa Misi),2.920,3.050
3,6:39,2,5,MIA 35,3,6,Christine Michael right tackle for 4 yards (tackle by Reshad Jones),3.050,2.870
3,6:00,3,1,MIA 31,3,6,Thomas Rawls middle for no gain (tackle by Andre Branch and Jordan Phillips),2.870,1.410
3,5:02,4,1,MIA 31,3,6,Russell Wilson pass incomplete short right intended for Doug Baldwin (defended by Isa Abdul-Quddus),1.410,-1.000
3,4:58,1,10,MIA 31,3,6,"Arian Foster right end for 2 yards (tackle by Tony McDaniel and Kam Chancellor). Penalty on Kam Chancellor: Unnecessary Roughness, 15 yards",1.000,2.130
3,4:39,1,10,MIA 48,3,6,Arian Foster right guard for no gain (tackle by Michael Bennett and Kam Chancellor),2.130,1.580
3,4:10,2,10,MIA 48,3,6,Arian Foster left guard for 3 yards (tackle by Michael Bennett and Kam Chancellor),1.580,1.290
3,3:36,3,7,SEA 49,3,6,Ryan Tannehill pass incomplete short right intended for Jarvis Landry (defended by Jeremy Lane),1.290,0.000
3,3:32,4,7,SEA 49,3,6,"Matt Darr punts 38 yards, fair catch by Tyler Lockett",0.000,0.370
3,3:25,1,10,SEA 11,3,6,Thomas Rawls middle for 2 yards (tackle by Andre Branch and Isa Abdul-Quddus),-0.370,-0.630
3,2:47,2,8,SEA 13,3,6,Russell Wilson pass complete short right to Paul Richardson for 11 yards (tackle by Jelani Jenkins and Xavien Howard),-0.630,0.540
3,2:15,1,10,SEA 24,3,6,Thomas Rawls middle for 1 yard (tackle by Koa Misi),0.540,0.130
3,1:42,2,9,SEA 25,3,6,Christine Michael left end for 3 yards (tackle by Kiko Alonso),0.130,-0.160
3,1:03,3,6,SEA 28,3,6,"Russell Wilson pass incomplete deep left intended for Doug Baldwin. Penalty on Cameron Wake: Roughing the Passer, 15 yards (no play)",-0.160,1.800
3,0:56,1,10,SEA 43,3,6,Christine Michael left tackle for 6 yards (tackle by Jelani Jenkins and Jason Jones),1.800,2.060
3,0:11,2,4,SEA 49,3,6,"Christine Michael for 17 yards (tackle by Kiko Alonso). Penalty on SEA: Illegal Shift, 5 yards (no play)",2.060,1.390
Quarter,Time,Down,ToGo,Location,MIA,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,SEA 44,3,6,"Russell Wilson for no gain. Russell Wilson fumbles, recovered by Kiko Alonso at SEA-38 and returned for 2 yards (tackle by Garry Gilliam)",1.390,-3.180
4,14:53,1,10,SEA 36,3,6,Ryan Tannehill pass incomplete,3.180,2.640
4,14:46,2,10,SEA 36,3,6,Arian Foster middle for no gain (tackle by DeShawn Shead and Jarran Reed),2.640,1.950
4,14:07,3,10,SEA 36,3,6,Ryan Tannehill pass complete short middle to Jarvis Landry for 14 yards (tackle by Jeremy Lane),1.950,4.110
4,13:23,1,10,SEA 22,3,6,Ryan Tannehill for 5 yards (tackle by Bobby Wagner),4.110,4.290
4,12:52,2,5,SEA 17,3,6,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry (defended by Jarran Reed),4.290,3.560
4,12:48,3,5,SEA 17,3,6,Ryan Tannehill pass complete short right to Leonte Carroo for 12 yards (tackle by Jeremy Lane and K.J. Wright),3.560,6.060
4,12:05,1,5,SEA 5,3,6,Ryan Tannehill pass incomplete short left intended for Arian Foster (defended by DeShawn Shead),6.060,5.150
4,12:02,2,5,SEA 5,3,6,Ryan Tannehill left tackle for -2 yards (tackle by K.J. Wright and Michael Bennett),5.150,3.810
4,11:21,3,7,SEA 7,3,6,Ryan Tannehill sacked by K.J. Wright for -2 yards,3.810,2.830
4,10:45,4,9,SEA 9,3,6,"Andrew Franks 27 yard field goal no good, blocked by Cassius Marsh",2.830,-0.280
4,10:41,1,10,SEA 20,3,6,Russell Wilson pass complete short right to Thomas Rawls for 6 yards (tackle by Koa Misi),0.280,0.540
4,10:08,2,4,SEA 26,3,6,Thomas Rawls middle for 5 yards (tackle by Koa Misi and Kiko Alonso),0.540,1.000
4,9:24,1,10,SEA 31,3,6,Russell Wilson pass complete deep left to Jermaine Kearse for 24 yards,1.000,2.590
4,8:50,1,10,MIA 45,3,6,Christine Michael right tackle for 8 yards (tackle by Reshad Jones and Kiko Alonso),2.590,3.120
4,8:05,2,2,MIA 37,3,6,Christine Michael middle for -4 yards (tackle by Reshad Jones),3.120,3.120
4,7:20,2,2,MIA 37,3,6,Timeout #1 by Seattle Seahawks,3.120,1.880
4,7:20,3,6,MIA 41,3,6,Russell Wilson pass incomplete short right intended for Christine Michael,1.880,0.530
4,7:17,4,6,MIA 41,3,6,"Jon Ryan punts 27 yards, fair catch by Jarvis Landry",0.530,0.280
4,7:09,1,10,MIA 14,3,6,Ryan Tannehill pass complete deep left to Kenny Stills for 16 yards (tackle by Earl Thomas),-0.280,0.940
4,6:33,1,10,MIA 30,3,6,Arian Foster right guard for 2 yards (tackle by Cliff Avril),0.940,0.660
4,5:57,2,8,MIA 32,3,6,Ryan Tannehill pass complete short left to Jarvis Landry for 9 yards (tackle by Earl Thomas),0.660,1.660
4,5:16,1,10,MIA 41,3,6,Ryan Tannehill pass complete short left to Jarvis Landry for 28 yards (tackle by K.J. Wright and DeShawn Shead),1.660,3.510
4,4:28,1,10,SEA 31,3,6,Ryan Tannehill pass complete short left to Damien Williams for 29 yards (tackle by Bobby Wagner),3.510,6.740
4,4:19,1,2,SEA 2,3,6,Ryan Tannehill pass incomplete,6.740,5.720
4,4:12,2,2,SEA 2,9,6,"Ryan Tannehill middle for 2 yards, touchdown",5.720,7.000
4,4:12,,,SEA 2,10,6,Andrew Franks kicks extra point good,0.000,0.000
4,4:12,,,MIA 35,10,6,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.610
4,4:08,1,10,SEA 25,10,6,Russell Wilson pass incomplete short right intended for Luke Willson,0.610,0.060
4,4:01,2,10,SEA 25,10,6,Christine Michael middle for 8 yards (tackle by Kiko Alonso and Reshad Jones),0.060,0.430
4,3:36,3,2,SEA 33,10,6,Christine Michael left end for 1 yard (tackle by Kiko Alonso),0.430,-1.110
4,3:05,4,1,SEA 34,10,6,Christine Michael middle for 7 yards (tackle by Kiko Alonso),-1.110,1.660
4,2:39,1,10,SEA 41,10,6,Russell Wilson pass complete short middle to Jermaine Kearse for 6 yards (tackle by Kiko Alonso and Reshad Jones),1.660,1.930
4,2:14,2,4,SEA 47,10,6,Russell Wilson pass incomplete short right intended for Christine Michael,1.930,1.930
4,2:11,2,4,SEA 47,10,6,Timeout #1 by Miami Dolphins,1.930,1.220
4,2:11,3,4,SEA 47,10,6,Russell Wilson pass incomplete short middle intended for Jermaine Kearse (defended by Ndamukong Suh),1.220,1.220
4,2:08,3,4,SEA 47,10,6,Timeout #2 by Seattle Seahawks,1.220,-0.260
4,2:08,4,4,SEA 47,10,6,Russell Wilson pass complete short left to Doug Baldwin for 22 yards (tackle by Isa Abdul-Quddus),-0.260,3.510
4,2:02,1,10,MIA 31,10,6,Russell Wilson left tackle for 4 yards (tackle by Jelani Jenkins),3.510,3.510
4,1:57,2,6,MIA 27,10,6,Russell Wilson pass complete short middle to Jimmy Graham for 11 yards (tackle by Byron Maxwell),3.510,4.510
4,1:28,1,10,MIA 16,10,6,Russell Wilson pass complete short right to Tyler Lockett for 5 yards (tackle by Xavien Howard),4.510,4.510
4,1:09,1,10,MIA 16,10,6,Timeout #2 by Miami Dolphins,4.510,4.760
4,1:09,2,5,MIA 11,10,6,Russell Wilson pass complete short right to Doug Baldwin for 9 yards (tackle by Reshad Jones and Xavien Howard),4.760,4.760
4,0:57,2,5,MIA 11,10,6,Timeout #3 by Miami Dolphins,4.760,6.740
4,0:57,1,2,MIA 2,10,6,Christine Michael left guard for no gain (tackle by Ndamukong Suh),6.740,5.720
4,0:35,2,2,MIA 2,10,12,"Russell Wilson pass complete short left to Doug Baldwin for 2 yards, touchdown",5.720,7.000
4,0:35,,,MIA 2,10,12,"Steven Hauschka kicks extra point no good, blocked by Jason Jones",0.000,-1.000
4,0:35,,,SEA 35,10,12,"Steven Hauschka kicks off 69 yards, returned by Jakeem Grant for 22 yards (tackle by Kevin Pierre-Louis)",0.000,-0.040
4,0:26,1,10,MIA 18,10,12,Ryan Tannehill pass incomplete deep left intended for Kenny Stills,0.040,-0.490
4,0:20,2,10,MIA 18,10,12,"Ryan Tannehill sacked by Cassius Marsh for -9 yards. Ryan Tannehill fumbles (forced by Cassius Marsh), ball out of bounds at MIA-11. (forced by Cassius Marsh), ball out of bounds at MIA-11",-0.490,-2.470
4,0:00,3,19,MIA 9,10,12,Ryan Tannehill sacked by Cliff Avril for -8 yards,-2.470,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
