Quarter,Time,Tm,Detail,MIA,SEA
1.0,5:11,Seahawks,Stephen Hauschka 39 yard field goal,0,3
2.0,8:45,Dolphins,Andrew Franks 41 yard field goal,3,3
,0:00,Seahawks,Stephen Hauschka 38 yard field goal,3,6
4.0,4:08,Dolphins,Ryan Tannehill 2 yard rush (Andrew Franks kick),10,6
,0:31,Seahawks,Doug Baldwin 2 yard pass from Russell Wilson (Stephen Hauschka kick failed),10,12
