Unnamed: 0,BUF,SEA
First Downs,30,19
Rush-Yds-TDs,38-162-2,12-33-2
Cmp-Att-Yd-TD-INT,27-39-289-1-1,20-26-282-2-0
Sacked-Yards,5-26,4-37
Net Pass Yards,263,245
Total Yards,425,278
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,11-115,10-75
Third Down Conv.,12-17,2-7
Fourth Down Conv.,0-1,0-0
Time of Possession,40:17,19:43
