Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA
1,0:09,2,10,BUF 30,14,7,Russell Wilson pass complete short middle to Jimmy Graham for 13 yards (tackle by Robert Blanton and Zach Brown),3.030,4.440
Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 17,14,13,"Russell Wilson pass complete deep right to Jimmy Graham for 17 yards, touchdown. Penalty on Robert Blanton: Defensive Pass Interference (Declined)",4.440,7.000
2,14:54,,,BUF 15,14,14,Steven Hauschka kicks extra point good,0.000,0.000
2,14:54,,,SEA 35,14,14,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,14:54,1,10,BUF 25,14,14,Tyrod Taylor pass complete short left to Robert Woods for 25 yards (tackle by Earl Thomas),0.610,2.260
2,14:14,1,10,,14,14,LeSean McCoy left end for 8 yards (tackle by Jarran Reed and DeShawn Shead),2.260,2.790
2,13:36,2,2,SEA 42,14,14,LeSean McCoy right tackle for no gain (tackle by Bobby Wagner),2.790,2.080
2,12:59,3,2,SEA 42,14,14,LeSean McCoy right tackle for 2 yards (tackle by Bobby Wagner),2.080,2.920
2,12:19,1,10,SEA 40,14,14,"Tyrod Taylor right end for 2 yards (tackle by Kelcie McCray). Penalty on Richard Sherman: Defensive Holding, 5 yards",2.920,3.380
2,11:58,1,10,SEA 33,14,14,Tyrod Taylor pass complete short right to Reggie Bush for 14 yards (tackle by Earl Thomas),3.380,4.310
2,11:25,1,10,SEA 19,14,14,Tyrod Taylor pass incomplete,4.310,3.750
2,11:19,2,10,SEA 19,14,14,Tyrod Taylor pass complete short right to LeSean McCoy for 11 yards (tackle by Earl Thomas and Richard Sherman),3.750,5.370
2,10:33,1,8,SEA 8,14,14,LeSean McCoy right tackle for 2 yards (tackle by Jarran Reed),5.370,0.000
2,9:58,,,,14,14,Timeout #2 by Buffalo Bills,0.000,-4.950
2,9:58,2,6,SEA 6,14,14,Tyrod Taylor pass incomplete short right intended for LeSean McCoy,4.950,4.040
2,9:51,3,6,SEA 6,14,14,Tyrod Taylor sacked by Cliff Avril and Frank Clark for -7 yards,4.040,2.570
2,9:35,4,13,SEA 13,17,14,Dan Carpenter 31 yard field goal good,2.570,3.000
2,9:32,,,BUF 35,17,14,"Dan Carpenter kicks off 48 yards, returned by Cassius Marsh for 10 yards (tackle by Lerentee McCray)",0.000,-0.740
2,9:28,1,10,SEA 27,17,14,Russell Wilson pass complete short right to Jimmy Graham for 17 yards (tackle by Preston Brown and Ronald Darby),0.740,1.860
2,8:48,1,10,SEA 44,17,14,Russell Wilson pass incomplete deep right intended for Jermaine Kearse (defended by Ronald Darby),1.860,1.320
2,8:41,2,10,SEA 44,17,14,C.J. Prosise middle for 2 yards (tackle by Lorenzo Alexander and Kyle Williams),1.320,0.890
2,8:02,3,8,SEA 46,17,14,Russell Wilson sacked by Jerry Hughes for -10 yards,0.890,-0.980
2,7:27,4,18,SEA 36,17,14,"Jon Ryan punts 43 yards, returned by Reggie Bush for no gain",-0.980,-0.340
2,7:18,1,10,BUF 21,17,14,LeSean McCoy right end for 1 yard (tackle by Kelcie McCray and DeShawn Shead),0.340,-0.070
2,6:41,2,9,BUF 22,17,14,Tyrod Taylor pass incomplete short left intended for Charles Clay (defended by Kelcie McCray),-0.070,-0.760
2,6:35,3,9,BUF 22,17,14,"Tyrod Taylor pass incomplete deep middle intended for Marquise Goodwin. Penalty on Cliff Avril: Defensive Offside, 5 yards (no play)",-0.760,-0.100
2,6:28,3,4,BUF 27,17,14,Tyrod Taylor pass incomplete,-0.100,-1.570
2,6:21,4,4,BUF 27,17,14,"Colton Schmidt punts 35 yards, returned by Tyler Lockett for 22 yards (tackle by Mike Gillislee)",-1.570,-2.920
,,,,,,,"BUF challenged the runner was in bounds ruling, and the original play was overturned.",,
2,6:11,1,10,BUF 40,17,14,Russell Wilson pass complete deep middle to Jermaine Kearse for 16 yards (tackle by Stephon Gilmore),2.920,3.970
2,5:39,1,10,BUF 24,17,14,Russell Wilson pass complete short right to Doug Baldwin for 12 yards (tackle by Preston Brown),3.970,4.780
2,5:06,1,10,BUF 12,17,14,"Christine Michael right tackle for 2 yards (tackle by Lorenzo Alexander). Penalty on George Fant: Clipping, 15 yards (no play)",4.780,3.780
2,4:38,1,25,BUF 27,17,14,"Russell Wilson pass incomplete deep right intended for Doug Baldwin. Penalty on Ronald Darby: Defensive Pass Interference, 24 yards (no play)",3.780,6.510
2,4:33,1,3,BUF 3,17,20,"Christine Michael right end for 3 yards, touchdown",6.510,7.000
2,4:29,,,BUF 15,17,21,Steven Hauschka kicks extra point good,0.000,0.000
2,4:29,,,SEA 35,17,21,"Steven Hauschka kicks off 65 yards, returned by Reggie Bush for 13 yards (tackle by Steven Terrell)",0.000,0.320
2,4:21,1,10,BUF 13,17,21,"Mike Gillislee right tackle for 1 yard (tackle by Damontre Moore). Penalty on Cordy Glenn: Offensive Holding, 6 yards (no play)",-0.320,-0.610
2,3:56,1,16,BUF 7,17,21,Tyrod Taylor pass complete short middle to Charles Clay for 3 yards (tackle by Bobby Wagner),-0.610,-1.000
2,3:14,2,13,BUF 10,17,21,Tyrod Taylor pass incomplete,-1.000,-1.770
2,3:09,3,13,BUF 10,17,21,"Penalty on Tyrod Taylor: Delay of Game, 5 yards (no play)",-1.770,-2.360
2,3:09,3,18,BUF 5,17,21,LeSean McCoy left end for 15 yards (tackle by DeShawn Shead and Kelcie McCray),-2.360,-2.030
2,2:29,4,3,BUF 20,17,21,"Colton Schmidt punts 36 yards, returned by Tyler Lockett for -2 yards (tackle by Corey Graham). Penalty on Damontre Moore: Offensive Holding, 10 yards",-2.030,-1.070
2,2:19,1,10,SEA 32,17,21,Russell Wilson pass complete short left to Jimmy Graham for 15 yards (tackle by Nickell Robey-Coleman),1.070,2.060
2,2:00,1,10,SEA 47,17,21,"Penalty on Jimmy Graham: False Start, 5 yards (no play)",2.060,1.730
2,2:00,1,15,SEA 42,17,21,Russell Wilson pass complete deep left to Jermaine Kearse for 20 yards,1.730,3.050
2,1:50,1,10,BUF 38,17,21,Russell Wilson pass complete short left to C.J. Prosise for 6 yards (tackle by Corey Graham),3.050,3.320
2,1:48,2,4,BUF 32,17,21,Russell Wilson pass incomplete,3.320,2.610
2,1:45,3,4,BUF 32,17,21,Russell Wilson pass complete short middle to Jimmy Graham for 14 yards (tackle by Robert Blanton and Corey Graham),2.610,4.370
2,1:05,1,10,BUF 18,17,27,"Russell Wilson pass complete deep middle to Jimmy Graham for 18 yards, touchdown",4.370,7.000
2,1:00,,,BUF 15,17,28,Steven Hauschka kicks extra point good,0.000,0.000
2,1:00,,,SEA 35,17,28,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
2,1:00,1,10,BUF 25,17,28,Tyrod Taylor pass complete short middle to Mike Gillislee for -2 yards (tackle by Bobby Wagner and Frank Clark),0.610,0.000
2,0:48,,,,17,28,Timeout #1 by Seattle Seahawks,0.000,0.210
2,0:48,2,12,BUF 23,17,28,Tyrod Taylor pass complete deep middle to Robert Woods for 29 yards (tackle by Kelcie McCray),-0.210,2.390
2,0:27,1,10,SEA 48,17,28,Tyrod Taylor pass incomplete,2.390,1.850
2,0:20,2,10,SEA 48,17,28,"Tyrod Taylor pass complete short middle to Reggie Bush for 8 yards. Penalty on Walt Powell: Illegal Block Above the Waist, 10 yards",1.850,1.580
2,0:11,2,12,,17,28,Tyrod Taylor pass complete short middle to Robert Woods for 15 yards (tackle by Bobby Wagner and Earl Thomas),1.580,0.000
2,0:03,,,,17,28,Timeout #3 by Buffalo Bills,0.000,-3.250
2,0:03,1,10,SEA 35,17,28,"Dan Carpenter 53 yard field goal no good. Penalty on Richard Sherman: Defensive Offside, 5 yards (no play)",3.250,0.000
2,0:03,,,,17,28,Timeout #4 by Buffalo Bills,0.000,-3.980
2,0:03,1,5,SEA 30,17,28,Jonathan Williams spiked the ball,3.980,3.380
2,0:01,2,5,SEA 30,17,28,"Penalty on Dan Carpenter: Delay of Game, 5 yards (no play)",3.380,2.700
2,0:01,2,10,SEA 35,17,28,Dan Carpenter 54 yard field goal no good,2.700,1.730
Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,17,28,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BUF 25,17,28,Tyrod Taylor pass complete short left to Marquise Goodwin for 15 yards (tackle by DeShawn Shead),0.610,1.600
3,14:21,1,10,BUF 40,17,28,Tyrod Taylor pass complete short left to Mike Gillislee for 6 yards (tackle by Brock Coyle),1.600,1.860
3,13:45,2,4,BUF 46,17,28,Tyrod Taylor right end for 2 yards (tackle by K.J. Wright),1.860,1.420
3,13:02,3,2,BUF 48,17,28,Tyrod Taylor pass complete short right to LeSean McCoy for 5 yards (tackle by K.J. Wright),1.420,2.460
3,12:18,1,10,SEA 47,17,28,Tyrod Taylor pass complete short left to Robert Woods for 9 yards (tackle by Bobby Wagner and Brock Coyle),2.460,3.130
3,11:40,2,1,SEA 38,17,28,Mike Gillislee left tackle for 7 yards (tackle by Ahtyba Rubin),3.130,3.510
3,11:05,1,10,SEA 31,17,28,Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by DeShawn Shead),3.510,3.510
3,10:30,2,6,SEA 27,17,28,Tyrod Taylor pass incomplete deep right intended for Robert Woods is intercepted by Richard Sherman at SEA--4 and returned for 31 yards,3.510,-0.740
3,10:18,1,10,SEA 27,17,28,Christine Michael left tackle for no gain (tackle by Stephon Gilmore and Lorenzo Alexander),0.740,0.200
3,9:45,2,10,SEA 27,17,28,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Corey White),0.200,0.300
3,9:10,3,4,SEA 33,17,28,Russell Wilson left end for 8 yards (tackle by Jerry Hughes),0.300,1.660
3,8:27,1,10,SEA 41,17,28,Russell Wilson pass complete short right to Brandon Williams for 16 yards (tackle by Robert Blanton and Corey White),1.660,2.720
3,7:45,1,10,BUF 43,17,28,Russell Wilson pass incomplete short right intended for Tyler Lockett,2.720,2.180
3,7:39,2,10,BUF 43,17,28,Christine Michael right tackle for no gain (tackle by Kyle Williams),2.180,1.490
3,6:59,3,10,BUF 43,17,28,Russell Wilson sacked by Shaq Lawson for -12 yards,1.490,-0.390
3,6:23,4,22,SEA 45,17,28,"Jon Ryan punts 37 yards, fair catch by Reggie Bush",-0.390,-0.040
3,6:15,1,10,BUF 18,17,28,LeSean McCoy left end for 4 yards (tackle by K.J. Wright),0.040,0.140
3,5:34,2,6,BUF 22,17,28,Tyrod Taylor pass incomplete short left intended for Marquise Goodwin,0.140,-0.660
3,5:29,3,6,BUF 22,17,28,Tyrod Taylor pass complete short right to Marquise Goodwin for 13 yards (tackle by Jeremy Lane),-0.660,1.270
3,5:03,1,10,BUF 35,17,28,LeSean McCoy middle for 12 yards (tackle by Damontre Moore and Earl Thomas),1.270,2.060
3,4:28,1,10,BUF 47,17,28,LeSean McCoy right tackle for 4 yards (tackle by Earl Thomas and Richard Sherman),2.060,2.060
3,3:50,2,6,SEA 49,17,28,"Tyrod Taylor pass complete short right to Robert Woods for 10 yards (tackle by Bobby Wagner). Penalty on Robert Woods: Taunting, 15 yards",2.060,1.990
3,3:19,1,10,BUF 46,17,28,Mike Gillislee left tackle for 2 yards (tackle by Sealver Siliga and Kelcie McCray),1.990,1.720
3,2:46,2,8,BUF 48,17,28,Tyrod Taylor pass complete short left to Marquise Goodwin for 7 yards,1.720,1.950
3,2:16,3,1,SEA 45,17,28,Tyrod Taylor pass complete short middle to Robert Woods for 15 yards (tackle by Earl Thomas and Jeremy Lane),1.950,3.580
3,1:30,1,10,SEA 30,17,28,LeSean McCoy right end for 6 yards (tackle by Richard Sherman and Kelcie McCray),3.580,3.840
3,0:57,2,4,SEA 24,17,28,Tyrod Taylor pass complete short left to LeSean McCoy for 15 yards (tackle by Kelcie McCray),3.840,5.140
3,0:57,1,9,SEA 9,17,28,"Penalty on BUF: Offensive 12 On-field, 5 yards (no play)",5.140,4.440
Quarter,Time,Down,ToGo,Location,BUF,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,14,SEA 14,17,28,Tyrod Taylor pass complete short left to Robert Woods for 13 yards (tackle by Brock Coyle),4.440,5.910
4,14:28,2,1,SEA 1,23,28,"Mike Gillislee left guard for 1 yard, touchdown",5.910,7.000
4,14:26,,,SEA 2,25,28,"Two Point Attempt: Tyrod Taylor middle, conversion succeeds",0.000,1.000
4,14:26,,,BUF 35,25,28,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
4,14:26,1,10,SEA 25,25,28,"Doug Baldwin right end for 1 yard (tackle by Jerry Hughes and Corey White). Penalty on Doug Baldwin: Illegal Motion, 5 yards (no play)",0.610,0.280
4,13:57,1,15,SEA 20,25,28,Russell Wilson pass complete short middle to Doug Baldwin for 7 yards (tackle by Corey White),0.280,0.330
4,13:19,2,8,SEA 27,25,28,Russell Wilson pass complete short middle to Jimmy Graham for 10 yards (tackle by Corey Graham and Preston Brown),0.330,1.400
4,12:43,1,10,SEA 37,25,28,C.J. Prosise middle for 4 yards (tackle by Corey Graham and Preston Brown),1.400,1.400
4,12:07,2,6,SEA 41,25,28,Russell Wilson pass incomplete short left intended for Brandon Williams,1.400,0.700
4,11:58,3,6,SEA 41,25,28,"Justin Britt for -6 yards. Justin Britt fumbles, recovered by Russell Wilson at SEA-35. Penalty on Nickell Robey-Coleman: Defensive Pass Interference, 24 yards (no play)",0.700,3.250
4,11:53,1,10,BUF 35,25,28,Russell Wilson sacked by Lorenzo Alexander for -6 yards,3.250,1.890
4,11:09,2,16,BUF 41,25,28,"Russell Wilson pass complete short right to Jimmy Graham for 5 yards (tackle by Zach Brown). Penalty on Jermaine Kearse: Illegal Motion, 5 yards (no play)",1.890,1.220
4,10:41,2,21,BUF 46,25,28,Russell Wilson pass complete short right to Paul Richardson for 15 yards (tackle by Robert Blanton),1.220,2.540
4,10:00,3,6,BUF 31,25,28,Russell Wilson pass incomplete deep right intended for Jermaine Kearse,2.540,1.340
4,9:54,4,6,BUF 31,25,31,Steven Hauschka 49 yard field goal good,1.340,3.000
4,9:49,,,SEA 35,25,31,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,9:49,1,10,BUF 25,25,31,LeSean McCoy left tackle for no gain (tackle by Kelcie McCray),0.610,0.060
4,9:10,2,10,BUF 25,25,31,Tyrod Taylor pass complete short left to Walt Powell for 9 yards (tackle by DeShawn Shead),0.060,0.560
,,,,,,,"SEA challenged the pass completion ruling, and the play was upheld.",,
4,8:34,3,1,BUF 34,25,31,Mike Gillislee middle for 3 yards (tackle by K.J. Wright and Brock Coyle),0.560,1.400
4,8:04,1,10,BUF 37,25,31,LeSean McCoy right guard for 3 yards (tackle by Bobby Wagner),1.400,1.260
4,7:26,2,7,BUF 40,25,31,Tyrod Taylor for 16 yards (tackle by DeShawn Shead),1.260,2.650
4,6:57,1,10,SEA 44,25,31,LeSean McCoy right tackle for 7 yards (tackle by Bobby Wagner and K.J. Wright),2.650,3.060
4,6:31,2,3,SEA 37,25,31,Mike Gillislee right guard for 2 yards (tackle by Bobby Wagner and Brock Coyle),3.060,2.610
4,5:54,3,1,SEA 35,25,31,Mike Gillislee right guard for 3 yards (tackle by Kelcie McCray),2.610,3.450
4,5:11,1,10,SEA 32,25,31,Tyrod Taylor pass incomplete short middle intended for Jerome Felton,3.450,2.900
4,5:06,2,10,SEA 32,25,31,LeSean McCoy left end for no gain (tackle by Kelcie McCray),2.900,2.210
4,4:16,3,10,SEA 32,25,31,"Tyrod Taylor pass complete short middle to Robert Woods for 8 yards (tackle by Earl Thomas). Penalty on Cordy Glenn: Tripping, 11 yards (no play)",2.210,0.760
4,4:05,3,21,SEA 43,25,31,LeSean McCoy middle for -2 yards (tackle by Damontre Moore),0.760,0.270
4,3:22,4,23,SEA 45,25,31,"Colton Schmidt punts 27 yards, out of bounds",0.270,-0.040
4,3:14,1,10,SEA 18,25,31,Russell Wilson pass complete short left to Jimmy Graham for -1 yards (tackle by Corey Graham),0.040,0.000
4,3:04,,,,25,31,Timeout #1 by Buffalo Bills,0.000,0.650
4,3:04,2,11,SEA 17,25,31,C.J. Prosise right tackle for 3 yards (tackle by Preston Brown and Zach Brown),-0.650,0.000
4,2:59,,,,25,31,Timeout #2 by Buffalo Bills,0.000,0.910
4,2:59,3,8,SEA 20,25,31,Russell Wilson sacked by Kyle Williams for -9 yards,-0.910,0.000
4,2:53,,,,25,31,Timeout #3 by Buffalo Bills,0.000,2.490
4,2:53,4,17,SEA 11,25,31,"Jon Ryan punts 62 yards, returned by Reggie Bush for 13 yards (tackle by Kevin Pierre-Louis)",-2.490,-1.600
4,2:41,1,10,BUF 40,25,31,Tyrod Taylor pass complete short left to Robert Woods for 11 yards (tackle by Richard Sherman),1.600,2.320
4,2:09,1,10,SEA 49,25,31,LeSean McCoy middle for -1 yards (tackle by Damontre Moore),2.320,1.650
4,2:00,2,11,,25,31,Tyrod Taylor sacked by Bobby Wagner and Frank Clark for -10 yards,1.650,-0.360
4,1:25,3,21,BUF 40,25,31,"Tyrod Taylor pass complete deep right to Robert Woods for 22 yards. Penalty on Bobby Wagner: Roughing the Passer, 15 yards, Penalty on Jeremy Lane: Defensive Holding (Declined)",-0.360,4.040
4,1:17,1,10,SEA 23,25,31,Tyrod Taylor right end for 8 yards (tackle by K.J. Wright),4.040,4.750
4,1:09,2,2,SEA 15,25,31,"Penalty on Frank Clark: Defensive Offside, 5 yards (no play)",4.750,4.910
4,1:09,1,10,SEA 10,25,31,LeSean McCoy right tackle for 3 yards (tackle by Bobby Wagner),4.910,0.000
4,1:01,,,,25,31,Timeout #2 by Seattle Seahawks,0.000,-4.760
4,1:01,2,7,SEA 7,25,31,Tyrod Taylor sacked by K.J. Wright for -1 yards,4.760,0.000
4,0:52,,,,25,31,Timeout #3 by Seattle Seahawks,0.000,-3.580
4,0:52,3,8,SEA 8,25,31,Tyrod Taylor sacked by Cliff Avril for -7 yards,3.580,2.440
4,0:20,4,15,SEA 15,25,31,Tyrod Taylor pass incomplete short middle intended for Robert Woods,2.440,0.220
4,0:13,1,10,SEA 15,25,31,Russell Wilson kneels for -1 yards,-0.220,-0.820
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
