0,1
Game Info,Game Info
Won Toss,Jets
Roof,outdoors
Surface,grass
Duration,2:52
Attendance,76255
Weather,"61 degrees, relative humidity 13%, wind 4 mph, wind chill 0"
Vegas Line,Denver Broncos -13.0
Over/Under,41.0 (under)
