Quarter,Time,Tm,Detail,HOU,NYJ
1.0,11:05,Texans,Owen Daniels 34 yard pass from Matt Schaub (Shayne Graham kick),7,0
,4:07,Jets,Jeff Cumberland 27 yard pass from Mark Sanchez (Nick Folk kick),7,7
2.0,11:11,Texans,Arian Foster 13 yard rush (Shayne Graham kick),14,7
,0:00,Texans,Shayne Graham 27 yard field goal,17,7
3.0,4:51,Texans,Shayne Graham 42 yard field goal,20,7
,4:38,Jets,Joe McKnight 100 yard kickoff return (Nick Folk kick),20,14
,0:13,Texans,Shayne Graham 22 yard field goal,23,14
4.0,11:55,Jets,Nick Folk 21 yard field goal,23,17
