Quarter,Time,Tm,Detail,TEN,PIT
1.0,8:23,Titans,Ben Troupe 1 yard pass from Steve McNair (Rob Bironas kick),7,0
,2:42,Steelers,Heath Miller 3 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
2.0,10:50,Steelers,Jeff Reed 44 yard field goal,7,10
,8:49,Steelers,Antwaan Randle El 63 yard pass from Ben Roethlisberger (Jeff Reed kick),7,17
,0:21,Steelers,Jeff Reed 27 yard field goal,7,20
3.0,11:37,Steelers,Willie Parker 11 yard rush (Jeff Reed kick),7,27
,2:03,Steelers,Verron Haynes 5 yard rush (Jeff Reed kick),7,34
