Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Ethan Evans kicks off 71 yards, returned by Devin Duvernay for 21 yards (tackle by Jake Hummel)",0.000,-0.220
1,14:54,1,10,BAL 15,0,0,Gus Edwards left tackle for 3 yards (tackle by Bobby Brown),-0.220,-0.280
1,14:17,2,7,BAL 18,0,0,Lamar Jackson pass complete short left to Keaton Mitchell for 8 yards (tackle by John Johnson),-0.280,0.670
1,13:40,1,10,BAL 26,0,0,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Michael Hoecht),0.670,1.070
1,13:04,2,3,BAL 33,0,0,Keaton Mitchell right end for 1 yard (tackle by Byron Young and Jonah Williams),1.070,0.500
1,12:28,3,2,BAL 34,0,0,Gus Edwards up the middle for 1 yard (tackle by Michael Hoecht and Ernest Jones),0.500,-1.040
1,11:47,4,1,BAL 35,0,0,"Jordan Stout punts 45 yards, returned by Austin Trammell for 4 yards (tackle by Del'Shawn Phillips)",-1.040,-0.540
1,11:36,1,10,LAR 24,0,0,Kyren Williams left guard for 5 yards (tackle by Marlon Humphrey),0.540,0.670
1,11:04,2,5,LAR 29,0,0,Kyren Williams right guard for 10 yards (tackle by Roquan Smith),0.670,1.530
1,10:25,1,10,LAR 39,0,0,Kyren Williams right guard for 4 yards (tackle by Jadeveon Clowney and Patrick Queen),1.530,1.530
1,9:42,2,6,LAR 43,0,0,Kyren Williams right tackle for 9 yards (tackle by Brandon Stephens),1.530,2.390
1,9:00,1,10,BAL 48,0,0,Royce Freeman left guard for 3 yards (tackle by Justin Madubuike),2.390,2.250
1,8:17,2,7,BAL 45,0,0,Puka Nacua right end for 6 yards (tackle by Geno Stone),2.250,2.340
1,7:49,3,1,BAL 39,0,0,Kyren Williams up the middle for 2 yards (tackle by Kyle Van Noy and Geno Stone),2.340,3.120
1,7:02,1,10,BAL 37,0,0,"Kyren Williams right end for 2 yards (tackle by Tavius Robinson and Roquan Smith). Penalty on Tavius Robinson: Face Mask (15 Yards), 15 yards (accepted)",3.120,4.240
1,6:38,1,10,BAL 20,0,0,Kyren Williams up the middle for 11 yards (tackle by Marlon Humphrey and Kyle Hamilton),4.240,5.140
1,5:51,1,9,BAL 9,0,0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson,5.140,4.380
1,5:47,2,9,BAL 9,0,0,Matthew Stafford pass incomplete short right intended for Puka Nacua,4.380,3.360
1,5:42,3,9,BAL 9,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,3.360,2.830
1,5:37,4,9,BAL 9,3,0,Lucas Havrisik 27 yard field goal good,2.830,3.000
1,5:35,,,LAR 35,3,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,5:35,1,10,BAL 25,3,0,Lamar Jackson pass incomplete deep right intended for Zay Flowers,0.610,0.060
1,5:27,2,10,BAL 25,3,0,Lamar Jackson pass complete deep left to Odell Beckham for 20 yards (tackle by Derion Kendrick),0.060,1.930
1,4:47,1,10,BAL 45,3,0,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,1.930,1.380
1,4:38,2,10,BAL 45,3,0,Lamar Jackson sacked by Ernest Jones for no gain,1.380,0.700
1,4:10,3,10,BAL 45,3,0,Lamar Jackson pass incomplete short right intended for Keaton Mitchell,0.700,-0.390
1,4:07,4,10,BAL 45,3,0,"Jordan Stout punts 47 yards, fair catch by Austin Trammell at LA-8",-0.390,0.380
1,4:00,1,10,LAR 8,3,0,Matthew Stafford pass complete short middle to Puka Nacua for 17 yards (tackle by Marcus Williams and Kyle Hamilton),-0.380,0.610
1,3:38,1,10,LAR 25,3,0,Matthew Stafford pass incomplete short right intended for Puka Nacua,0.610,0.060
1,3:30,2,10,LAR 25,3,0,Matthew Stafford pass complete short middle to Puka Nacua for 4 yards (tackle by Kyle Hamilton),0.060,-0.100
1,2:42,3,6,LAR 29,3,0,Matthew Stafford sacked by Justin Madubuike for -8 yards,-0.100,-1.960
1,2:05,4,14,LAR 21,3,0,"Ethan Evans punts 59 yards, returned by Devin Duvernay for 14 yards (tackle by Ben Skowronek)",-1.960,-1.200
1,1:54,1,10,BAL 34,3,0,Keaton Mitchell right end for 6 yards (tackle by Michael Hoecht and Ernest Jones),1.200,1.470
1,1:14,2,4,BAL 40,3,0,Keaton Mitchell right guard for 6 yards (tackle by Bobby Brown),1.470,1.990
1,0:34,1,10,BAL 46,3,6,"Lamar Jackson pass complete deep left to Isaiah Likely for 54 yards, touchdown",1.990,7.000
1,0:25,,,LAR 15,3,7,Justin Tucker kicks extra point good,0.000,0.000
1,0:25,,,BAL 35,3,7,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,0:25,1,10,LAR 25,3,7,Royce Freeman left tackle for 3 yards (tackle by Justin Madubuike and Tavius Robinson),0.610,0.470
Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
