Unnamed: 0,LAR,BAL
First Downs,24,23
Rush-Yds-TDs,30-128-0,26-139-0
Cmp-Att-Yd-TD-INT,23-41-294-3-0,24-43-316-3-1
Sacked-Yards,2-12,2-6
Net Pass Yards,282,310
Total Yards,410,449
Fumbles-Lost,2-0,1-0
Turnovers,0,1
Penalties-Yards,5-34,7-79
Third Down Conv.,6-16,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:35,27:43
