Unnamed: 0,DAL,CLE
First Downs,30,11
Rush-Yds-TDs,31-167-3,18-91-0
Cmp-Att-Yd-TD-INT,24-32-320-1-1,11-24-114-1-0
Sacked-Yards,0-0,1-0
Net Pass Yards,320,114
Total Yards,487,205
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,11-82,9-55
Third Down Conv.,8-11,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,37:29,22:31
