Quarter,Time,Tm,Detail,PHI,SFO
1.0,3:51,Eagles,Carson Wentz 11 yard rush (Zach Ertz pass from Carson Wentz),8,0
,0:21,49ers,Brandon Aiyuk 38 yard rush (Robbie Gould kick),8,7
3.0,8:26,49ers,George Kittle 5 yard pass from Nick Mullens (Robbie Gould kick),8,14
,0:55,Eagles,Jake Elliott 35 yard field goal,11,14
4.0,5:50,Eagles,Travis Fulgham 42 yard pass from Carson Wentz (Jake Elliott kick),18,14
,5:42,Eagles,Alex Singleton 30 yard interception return (Jake Elliott kick),25,14
,2:02,49ers,Jerick McKinnon 1 yard rush (pass failed),25,20
