Unnamed: 0,PHI,SFO
First Downs,18,25
Rush-Yds-TDs,28-93-1,20-116-2
Cmp-Att-Yd-TD-INT,18-28-193-1-1,32-45-338-1-2
Sacked-Yards,3-19,5-37
Net Pass Yards,174,301
Total Yards,267,417
Fumbles-Lost,2-0,1-1
Turnovers,1,3
Penalties-Yards,3-25,6-42
Third Down Conv.,4-13,5-11
Fourth Down Conv.,2-2,0-1
Time of Possession,29:29,30:31
