Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
2,11:31,1,10,TAM 1,7,7,Earnest Graham middle for 61 yards (tackle by Leon Hall),-0.380,3.050
2,10:42,1,10,CIN 38,7,7,Josh Freeman pass incomplete deep right intended for Kellen Winslow is intercepted by Johnathan Joseph at CIN-12 and returned for 11 yards,3.050,-0.480
2,10:26,1,10,CIN 23,7,7,Bernard Scott left tackle for 3 yards (tackle by Kyle Moore),0.480,0.340
2,9:50,2,7,CIN 26,7,7,Bernard Scott left tackle for 1 yard (tackle by Cody Grimm and Barrett Ruud),0.340,-0.230
2,9:06,3,6,CIN 27,7,7,"Penalty on Bobbie Williams: False Start, 5 yards (no play)",-0.230,-0.890
2,8:59,3,11,CIN 22,7,7,Carson Palmer pass incomplete short left intended for Jermaine Gresham (defended by Quincy Black),-0.890,-1.900
2,8:51,4,11,CIN 22,7,7,Kevin Huber punts 29 yards,-1.900,-2.190
2,8:41,1,10,TAM 49,7,7,Cadillac Williams left end for 3 yards (tackle by Leon Hall),2.190,2.050
2,8:02,2,7,CIN 48,7,7,Cadillac Williams right guard for 5 yards (tackle by Nedu Ndukwe and Rey Maualuga),2.050,2.010
2,7:17,3,2,CIN 43,7,7,Josh Freeman pass complete short middle to Sammie Stroughter for 6 yards (tackle by Morgan Trent),2.010,3.120
2,6:38,1,10,CIN 37,7,7,Cadillac Williams middle for no gain (tackle by Nedu Ndukwe),3.120,2.570
2,5:51,2,10,CIN 37,7,7,Josh Freeman pass complete short middle to Kellen Winslow for 11 yards (tackle by Dhani Jones and Chris Crocker),2.570,3.840
2,5:04,1,10,CIN 26,7,7,Cadillac Williams right tackle for -2 yards (tackle by Keith Rivers and Tank Johnson),3.840,3.030
2,4:26,2,12,CIN 28,7,7,Josh Freeman pass complete short left to Sammie Stroughter for 14 yards (tackle by Adam Jones),3.030,4.650
2,4:12,1,10,CIN 14,7,7,Cadillac Williams right guard for no gain (tackle by Geno Atkins),4.650,4.000
2,3:25,2,10,CIN 14,7,7,"Penalty on Josh Freeman: Delay of Game, 5 yards (no play)",4.000,3.370
2,3:00,2,15,CIN 19,7,7,"Josh Freeman pass complete short middle to Mike Williams for 15 yards. Mike Williams fumbles, recovered by Nedu Ndukwe at CIN-3 (tackle by Arrelious Benn). Penalty on Keydrick Vincent: Face Mask (15 Yards), 15 yards",3.370,-0.040
2,2:52,1,10,CIN 18,7,7,Carson Palmer pass complete short middle to Terrell Owens for 1 yard (tackle by Cody Grimm),0.040,-0.320
2,2:15,2,9,CIN 19,7,7,Cedric Benson left tackle for 22 yards (tackle by Geno Hayes),-0.320,1.660
2,2:00,1,10,CIN 41,7,7,Carson Palmer pass complete short middle to Cedric Benson for 12 yards (tackle by Geno Hayes),1.660,2.460
2,1:29,1,10,TAM 47,7,7,Carson Palmer pass complete short right to Andre Caldwell for 19 yards (tackle by Sabby Piscitelli),2.460,3.710
2,1:23,,,,7,7,Timeout #1 by Cincinnati Bengals,0.000,3.710
2,1:23,1,10,TAM 28,7,7,Carson Palmer pass incomplete short left intended for Chad Johnson (defended by E.J. Biggers),3.710,3.170
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,1:18,2,10,TAM 28,7,7,Carson Palmer pass complete short right to Jermaine Gresham for 10 yards (tackle by Aqib Talib),3.170,4.370
2,0:53,1,10,TAM 18,7,7,Carson Palmer pass complete short left to Andre Caldwell for 5 yards (tackle by Ronde Barber),4.370,4.610
2,0:47,,,,7,7,Timeout #2 by Cincinnati Bengals,0.000,4.610
2,0:47,2,5,TAM 13,7,7,Carson Palmer pass incomplete short middle intended for Chad Johnson,4.610,3.820
2,0:41,,,,7,7,Timeout #2 by Tampa Bay Buccaneers,0.000,3.820
2,0:41,3,5,TAM 13,7,7,Carson Palmer pass incomplete short middle intended for Andre Caldwell,3.820,2.620
2,0:37,4,5,TAM 13,7,10,Mike Nugent 31 yard field goal good,2.620,3.000
2,,,,CIN 30,,,"Mike Nugent kicks off 66 yards, returned by Micheal Spurlock for 20 yards (tackle by Brandon Ghee)",,
2,0:28,1,10,TAM 24,7,10,Josh Freeman kneels for -1 yards,0.540,-0.140
Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 30,7,10,"Mike Nugent kicks off 67 yards, returned by Micheal Spurlock for 20 yards (tackle by Dan Skuta)",0.000,0.480
3,14:53,1,10,TAM 23,7,10,Josh Freeman pass complete short middle to Mike Williams for 8 yards (tackle by Leon Hall),0.480,1.010
3,14:21,2,2,TAM 31,7,10,Cadillac Williams left guard for 14 yards (tackle by Rey Maualuga),1.010,1.930
3,13:41,1,10,TAM 45,7,10,Cadillac Williams right guard for 9 yards (tackle by Chris Crocker),1.930,2.600
3,13:03,2,1,CIN 46,7,10,Josh Freeman pass incomplete short middle intended for Cadillac Williams (defended by Dhani Jones),2.600,1.880
3,12:56,3,1,CIN 46,7,10,Earnest Graham left guard for 3 yards (tackle by Dhani Jones),1.880,2.720
3,12:54,1,10,CIN 43,7,10,Josh Freeman pass incomplete short right intended for Arrelious Benn,2.720,2.180
3,12:49,2,10,CIN 43,7,10,LeGarrette Blount left tackle for 2 yards (tackle by Rey Maualuga and Frostee Rucker),2.180,1.750
3,12:02,3,8,CIN 41,7,10,Josh Freeman pass incomplete deep left intended for Mike Williams,1.750,0.530
3,11:56,4,8,CIN 41,7,10,Chris Bryan punts 15 yards,0.530,-0.670
3,11:52,1,10,CIN 26,7,10,Carson Palmer pass complete deep left to Terrell Owens for 16 yards (tackle by Aqib Talib),0.670,1.730
3,11:35,1,10,CIN 42,7,10,Cedric Benson left tackle for 5 yards (tackle by Barrett Ruud and Kyle Moore),1.730,1.860
3,11:01,2,5,CIN 47,7,10,Carson Palmer pass incomplete short middle intended for Cedric Benson,1.860,1.160
3,10:55,3,5,CIN 47,7,10,Carson Palmer pass incomplete deep left intended for Jerome Simpson (defended by E.J. Biggers),1.160,-0.260
3,10:47,4,5,CIN 47,7,10,"Kevin Huber punts 53 yards, touchback",-0.260,-0.280
3,10:38,1,10,TAM 20,7,10,Josh Freeman pass complete short middle to Arrelious Benn for 18 yards (tackle by Nedu Ndukwe),0.280,1.470
3,9:59,1,10,TAM 38,7,10,LeGarrette Blount middle for 3 yards (tackle by Domata Peko),1.470,1.330
3,9:19,2,7,TAM 41,7,10,LeGarrette Blount right end for -4 yards (tackle by Keith Rivers and Nedu Ndukwe),1.330,0.100
3,8:46,3,11,TAM 37,7,10,Josh Freeman middle for 12 yards (tackle by Rey Maualuga and Robert Geathers),0.100,2.190
3,7:57,,,,7,10,Timeout #1 by Tampa Bay Buccaneers,0.000,2.190
3,7:57,1,10,TAM 49,7,10,Josh Freeman pass complete short right to John Gilmore for 11 yards (tackle by Nedu Ndukwe),2.190,2.920
3,7:12,1,10,CIN 40,7,10,Josh Freeman pass incomplete deep middle intended for Mike Williams (defended by Johnathan Joseph),2.920,2.370
3,7:04,2,10,CIN 40,7,10,Josh Freeman pass complete deep right to Kellen Winslow for 22 yards (tackle by Chris Crocker),2.370,4.370
3,6:22,1,10,CIN 18,7,10,LeGarrette Blount middle for 2 yards (tackle by Nedu Ndukwe and Dhani Jones),4.370,4.090
3,5:40,2,8,CIN 16,7,10,"Josh Freeman pass incomplete deep left intended for Mike Williams (defended by Leon Hall). Penalty on Leon Hall: Defensive Pass Interfere, 15 yards (no play)",4.090,6.970
3,5:33,1,1,CIN 1,13,10,"Earnest Graham left end for 1 yard, touchdown",6.970,7.000
3,,,,CIN 2,14,10,Connor Barth kicks extra point good,0.000,0.000
3,,,,TAM 30,14,10,"Connor Barth kicks off 66 yards, returned by Adam Jones for 24 yards (tackle by Arrelious Benn)",0.000,0.810
3,5:17,1,10,CIN 28,14,10,Cedric Benson right guard for 18 yards (tackle by Cody Grimm),0.810,1.990
3,4:48,1,10,CIN 46,14,10,Cedric Benson left tackle for 11 yards (tackle by Cody Grimm and Ronde Barber),1.990,2.720
3,4:18,1,10,TAM 43,14,10,Carson Palmer pass complete short right to Chad Johnson for 4 yards,2.720,2.720
3,3:45,2,6,TAM 39,14,10,Carson Palmer pass complete short middle to Cedric Benson for 7 yards (tackle by Ronde Barber),2.720,3.450
3,3:12,1,10,TAM 32,14,10,Cedric Benson left tackle for 13 yards (tackle by Cody Grimm),3.450,4.310
3,2:31,1,10,TAM 19,14,10,Carson Palmer pass incomplete short right intended for Terrell Owens,4.310,3.750
3,2:22,2,10,TAM 19,14,10,Cedric Benson right guard for 2 yards (tackle by Cody Grimm),3.750,3.260
3,1:40,3,8,TAM 17,14,10,Carson Palmer pass incomplete short middle intended for Jermaine Gresham,3.260,2.310
3,1:33,4,8,TAM 17,14,13,Mike Nugent 35 yard field goal good,2.310,3.000
3,,,,CIN 30,14,13,"Mike Nugent kicks off 68 yards, returned by Micheal Spurlock for 24 yards (tackle by Roddrick Muckelroy). Micheal Spurlock fumbles (forced by Roddrick Muckelroy), recovered by Adam Jones at TAM-29",0.000,-3.640
,,,,,,,"CIN challenged the runner was down by contact ruling, and the original play was overturned.",,
3,1:24,1,10,TAM 29,14,13,Cedric Benson left tackle for -3 yards (tackle by Quincy Black),3.640,2.700
3,0:42,2,13,TAM 32,14,13,Cedric Benson left tackle for 4 yards (tackle by Stylez G. White),2.700,2.540
Quarter,Time,Down,ToGo,Location,TAM,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,TAM 28,14,13,Carson Palmer pass complete short middle to Brian Leonard for 11 yards (tackle by Sabby Piscitelli),2.540,4.440
4,14:19,1,10,TAM 17,14,13,Cedric Benson left end for 9 yards (tackle by Sabby Piscitelli),4.440,5.480
4,13:39,2,1,TAM 8,14,13,Cedric Benson left guard for 6 yards (tackle by Barrett Ruud),5.480,6.740
4,12:56,1,2,TAM 2,14,13,Cedric Benson left guard for 1 yard (tackle by Ronde Barber),6.740,5.910
4,12:19,2,1,TAM 1,14,19,"Carson Palmer pass complete short middle to Jermaine Gresham for 1 yard, touchdown",5.910,7.000
4,,,,,14,21,"Two Point Attempt: Cedric Benson left guard, conversion succeeds",1.000,1.000
4,,,,CIN 30,14,21,"Mike Nugent kicks off 74 yards, touchback",0.000,0.280
4,12:12,1,10,TAM 20,14,21,"Josh Freeman sacked by Chris Crocker for -7 yards. Josh Freeman fumbles (forced by Chris Crocker), recovered by Keydrick Vincent at TAM-25",0.280,0.410
4,11:24,2,5,TAM 25,14,21,Josh Freeman pass incomplete short right intended for Cadillac Williams,0.410,-0.300
4,11:19,3,5,TAM 25,14,21,"Penalty on Donald Penn: False Start, 5 yards (no play)",-0.300,-0.960
4,11:19,3,10,TAM 20,14,21,Josh Freeman pass complete deep left to Mike Williams for 37 yards (tackle by Adam Jones),-0.960,2.720
4,10:31,1,10,CIN 43,14,21,Josh Freeman sacked by Chris Crocker for -8 yards,2.720,1.100
4,10:00,2,18,TAM 49,14,21,Josh Freeman pass incomplete short middle intended for Cadillac Williams (defended by Dhani Jones),1.100,0.430
4,9:53,3,18,TAM 49,14,21,Josh Freeman pass complete short middle to Micheal Spurlock for 11 yards (tackle by Johnathan Joseph and Leon Hall),0.430,0.590
4,9:02,,,,14,21,Timeout #2 by Tampa Bay Buccaneers,0.000,0.590
4,9:02,4,7,CIN 40,14,21,Chris Bryan punts 34 yards,0.590,0.380
4,8:51,1,10,CIN 6,14,21,Cedric Benson right tackle for 4 yards (tackle by Sabby Piscitelli),-0.380,-0.490
4,8:15,2,6,CIN 10,14,21,Cedric Benson left guard for 5 yards (tackle by Aqib Talib),-0.490,-0.370
4,7:35,3,1,CIN 15,14,21,Cedric Benson middle for 7 yards (tackle by Sabby Piscitelli),-0.370,0.410
4,6:55,1,10,CIN 22,14,21,Carson Palmer pass complete short right to Terrell Owens for 4 yards (tackle by Aqib Talib),0.410,0.410
4,6:16,2,6,CIN 26,14,21,Cedric Benson left tackle for 4 yards (tackle by Barrett Ruud),0.410,0.230
4,5:38,3,2,CIN 30,14,21,Brian Leonard left end for -2 yards (tackle by Geno Hayes),0.230,-1.500
4,5:02,4,4,CIN 28,14,21,"Kevin Huber punts 72 yards, touchback",-1.500,-0.280
4,4:51,1,10,TAM 20,14,21,Josh Freeman pass incomplete deep left intended for Mike Williams (defended by Leon Hall),0.280,-0.270
4,4:44,2,10,TAM 20,14,21,Josh Freeman pass complete short left to Micheal Spurlock for 3 yards (tackle by Nedu Ndukwe),-0.270,-0.560
4,4:01,3,7,TAM 23,14,21,Josh Freeman pass complete short right to Kellen Winslow for 1 yard (tackle by Rey Maualuga and Nedu Ndukwe),-0.560,-1.770
4,3:24,4,6,TAM 24,14,21,"Chris Bryan punts 35 yards, fair catch by Quan Cosby",-1.770,-1.660
4,3:17,1,10,CIN 41,14,21,Cedric Benson middle for no gain,1.660,1.120
4,2:37,2,10,CIN 41,14,21,Cedric Benson left tackle for 2 yards (tackle by Roy Miller and Kyle Moore),1.120,0.700
4,2:28,,,,14,21,Timeout #3 by Tampa Bay Buccaneers,0.000,0.700
4,2:28,3,8,CIN 43,14,21,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",0.700,0.040
4,2:28,3,13,CIN 38,14,21,Carson Palmer pass incomplete short middle intended for Terrell Owens is intercepted by Aqib Talib at 50,0.040,-2.260
4,2:18,1,10,,14,21,Josh Freeman pass complete short left to Kellen Winslow for 6 yards (tackle by Nedu Ndukwe),2.260,2.520
4,2:13,2,4,CIN 44,14,21,Josh Freeman pass incomplete short middle intended for Kellen Winslow,2.520,1.820
4,2:07,3,4,CIN 44,14,21,Josh Freeman right end for 9 yards (tackle by Chris Crocker),1.820,3.250
4,1:59,1,10,CIN 35,14,21,Josh Freeman pass complete short right to Mike Williams for 15 yards (tackle by Johnathan Joseph),3.250,4.240
4,1:34,1,10,CIN 20,20,21,"Josh Freeman pass complete deep right to Mike Williams for 20 yards, touchdown",4.240,7.000
4,,,,CIN 2,21,21,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 30,21,21,"Connor Barth kicks off 69 yards, returned by Bernard Scott for 15 yards (tackle by Corey Lynch)",0.000,-0.140
4,1:21,1,10,CIN 16,21,21,Carson Palmer pass complete deep middle to Terrell Owens for 29 yards (tackle by Cody Grimm),-0.140,1.930
4,0:57,1,10,CIN 45,21,21,Brian Leonard middle for no gain (tackle by Quincy Black and Cody Grimm),1.930,1.380
4,0:52,,,,21,21,Timeout #1 by Cincinnati Bengals,0.000,1.380
4,0:52,2,10,CIN 45,21,21,Carson Palmer pass complete short right to Chad Johnson for 9 yards (tackle by E.J. Biggers),1.380,1.880
4,0:36,3,1,TAM 46,21,21,Carson Palmer right guard for 3 yards,1.880,2.720
4,0:31,,,,21,21,Timeout #2 by Cincinnati Bengals,0.000,2.720
4,0:31,1,10,TAM 43,21,21,"Carson Palmer pass complete short left to Terrell Owens for 9 yards. Penalty on Terrell Owens: Offensive Pass Interfere, 10 yards (no play)",2.720,2.060
4,0:25,1,20,CIN 47,21,21,Carson Palmer pass incomplete deep right intended for Chad Johnson is intercepted by Sabby Piscitelli at TAM-35 and returned for 31 yards,2.060,-3.310
4,0:14,1,10,CIN 34,21,21,Josh Freeman pass complete deep right to Micheal Spurlock for 21 yards,3.310,4.710
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:05,,,,21,21,Timeout #3 by Cincinnati Bengals,0.000,4.710
4,0:05,1,10,CIN 13,24,21,Connor Barth 31 yard field goal good,4.710,3.000
4,,,,TAM 30,24,21,"Connor Barth kicks off 52 yards, returned by Quan Cosby for -7 yards, lateral to Leon Hall for 37 yards, lateral to Reggie Nelson for -1 yards. Reggie Nelson fumbles, recovered by Earnest Graham at CIN-47 (tackle by Brian Leonard)",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
