Unnamed: 0,TAM,CIN
First Downs,21,20
Rush-Yds-TDs,22-125-1,28-149-0
Cmp-Att-Yd-TD-INT,22-35-284-1-1,21-36-209-2-3
Sacked-Yards,3-18,0-0
Net Pass Yards,266,209
Total Yards,391,358
Fumbles-Lost,4-2,1-1
Turnovers,3,4
Penalties-Yards,3-25,9-60
Third Down Conv.,5-11,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:25,29:35
