Quarter,Time,Tm,Detail,TAM,CIN
1.0,4:09,Bengals,Terrell Owens 43 yard pass from Carson Palmer (Mike Nugent kick),0,7
2.0,14:32,Buccaneers,Cody Grimm 11 yard interception return (Connor Barth kick),7,7
,0:33,Bengals,Mike Nugent 31 yard field goal,7,10
3.0,5:28,Buccaneers,Earnest Graham 1 yard rush (Connor Barth kick),14,10
,1:29,Bengals,Mike Nugent 35 yard field goal,14,13
4.0,12:12,Bengals,Jermaine Gresham 1 yard pass from Carson Palmer (Cedric Benson run),14,21
,1:26,Buccaneers,Mike Williams 20 yard pass from Josh Freeman (Connor Barth kick),21,21
,0:01,Buccaneers,Connor Barth 31 yard field goal,24,21
