Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 60 yards, returned by Allen Rossum for 9 yards (tackle by Andre Frazier)",0.000,0.150
1,14:55,1,10,ATL 19,0,0,Michael Vick pass complete short left to Justin Griffith for 6 yards (tackle by Brian Simmons),0.150,0.480
1,14:16,2,4,ATL 25,0,0,Warrick Dunn left tackle for 2 yards (tackle by Caleb Miller),0.480,-0.030
1,13:34,3,2,ATL 27,0,0,Michael Vick pass complete deep left to Ashley Lelie for 28 yards (tackle by Madieu Williams),-0.030,2.590
1,12:54,1,10,CIN 45,0,0,Michael Vick for 14 yards (tackle by Ahmad Brooks),2.590,3.510
1,12:23,1,10,CIN 31,0,0,Michael Vick pass incomplete short right intended for Ashley Lelie,3.510,2.970
1,12:18,2,10,CIN 31,0,0,Warrick Dunn right end for 7 yards (tackle by Deltha O'Neal),2.970,3.200
1,11:37,3,3,CIN 24,0,0,Michael Vick pass incomplete short left intended for Alge Crumpler,3.200,1.970
1,11:28,4,3,CIN 24,3,0,Morten Andersen 42 yard field goal good,1.970,3.000
1,,,,ATL 30,3,0,"Michael Koenen kicks off 66 yards, returned by Chris Perry for 22 yards (tackle by Demorrio Williams)",0.000,0.670
1,11:18,1,10,CIN 26,3,0,"Carson Palmer pass complete short right to Rudi Johnson for 3 yards (tackle by DeAngelo Hall and Michael Boley). Penalty on Chris Crocker: Unnecessary Roughness, 15 yards",0.670,1.860
1,11:03,1,10,CIN 44,3,0,Rudi Johnson right tackle for 13 yards (tackle by DeAngelo Hall),1.860,2.720
1,10:43,1,10,ATL 43,3,0,Rudi Johnson right guard for 2 yards (tackle by Grady Jackson),2.720,2.450
1,10:17,2,8,ATL 41,3,0,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 10 yards (tackle by Kevin Mathis),2.450,3.510
1,9:46,1,10,ATL 31,3,0,Carson Palmer pass complete short right to Rudi Johnson for 5 yards (tackle by Kevin Mathis),3.510,3.640
1,9:14,2,5,ATL 26,3,0,"Penalty on Patrick Kerney: Defensive Offside, 5 yards (no play)",3.640,4.170
1,9:02,1,10,ATL 21,3,0,Carson Palmer pass incomplete deep right intended for Chad Johnson (defended by DeAngelo Hall),4.170,3.630
1,8:57,2,10,ATL 21,3,0,Rudi Johnson left guard for 8 yards (tackle by Keith Brooking),3.630,4.240
1,8:24,3,2,ATL 13,3,0,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 4 yards (tackle by Keith Brooking),4.240,5.140
1,7:45,1,9,ATL 9,3,0,Rudi Johnson middle for 8 yards (tackle by Jason Webster and Keith Brooking),5.140,5.910
1,7:01,2,1,ATL 1,3,6,"Rudi Johnson right tackle for 1 yard, touchdown",5.910,7.000
1,,,,ATL 2,3,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,3,7,"Shayne Graham kicks off 70 yards, returned by Allen Rossum for 23 yards (tackle by Herana-Daze Jones). Allen Rossum fumbles (forced by Herana-Daze Jones), recovered by Omare Lowe at ATL-23",0.000,0.480
1,6:47,1,10,ATL 23,3,7,Warrick Dunn right guard for 3 yards (tackle by Justin Smith),0.480,0.340
1,6:08,2,7,ATL 26,3,7,Warrick Dunn middle for 9 yards (tackle by Brian Simmons),0.340,1.270
1,5:25,1,10,ATL 35,3,7,Michael Vick middle for 8 yards (tackle by Domata Peko and Ahmad Brooks),1.270,1.800
1,4:41,2,2,ATL 43,3,7,Warrick Dunn middle for 1 yard (tackle by Caleb Miller),1.800,1.220
1,3:59,3,1,ATL 44,3,7,Warrick Dunn right tackle for 2 yards (tackle by Justin Smith),1.220,1.990
1,3:19,1,10,ATL 46,3,7,Michael Vick pass complete short right to Warrick Dunn for 11 yards (tackle by Johnathan Joseph),1.990,2.720
1,2:48,1,10,CIN 43,3,7,Michael Vick pass complete deep right to Michael Jenkins for 18 yards (tackle by Johnathan Joseph),2.720,3.910
1,2:27,1,10,CIN 25,3,7,Warrick Dunn left guard for 1 yard (tackle by Domata Peko),3.910,3.500
1,1:50,2,9,CIN 24,3,7,Warrick Dunn left end for 2 yards (tackle by Dexter Jackson),3.500,3.070
1,1:07,3,7,CIN 22,3,7,Michael Vick pass incomplete deep left intended for Roddy White,3.070,1.990
1,1:01,4,7,CIN 22,6,7,Morten Andersen 40 yard field goal good,1.990,3.000
1,,,,ATL 30,6,7,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
1,0:56,1,10,CIN 20,6,7,Carson Palmer pass complete short middle to Chris Henry for 15 yards (tackle by DeAngelo Hall and Jason Webster),0.280,1.270
1,0:20,1,10,CIN 35,6,7,Carson Palmer pass incomplete short left intended for Chad Johnson,1.270,0.720
1,0:14,2,10,CIN 35,6,7,"Penalty on Grady Jackson: Encroachment, 5 yards (no play)",0.720,1.400
1,0:14,2,5,CIN 40,6,7,Rudi Johnson right tackle for 2 yards (tackle by Keith Brooking),1.400,0.960
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,CIN 42,6,7,Carson Palmer pass incomplete short middle intended for T.J. Houshmandzadeh,0.960,-0.590
2,14:55,4,3,CIN 42,6,7,"Kyle Larson punts 48 yards, returned by Allen Rossum for 2 yards (tackle by Kevin Kaesviharn)",-0.590,0.350
2,14:44,1,10,ATL 12,6,7,Warrick Dunn left end for 8 yards (tackle by Ahmad Brooks and Caleb Miller),-0.350,0.290
2,14:02,,,,6,7,Timeout #1 by Atlanta Falcons,0.000,0.290
2,14:02,2,2,ATL 20,6,7,Michael Vick left end for -1 yards (tackle by Robert Geathers),0.290,-0.600
2,13:19,3,3,ATL 19,6,7,Michael Vick pass complete short left to Michael Jenkins for 9 yards (tackle by Johnathan Joseph). Penalty on CIN: Defensive 12 On-field (Declined),-0.600,0.810
2,12:48,1,10,ATL 28,6,7,Michael Vick pass incomplete deep right intended for Ashley Lelie,0.810,0.260
2,12:42,2,10,ATL 28,6,7,Warrick Dunn middle for 3 yards (tackle by Madieu Williams),0.260,-0.030
