Quarter,Time,Tm,Detail,ATL,CIN
1.0,11:24,Falcons,Morten Andersen 42 yard field goal,3,0
,6:56,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),3,7
,0:56,Falcons,Morten Andersen 40 yard field goal,6,7
2.0,7:13,Bengals,Chad Johnson 12 yard pass from Carson Palmer (Shayne Graham kick),6,14
,1:54,Falcons,Alge Crumpler 16 yard pass from Michael Vick (Morten Andersen kick),13,14
,0:15,Bengals,Shayne Graham 51 yard field goal,13,17
3.0,9:55,Falcons,Michael Jenkins 26 yard pass from Michael Vick (Morten Andersen kick),20,17
,4:34,Bengals,Shayne Graham 26 yard field goal,20,20
,2:21,Falcons,Justin Griffith 8 yard pass from Michael Vick (pass failed),26,20
4.0,7:42,Falcons,Morten Andersen 39 yard field goal,29,20
,3:41,Bengals,Chris Henry 55 yard pass from Carson Palmer (Shayne Graham kick),29,27
