Unnamed: 0,ATL,CIN
First Downs,25,22
Rush-Yds-TDs,38-143-0,18-73-1
Cmp-Att-Yd-TD-INT,19-27-291-3-0,24-36-266-2-0
Sacked-Yards,2-14,2-8
Net Pass Yards,277,258
Total Yards,420,331
Fumbles-Lost,2-0,1-1
Turnovers,0,1
Penalties-Yards,9-75,4-30
Third Down Conv.,7-13,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:08,22:52
