Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,TEN 20,0,0,Kerry Collins pass incomplete short right intended for Damian Williams,0.280,-0.270
1,14:54,2,10,TEN 20,0,0,Chris Johnson right tackle for no gain (tackle by Trent Cole and Mike Patterson),-0.270,-0.960
1,14:18,3,10,TEN 20,0,0,Kerry Collins pass complete short left to Damian Williams for 4 yards (tackle by Joselio Hanson),-0.960,-1.770
1,13:39,4,6,TEN 24,0,0,"Brett Kern punts 42 yards, fair catch by Jorrick Calvin",-1.770,-1.200
1,13:31,1,10,PHI 34,0,0,Kevin Kolb pass complete short right to Jeremy Maclin for 9 yards (tackle by Cortland Finnegan),1.200,1.870
1,12:56,2,1,PHI 43,0,0,Kevin Kolb pass incomplete short right intended for Owen Schmitt,1.870,1.160
1,12:50,3,1,PHI 43,0,0,LeSean McCoy middle for 3 yards (tackle by Dave Ball),1.160,1.990
1,12:13,1,10,PHI 46,0,0,LeSean McCoy left guard for 2 yards (tackle by Chris Hope),1.990,1.720
1,11:41,2,8,PHI 48,0,0,Chad Hall middle for 8 yards (tackle by Will Witherspoon),1.720,2.650
1,10:56,1,10,TEN 44,0,0,Kevin Kolb pass complete short right to LeSean McCoy for 3 yards (tackle by Stephen Tulloch and Jovan Haye),2.650,2.520
1,10:15,2,7,TEN 41,0,0,Kevin Kolb pass incomplete short left intended for Jeremy Maclin,2.520,1.820
1,10:11,3,7,TEN 41,0,0,Kevin Kolb pass complete short right to Owen Schmitt for 3 yards (tackle by Stephen Tulloch),1.820,0.720
1,9:30,4,4,TEN 38,0,0,"Saverio Rocca punts 32 yards, fair catch by Marc Mariani",0.720,0.380
1,9:21,1,10,TEN 6,0,0,Chris Johnson right tackle for 4 yards (tackle by Mike Patterson),-0.380,-0.490
1,8:44,2,6,TEN 10,0,0,Chris Johnson left guard for 12 yards (tackle by Asante Samuel),-0.490,0.410
1,8:15,1,10,TEN 22,0,0,Kerry Collins pass incomplete short left intended for Craig Stevens,0.410,-0.130
1,8:09,2,10,TEN 22,0,0,"Kerry Collins pass incomplete deep left intended for Nate Washington is intercepted by Quintin Mikell at PHI-49. Penalty on PHI: Unsportsmanlike Conduct, 15 yards",-0.130,-1.200
1,7:28,1,10,PHI 34,0,0,LeSean McCoy right tackle for 5 yards (tackle by Stephen Tulloch and Gerald McRath),1.200,1.330
1,7:21,2,5,PHI 39,0,0,Kevin Kolb pass incomplete deep left intended for Brent Celek,1.330,0.630
1,7:21,3,5,PHI 39,0,0,Kevin Kolb pass incomplete deep middle intended for Chad Hall,0.630,-0.780
1,7:16,4,5,PHI 39,0,0,"Saverio Rocca punts 46 yards, returned by Marc Mariani for 11 yards (tackle by Akeem Jordan)",-0.780,-0.670
1,7:04,1,10,TEN 26,0,0,"Chris Johnson right guard for no gain (tackle by Nate Allen and Ernie Sims). Penalty on Leroy Harris: Offensive Holding, 10 yards (no play)",0.670,-0.300
1,6:39,1,20,TEN 16,0,0,"Chris Johnson right tackle for no gain (tackle by Quintin Mikell). Penalty on Leroy Harris: Offensive Holding, 8 yards, Penalty on Jake Scott: Offensive Holding (Declined) (no play)",-0.300,-1.060
1,6:17,1,28,TEN 8,0,0,Chris Johnson right end for 11 yards (tackle by Mike Patterson and Asante Samuel),-1.060,-0.870
1,5:49,2,17,TEN 19,0,0,Kerry Collins sacked by Antonio Dixon for -6 yards,-0.870,-2.860
1,5:18,3,23,TEN 13,0,0,Javon Ringer left guard for 4 yards (tackle by Juqua Parker and Ernie Sims),-2.860,-2.320
1,4:43,4,19,TEN 17,0,0,"Brett Kern punts 35 yards, fair catch by Jorrick Calvin",-2.320,-2.130
1,4:35,1,10,PHI 48,0,0,Kevin Kolb pass complete short right to LeSean McCoy for 11 yards (tackle by Cortland Finnegan),2.130,2.850
1,4:01,1,10,TEN 41,0,0,LeSean McCoy left guard for 2 yards (tackle by Stephen Tulloch),2.850,2.580
1,3:24,2,8,TEN 39,0,0,"Kevin Kolb pass incomplete short right intended for Garrett Mills (defended by Jason Jones). Penalty on Max Jean-Gilles: Offensive Holding, 10 yards (no play)",2.580,1.230
1,3:19,2,18,TEN 49,0,0,Kevin Kolb pass complete deep middle to Jason Avant for 16 yards (tackle by Chris Hope),1.230,2.680
1,2:39,3,2,TEN 33,0,0,Kevin Kolb pass complete short right to Owen Schmitt for 3 yards (tackle by Gerald McRath),2.680,3.580
1,2:02,1,10,TEN 30,0,0,LeSean McCoy right guard for 3 yards (tackle by Will Witherspoon),3.580,3.440
1,1:25,2,7,TEN 27,0,0,Chad Hall middle for 4 yards (tackle by Jovan Haye and Stephen Tulloch),3.440,3.270
1,0:47,3,3,TEN 23,0,0,Kevin Kolb pass complete short left to Brent Celek for 4 yards (tackle by Alterraun Verner),3.270,4.310
1,0:05,1,10,TEN 19,0,0,LeSean McCoy right tackle for 8 yards (tackle by Cortland Finnegan),4.310,5.140
Quarter,Time,Down,ToGo,Location,PHI,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,TEN 11,0,0,LeSean McCoy middle for 1 yard (tackle by William Hayes),5.140,4.690
2,14:19,3,1,TEN 10,0,0,LeSean McCoy middle for 3 yards (tackle by William Hayes),4.690,5.600
2,13:44,1,7,TEN 7,0,0,Kevin Kolb pass incomplete short left intended for Jason Avant,5.600,4.760
2,13:39,2,7,TEN 7,0,0,LeSean McCoy right guard for -5 yards (tackle by Jason Babin),4.760,3.100
2,12:56,3,12,TEN 12,0,0,Kevin Kolb pass complete short right to Garrett Mills for 5 yards (tackle by Cortland Finnegan and Gerald McRath),3.100,2.970
2,12:14,4,7,TEN 7,3,0,David Akers 25 yard field goal good,2.970,3.000
2,,,,PHI 30,3,0,"David Akers kicks off 70 yards, touchback",0.000,0.280
2,12:09,1,10,TEN 20,3,0,Chris Johnson right tackle for 2 yards (tackle by Quintin Mikell and Moise Fokou),0.280,0.000
2,11:36,2,8,TEN 22,3,0,Kerry Collins pass complete short right to Damian Williams for 5 yards (tackle by Asante Samuel),0.000,-0.030
2,10:55,3,3,TEN 27,3,0,Kerry Collins pass complete short middle to Damian Williams for 16 yards (tackle by Nate Allen),-0.030,1.800
2,10:19,1,10,TEN 43,3,0,Chris Johnson left tackle for 10 yards (tackle by Quintin Mikell),1.800,2.460
2,9:42,1,10,PHI 47,3,0,Kerry Collins pass incomplete short middle intended for Chris Johnson (defended by Ernie Sims),2.460,1.910
2,9:38,2,10,PHI 47,3,0,Kerry Collins pass complete short left to Nate Washington for 7 yards,1.910,2.150
2,9:07,3,3,PHI 40,3,0,"Kerry Collins pass incomplete short left intended for Damian Williams. Penalty on Ellis Hobbs: Defensive Offside, 5 yards (no play)",2.150,3.250
2,9:02,1,10,PHI 35,3,0,Kerry Collins pass incomplete short left intended for Bo Scaife,3.250,2.700
2,8:58,2,10,PHI 35,3,0,Chris Johnson left tackle for 4 yards (tackle by Stewart Bradley),2.700,2.540
2,8:19,3,6,PHI 31,3,0,"Kerry Collins sacked by Quintin Mikell for -9 yards. Kerry Collins fumbles (forced by Quintin Mikell), recovered by Juqua Parker at PHI-41 (tackle by Kerry Collins)",2.540,-1.660
2,8:12,1,10,PHI 41,3,0,Kevin Kolb pass incomplete deep middle intended for Jeremy Maclin is intercepted by Michael Griffin at TEN-27 and returned for 28 yards,1.660,-2.590
2,7:57,1,10,PHI 45,3,0,Chris Johnson right tackle for no gain (tackle by Stewart Bradley),2.590,2.040
2,7:19,2,10,PHI 45,3,0,Kerry Collins pass incomplete short middle intended for Bo Scaife (defended by Antonio Dixon),2.040,1.360
2,7:16,3,10,PHI 45,3,0,"Kerry Collins pass incomplete short left intended for Damian Williams. Penalty on Juqua Parker: Roughing the Passer, 15 yards (no play)",1.360,3.580
2,7:11,1,10,PHI 30,3,0,Kerry Collins pass incomplete deep right intended for Nate Washington,3.580,3.030
2,7:04,2,10,PHI 30,3,0,Kerry Collins pass complete short right to Chris Johnson for 4 yards (tackle by Ernie Sims and Nate Allen),3.030,2.870
2,6:35,3,6,PHI 26,3,6,"Kerry Collins pass complete deep left to Kenny Britt for 26 yards, touchdown",2.870,7.000
2,,,,PHI 2,3,7,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,3,7,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
2,6:29,1,10,PHI 20,3,7,Kevin Kolb pass complete short left to LeSean McCoy for 10 yards (tackle by Stephen Tulloch),0.280,0.940
2,5:49,1,10,PHI 30,3,7,Kevin Kolb sacked by Dave Ball for -4 yards,0.940,-0.150
2,5:12,2,14,PHI 26,3,7,Kevin Kolb pass incomplete deep right intended for Jeremy Maclin,-0.150,-0.820
2,5:06,3,14,PHI 26,3,7,Kevin Kolb right end for 15 yards (tackle by Dave Ball),-0.820,1.660
2,4:20,1,10,PHI 41,3,7,LeSean McCoy left guard for 7 yards (tackle by Chris Hope and Michael Griffin),1.660,2.070
