#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TEN 20,3,1:29,4,Punt
2,1,9:21,TEN 6,4,1:53,16,Interception
3,1,7:04,TEN 26,3,2:29,-9,Punt
4,2,12:09,TEN 20,9,3:57,39,Fumble
5,2,7:57,PHI 45,5,1:28,45,Touchdown
6,2,1:56,TEN 20,4,0:46,-15,Punt
7,2,0:04,,0,0:04,0,End of Half
8,3,11:14,TEN 20,3,0:53,3,Interception
9,3,5:51,TEN 3,9,4:33,74,Field Goal
10,4,13:26,TEN 20,1,0:13,80,Touchdown
11,4,12:06,TEN 34,6,2:40,46,Field Goal
12,4,7:30,TEN 47,6,2:27,53,Touchdown
13,4,4:06,TEN 23,3,0:29,-3,Punt
14,4,3:37,PHI 33,7,3:15,18,Field Goal
