#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:31,PHI 34,8,4:10,28,Punt
2,1,7:28,PHI 34,3,0:24,5,Punt
3,1,4:35,PHI 48,14,7:26,45,Field Goal
4,2,8:12,PHI 41,1,0:15,0,Interception
5,2,6:29,PHI 20,10,4:33,80,Touchdown
6,2,1:10,PHI 43,7,1:06,29,Field Goal
7,3,15:00,PHI 25,9,3:46,47,Field Goal
8,3,10:21,TEN 41,8,4:30,38,Fumble
9,3,1:18,TEN 45,7,2:52,35,Field Goal
10,4,13:13,PHI 20,3,1:07,3,Punt
11,4,9:26,PHI 20,3,1:56,-5,Punt
12,4,5:03,PHI 20,3,0:57,6,Punt
13,4,0:22,PHI 20,1,0:22,-10,Interception
