Unnamed: 0,PHI,TEN
First Downs,21,15
Rush-Yds-TDs,24-99-0,26-75-0
Cmp-Att-Yd-TD-INT,26-48-231-1-2,17-31-276-3-2
Sacked-Yards,1-4,3-23
Net Pass Yards,227,253
Total Yards,326,328
Fumbles-Lost,2-2,1-1
Turnovers,4,3
Penalties-Yards,10-100,6-37
Third Down Conv.,10-18,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:24,26:36
