Unnamed: 0,MIA,JAX
First Downs,23,21
Rush-Yds-TDs,20-77-0,19-84-1
Cmp-Att-Yd-TD-INT,34-48-354-2-1,25-41-319-1-0
Sacked-Yards,0-0,2-7
Net Pass Yards,354,312
Total Yards,431,396
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,7-55,8-54
Third Down Conv.,9-17,3-12
Fourth Down Conv.,1-2,2-3
Time of Possession,32:40,27:20
