Quarter,Time,Tm,Detail,MIA,JAX
1.0,7:45,Dolphins,Jaylen Waddle 6 yard pass from Tua Tagovailoa (Jason Sanders kick),7,0
,3:49,Jaguars,Matthew Wright 40 yard field goal,7,3
2.0,14:15,Dolphins,Jason Sanders 33 yard field goal,10,3
,5:38,Dolphins,Jason Sanders 24 yard field goal,13,3
,0:40,Jaguars,Marvin Jones 28 yard pass from Trevor Lawrence (Matthew Wright kick),13,10
3.0,12:29,Jaguars,James Robinson 1 yard rush (Matthew Wright kick),13,17
4.0,10:22,Dolphins,Jaylen Waddle 2 yard pass from Tua Tagovailoa (Jason Sanders kick),20,17
,3:40,Jaguars,Matthew Wright 54 yard field goal,20,20
,0:00,Jaguars,Matthew Wright 53 yard field goal,20,23
