Quarter,Time,Tm,Detail,OAK,TEN
1.0,6:17,Raiders,Sebastian Janikowski 34 yard field goal,3,0
,4:39,Titans,Nate Washington 56 yard pass from Vince Young (Rob Bironas kick),3,7
,1:39,Titans,Rob Bironas 43 yard field goal,3,10
2.0,3:45,Titans,Javon Ringer 15 yard rush (Rob Bironas kick),3,17
,1:43,Titans,Chris Johnson 76 yard rush (Rob Bironas kick),3,24
,0:16,Raiders,Sebastian Janikowski 30 yard field goal,6,24
3.0,1:47,Titans,Chris Johnson 4 yard rush (Rob Bironas kick),6,31
4.0,14:55,Titans,Bo Scaife 1 yard pass from Vince Young (Rob Bironas kick),6,38
,9:58,Raiders,Darren McFadden 7 yard pass from Jason Campbell (Sebastian Janikowski kick),13,38
