Unnamed: 0,OAK,TEN
First Downs,21,17
Rush-Yds-TDs,26-136-0,39-205-3
Cmp-Att-Yd-TD-INT,22-37-180-1-1,13-17-154-2-0
Sacked-Yards,4-30,2-14
Net Pass Yards,150,140
Total Yards,286,345
Fumbles-Lost,4-1,2-1
Turnovers,2,1
Penalties-Yards,10-77,8-81
Third Down Conv.,3-14,8-15
Fourth Down Conv.,0-2,0-0
Time of Possession,28:56,31:04
