Quarter,Time,Tm,Detail,SDG,NWE
1.0,6:22,Chargers,Nate Kaeding 42 yard field goal,3,0
,1:34,Patriots,Corey Dillon 1 yard rush (Adam Vinatieri kick),3,7
2.0,6:21,Chargers,Keenan McCardell 11 yard pass from Drew Brees (Nate Kaeding kick),10,7
,5:29,Patriots,Tim Dwight 30 yard pass from Tom Brady (Adam Vinatieri kick),10,14
,2:47,Chargers,LaDainian Tomlinson 8 yard rush (Nate Kaeding kick),17,14
,0:21,Patriots,Adam Vinatieri 24 yard field goal,17,17
3.0,6:16,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),24,17
,0:19,Chargers,Reche Caldwell 28 yard pass from Drew Brees (Nate Kaeding kick),31,17
4.0,4:44,Chargers,Nate Kaeding 21 yard field goal,34,17
,0:34,Chargers,Clinton Hart 40 yard interception return (Nate Kaeding kick),41,17
