Unnamed: 0,SDG,NWE
First Downs,26,18
Rush-Yds-TDs,40-183-2,18-72-1
Cmp-Att-Yd-TD-INT,19-24-248-2-0,21-36-239-1-2
Sacked-Yards,0-0,1-8
Net Pass Yards,248,231
Total Yards,431,303
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,7-50,4-62
Third Down Conv.,7-12,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,36:38,23:22
