Quarter,Time,Tm,Detail,DEN,DAL
1.0,8:06,Cowboys,Dez Bryant 2 yard pass from Tony Romo (Dan Bailey kick),0,7
,3:18,Cowboys,DeMarco Murray 4 yard rush (Dan Bailey kick),0,14
,2:28,Broncos,Julius Thomas 4 yard pass from Peyton Manning (Matt Prater kick),7,14
2.0,12:14,Cowboys,Dan Bailey 43 yard field goal,7,17
,9:06,Broncos,Eric Decker 2 yard pass from Peyton Manning (Matt Prater kick),14,17
,5:22,Broncos,Julius Thomas 9 yard pass from Peyton Manning (Matt Prater kick),21,17
,0:46,Broncos,Peyton Manning 1 yard rush (Matt Prater kick),28,17
,0:00,Cowboys,Dan Bailey 48 yard field goal,28,20
3.0,8:03,Broncos,Wes Welker 2 yard pass from Peyton Manning (Matt Prater kick),35,20
,7:08,Cowboys,Terrance Williams 82 yard pass from Tony Romo (Dan Bailey kick),35,27
,3:23,Broncos,Matt Prater 48 yard field goal,38,27
,0:14,Cowboys,Dez Bryant 2 yard pass from Tony Romo (run failed),38,33
4.0,13:38,Cowboys,Jason Witten 10 yard pass from Tony Romo (Terrance Williams pass from Tony Romo),38,41
,9:37,Broncos,Matt Prater 50 yard field goal,41,41
,7:19,Cowboys,Cole Beasley 4 yard pass from Tony Romo (Dan Bailey kick),41,48
,2:39,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),48,48
,0:00,Broncos,Matt Prater 28 yard field goal,51,48
