Unnamed: 0,DEN,DAL
First Downs,34,24
Rush-Yds-TDs,31-103-2,14-52-1
Cmp-Att-Yd-TD-INT,33-42-414-4-1,25-36-506-5-1
Sacked-Yards,0-0,4-36
Net Pass Yards,414,470
Total Yards,517,522
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,5-55,9-81
Third Down Conv.,9-13,4-6
Fourth Down Conv.,0-0,0-0
Time of Possession,32:34,27:26
