Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 61 yards, returned by Michael Lewis for 27 yards (tackle by Matt Bryant)",0.000,1.330
1,14:54,1,10,NOR 36,0,0,Aaron Brooks pass incomplete intended for Joe Horn (defended by Micheal Barrow),1.330,0.790
1,14:50,2,10,NOR 36,0,0,Aaron Brooks pass complete to Deuce McAllister for 9 yards (tackle by Dhani Jones),0.790,1.290
1,14:16,3,1,NOR 45,0,0,Deuce McAllister left guard for 2 yards (tackle by Keith Hamilton and Johnnie Harris),1.290,2.060
1,13:44,1,10,NOR 47,0,0,Deuce McAllister right guard for 3 yards (tackle by Micheal Barrow),2.060,1.920
1,13:09,2,7,NOR 50,0,6,"Aaron Brooks pass complete to Joe Horn for 50 yards, touchdown",1.920,7.000
1,,,,NYG 2,0,7,John Carney kicks extra point good,0.000,0.000
1,,,,NOR 30,0,7,"Mitch Berger kicks off 65 yards, returned by Brian Mitchell for 17 yards (tackle by Deveron Harper)",0.000,0.410
1,12:56,1,10,NYG 22,0,7,Tiki Barber right guard for 2 yards (tackle by Sedrick Hodge and Charles Grant),0.410,0.140
1,12:16,2,8,NYG 24,0,7,Tiki Barber left end for 1 yard (tackle by Darren Howard),0.140,-0.430
1,11:32,,,,0,7,Timeout #1 by New York Giants,0.000,-0.430
1,11:32,3,7,NYG 25,0,7,Jesse Palmer pass complete to Willie Ponder for 1 yard (tackle by Fred Thomas),-0.430,-1.630
1,10:54,4,6,NYG 26,0,7,"Jeff Feagles punts 41 yards, returned by Michael Lewis for 15 yards (tackle by Wesly Mallard)",-1.630,-2.130
1,10:43,1,10,NOR 48,0,7,Aaron Brooks pass complete to Deuce McAllister for 11 yards (tackle by Omar Stoutmire),2.130,2.850
1,10:08,1,10,NYG 41,0,7,"Deuce McAllister up the middle for no gain (tackle by Keith Washington and Dhani Jones). Penalty on Keith Hamilton: Defensive Holding, 5 yards (no play)",2.850,3.180
1,9:45,1,10,NYG 36,0,7,Aaron Brooks pass complete to Boo Williams for 7 yards (tackle by Micheal Barrow),3.180,3.580
