Unnamed: 0,NYG,NOR
First Downs,16,26
Rush-Yds-TDs,26-111-0,29-132-0
Cmp-Att-Yd-TD-INT,15-26-140-1-0,28-39-315-5-0
Sacked-Yards,3-10,1-7
Net Pass Yards,130,308
Total Yards,241,440
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,7-70,7-55
Third Down Conv.,1-9,10-14
Fourth Down Conv.,0-1,0-1
Time of Possession,27:24,32:36
