Unnamed: 0,CHI,GNB
First Downs,18,16
Rush-Yds-TDs,27-139-1,18-69-0
Cmp-Att-Yd-TD-INT,23-35-171-0-0,24-37-341-3-1
Sacked-Yards,4-16,4-40
Net Pass Yards,155,301
Total Yards,294,370
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,5-35,8-72
Third Down Conv.,7-17,5-13
Fourth Down Conv.,0-2,0-1
Time of Possession,33:22,26:38
