Quarter,Time,Tm,Detail,CHI,GNB
1.0,7:11,Bears,Mitchell Trubisky 2 yard rush (Cody Parkey kick),7,0
2.0,14:56,Bears,Cody Parkey 26 yard field goal,10,0
,0:39,Bears,Khalil Mack 27 yard interception return (Cody Parkey kick),17,0
3.0,9:14,Bears,Cody Parkey 33 yard field goal,20,0
,3:37,Packers,Mason Crosby 42 yard field goal,20,3
4.0,13:59,Packers,Geronimo Allison 39 yard pass from Aaron Rodgers (Mason Crosby kick),20,10
,9:01,Packers,Davante Adams 12 yard pass from Aaron Rodgers (Mason Crosby kick),20,17
,2:39,Bears,Cody Parkey 32 yard field goal,23,17
,2:13,Packers,Randall Cobb 75 yard pass from Aaron Rodgers (Mason Crosby kick),23,24
