Unnamed: 0,DET,CHI
First Downs,20,24
Rush-Yds-TDs,24-65-0,30-222-2
Cmp-Att-Yd-TD-INT,21-31-299-2-0,18-30-179-1-0
Sacked-Yards,3-12,1-3
Net Pass Yards,287,176
Total Yards,352,398
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,6-49,5-64
Third Down Conv.,3-10,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,30:36,29:24
