Quarter,Time,Tm,Detail,IND,HOU
1.0,9:52,Colts,T.Y. Hilton 21 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,0
,7:51,Texans,Deshaun Watson 11 yard rush (Ka'imi Fairbairn kick),7,7
,4:33,Texans,Ka'imi Fairbairn 52 yard field goal,7,10
,0:41,Colts,Nyheim Hines 5 yard rush (Rodrigo Blankenship kick),14,10
2.0,9:17,Colts,Jonathan Taylor 39 yard pass from Philip Rivers (Rodrigo Blankenship kick),21,10
,4:39,Texans,David Johnson 6 yard rush (Ka'imi Fairbairn kick),21,17
,1:12,Colts,Rodrigo Blankenship 42 yard field goal,24,17
,0:05,Texans,Ka'imi Fairbairn 34 yard field goal,24,20
4.0,6:02,Colts,"Safety, Deshaun Watson sacked in end zone by Justin Houston",26,20
