Quarter,Time,Tm,Detail,LAC,DEN
1.0,4:33,Broncos,Courtland Sutton 26 yard pass from Drew Lock (Brandon McManus kick),0,7
,0:16,Broncos,Courtland Sutton 5 yard pass from Drew Lock (Brandon McManus kick),0,14
2.0,9:27,Chargers,Michael Badgley 30 yard field goal,3,14
,5:32,Broncos,Brandon McManus 31 yard field goal,3,17
,0:30,Chargers,Austin Ekeler 30 yard pass from Philip Rivers (Michael Badgley kick),10,17
4.0,12:18,Chargers,Keenan Allen 36 yard pass from Philip Rivers (Michael Badgley kick),17,17
,4:26,Broncos,Brandon McManus 52 yard field goal,17,20
,0:14,Chargers,Michael Badgley 46 yard field goal,20,20
,0:00,Broncos,Brandon McManus 53 yard field goal,20,23
