Unnamed: 0,LAC,DEN
First Downs,17,13
Rush-Yds-TDs,29-115-0,25-84-0
Cmp-Att-Yd-TD-INT,20-29-265-2-1,18-28-134-2-1
Sacked-Yards,3-21,0-0
Net Pass Yards,244,134
Total Yards,359,218
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,7-82,3-25
Third Down Conv.,5-15,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,32:09,27:51
