Unnamed: 0,CLE,ARI
First Downs,21,18
Rush-Yds-TDs,21-84-0,27-133-0
Cmp-Att-Yd-TD-INT,21-41-304-2-2,18-30-169-2-1
Sacked-Yards,1-9,0-0
Net Pass Yards,295,169
Total Yards,379,302
Fumbles-Lost,2-2,1-0
Turnovers,4,1
Penalties-Yards,10-77,11-75
Third Down Conv.,4-11,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:57,30:03
