Quarter,Time,Tm,Detail,CLE,ARI
1.0,10:45,Cardinals,Roderick Hood 71 yard interception return (Neil Rackers kick),0,7
,4:59,Cardinals,Leonard Pope 5 yard pass from Kurt Warner (Neil Rackers kick),0,14
,1:41,Browns,Phil Dawson 37 yard field goal,3,14
2.0,1:14,Browns,Jamal Lewis 6 yard pass from Derek Anderson (Phil Dawson kick),10,14
3.0,0:43,Cardinals,Bryant Johnson 1 yard pass from Kurt Warner (Neil Rackers kick),10,21
,0:00,Browns,Braylon Edwards 67 yard pass from Derek Anderson (Kellen Winslow pass from Josh Cribbs),18,21
4.0,12:10,Cardinals,Neil Rackers 33 yard field goal,18,24
,6:17,Browns,Phil Dawson 22 yard field goal,21,24
,1:48,Cardinals,Neil Rackers 19 yard field goal,21,27
