Unnamed: 0,DAL,MIA
First Downs,22,9
Rush-Yds-TDs,38-166-0,14-70-0
Cmp-Att-Yd-TD-INT,18-28-227-2-2,13-24-188-2-1
Sacked-Yards,2-7,3-48
Net Pass Yards,220,140
Total Yards,386,210
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,10-79,9-74
Third Down Conv.,7-14,1-10
Fourth Down Conv.,1-2,0-1
Time of Possession,38:50,21:10
