Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
1,6:59,1,10,DAL 36,0,0,Darren McFadden right guard for 4 yards (tackle by Ndamukong Suh),1.330,1.330
1,6:14,2,6,DAL 40,0,0,Tony Romo pass incomplete short right intended for Cole Beasley,1.330,0.630
1,6:08,3,6,DAL 40,0,0,Tony Romo pass complete short right to Gavin Escobar for 5 yards (tackle by Kelvin Sheppard),0.630,-0.390
1,5:37,4,1,DAL 45,0,0,Darren McFadden middle for 4 yards (tackle by Brent Grimes),-0.390,2.190
1,4:50,1,10,DAL 49,0,0,Darren McFadden left tackle for 3 yards (tackle by Earl Mitchell),2.190,2.050
1,4:12,2,7,MIA 48,0,0,Tony Romo pass incomplete deep left intended for Dez Bryant,2.050,2.050
1,4:06,2,7,MIA 48,0,0,Timeout #1 by Miami Dolphins,2.050,1.360
1,4:06,3,7,MIA 48,0,0,Tony Romo pass complete short left to Dez Bryant for 11 yards (tackle by Zackary Bowman),1.360,3.120
1,3:39,1,10,MIA 37,0,0,Darren McFadden left end for 6 yards (tackle by Jamar Taylor),3.120,3.380
1,2:59,2,4,MIA 31,0,0,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Jordan Phillips),3.380,2.680
1,2:53,3,4,MIA 31,0,0,Tony Romo pass complete short middle to Gavin Escobar for 15 yards (tackle by Kelvin Sheppard),2.680,4.510
1,2:10,1,10,MIA 16,0,0,Tony Romo pass incomplete deep middle intended for Gavin Escobar,4.510,3.900
1,2:05,2,10,MIA 16,0,0,Darren McFadden left guard for 4 yards (tackle by Reshad Jones),3.900,3.730
1,1:23,3,6,MIA 12,0,0,"Tony Romo pass incomplete short left intended for Dez Bryant is intercepted by Brent Grimes at MIA-1 and returned for 17 yards. Penalty on C.J. Mosley: Low Block, 9 yards",3.730,0.380
1,1:13,1,10,MIA 9,0,0,Jay Ajayi left guard for 1 yard (tackle by Greg Hardy),-0.380,-0.710
1,0:39,2,9,MIA 10,0,0,"Jay Ajayi right end for 18 yards (tackle by Byron Jones). Penalty on Jason Fox: Offensive Holding, 5 yards (no play)",-0.710,-1.070
1,0:26,2,14,MIA 5,0,0,Jay Ajayi middle for 3 yards (tackle by Nick Hayden),-1.070,-1.540
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,MIA 8,6,0,"Ryan Tannehill pass incomplete short middle intended for Greg Jennings is intercepted by Rolando McClain at MIA-12 and returned for 12 yards, touchdown",-1.540,-7.000
2,14:55,,,MIA 8,7,0,Dan Bailey kicks extra point good,0.000,0.000
2,14:55,,,DAL 35,7,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,14:55,1,10,MIA 20,7,0,Lamar Miller left end for 16 yards (tackle by Jeff Heath),0.280,1.330
2,14:20,1,10,MIA 36,7,0,"Ryan Tannehill pass complete short right to Damien Williams for -1 yards (tackle by Sean Lee). Penalty on Dion Sims: Offensive Holding, 10 yards (no play)",1.330,0.670
2,13:54,1,20,MIA 26,7,0,Ryan Tannehill left tackle for 7 yards (tackle by Jeff Heath),0.670,0.390
2,13:12,2,13,MIA 33,7,0,Ryan Tannehill pass incomplete short left intended for Lamar Miller,0.390,-0.300
2,13:05,3,13,MIA 33,7,0,Ryan Tannehill pass incomplete deep left intended for Rishard Matthews,-0.300,-1.180
2,13:01,4,13,MIA 33,7,0,"Matt Darr punts 48 yards, returned by Lucky Whitehead for no gain. Penalty on Devin Street: Offensive Holding, 9 yards",-1.180,0.380
2,12:53,1,10,DAL 10,7,0,Darren McFadden left guard for 4 yards (tackle by Kelvin Sheppard),-0.380,-0.460
2,12:28,2,6,DAL 14,7,0,Darren McFadden left end for 2 yards (tackle by Kelvin Sheppard),-0.460,-0.720
2,11:36,3,4,DAL 16,7,0,Tony Romo pass incomplete deep left intended for Dez Bryant,-0.720,-2.390
2,11:30,4,4,DAL 16,7,0,"Chris Jones punts 54 yards, returned by Jarvis Landry for 12 yards (tackle by Gavin Escobar)",-2.390,-1.730
2,11:18,1,10,MIA 42,7,0,Ryan Tannehill pass incomplete short right intended for Jarvis Landry,1.730,1.190
2,11:15,2,10,MIA 42,7,0,Lamar Miller right end for -1 yards (tackle by Rolando McClain),1.190,0.370
2,10:34,3,11,MIA 41,7,0,Ryan Tannehill pass complete short right to Jordan Cameron for 9 yards (tackle by Barry Church),0.370,-0.060
2,9:53,4,2,,7,0,Matt Darr punts 43 yards,-0.060,0.380
2,9:38,1,10,DAL 7,7,0,Tony Romo pass incomplete short left intended for Dez Bryant (defended by Jordan Phillips),-0.380,-0.780
2,9:34,2,10,DAL 7,7,0,Robert Turbin right guard for 2 yards (tackle by Derrick Shelby),-0.780,-1.190
2,8:51,3,8,DAL 9,7,0,"Tony Romo sacked by Olivier Vernon for -5 yards. Penalty on Jamar Taylor: Defensive Holding, 5 yards (no play)",-1.190,-0.280
2,8:26,1,10,DAL 14,7,0,Robert Turbin left tackle for 7 yards (tackle by Kelvin Sheppard and Reshad Jones),-0.280,0.280
2,7:49,2,3,DAL 21,7,0,Robert Turbin middle for 2 yards (tackle by Kelvin Sheppard and Neville Hewitt),0.280,-0.320
2,7:02,3,1,DAL 23,7,0,Darren McFadden left tackle for 3 yards (tackle by Jordan Phillips),-0.320,0.670
2,6:27,1,10,DAL 26,7,0,Tony Romo pass complete short left to Dez Bryant for 10 yards (tackle by Brent Grimes),0.670,1.330
2,5:45,1,10,DAL 36,7,0,Robert Turbin left tackle for 17 yards (tackle by Brent Grimes),1.330,2.460
2,5:02,1,10,MIA 47,7,0,Tony Romo sacked by Olivier Vernon for -3 yards,2.460,1.510
2,4:15,2,13,,7,0,Tony Romo pass complete deep left to Devin Street for 19 yards (tackle by Jamar Taylor),1.510,3.510
2,3:37,1,10,MIA 31,7,0,Darren McFadden left end for -1 yards (tackle by Reshad Jones),3.510,2.830
2,3:16,2,11,MIA 32,7,0,"Darren McFadden left end for 9 yards (tackle by Mike Hull). Penalty on Tyron Smith: Offensive Holding, 11 yards (no play)",2.830,1.350
2,2:35,2,22,MIA 43,7,0,"Penalty on Doug Free: False Start, 5 yards (no play)",1.350,0.670
2,2:00,2,27,MIA 48,7,0,Tony Romo pass complete short middle to Terrance Williams for 17 yards (tackle by Jamar Taylor),0.670,2.280
2,1:23,3,10,MIA 31,13,0,"Tony Romo pass complete deep right to Terrance Williams for 31 yards, touchdown. Penalty on Terrance Williams: Unsportsmanlike Conduct, 15 yards",2.280,7.000
2,1:23,,,MIA 31,14,0,Dan Bailey kicks extra point good,0.000,0.000
2,1:23,,,DAL 20,14,0,"Dan Bailey kicks off 40 yards, returned by Zach Vigil for 6 yards (tackle by Jeff Heath)",0.000,-1.990
2,1:02,1,10,MIA 46,14,0,"Ryan Tannehill pass complete short middle to Jarvis Landry for 2 yards (tackle by Sean Lee and Tyler Patmon). Penalty on Jason Fox: Illegal Formation, 5 yards (no play)",1.990,1.660
2,0:55,1,15,MIA 41,14,0,Ryan Tannehill pass complete deep right to Jarvis Landry for 47 yards (tackle by Byron Jones),1.660,4.780
2,0:28,1,10,DAL 12,14,0,Ryan Tannehill pass incomplete short right intended for Jordan Cameron,4.780,4.100
2,0:23,2,10,DAL 12,14,6,"Ryan Tannehill pass complete short right to Jordan Cameron for 12 yards, touchdown",4.100,7.000
2,0:23,,,DAL 12,14,7,Andrew Franks kicks extra point good,0.000,0.000
2,0:23,,,MIA 35,14,7,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
2,0:13,1,10,DAL 20,14,7,Tony Romo kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,14,7,"Andrew Franks kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DAL 20,14,7,Darren McFadden left guard for 3 yards (tackle by Neville Hewitt),0.280,0.140
3,14:22,2,7,DAL 23,14,7,Darren McFadden right tackle for 20 yards (tackle by Kelvin Sheppard),0.140,1.800
3,13:44,1,10,DAL 43,14,7,Tony Romo pass complete short right to Terrance Williams for 16 yards (tackle by Reshad Jones),1.800,2.850
3,13:08,1,10,MIA 41,14,7,Darren McFadden left guard for -4 yards (tackle by Ndamukong Suh),2.850,1.770
3,12:22,2,14,MIA 45,14,7,Tony Romo pass incomplete short middle intended for Robert Turbin is intercepted by Neville Hewitt at MIA-43. Penalty on Tyron Smith: Offensive Holding (Declined),1.770,-1.800
3,12:15,1,10,MIA 43,14,7,Ryan Tannehill pass complete short left to Rishard Matthews for 15 yards (tackle by Barry Church),1.800,2.790
3,11:55,1,10,DAL 42,14,7,"Lamar Miller left end for 5 yards (tackle by J.J. Wilcox). Penalty on Mike Pouncey: Chop Block, 15 yards (no play)",2.790,1.800
3,11:35,1,25,MIA 43,14,7,"Penalty on Jordan Cameron: False Start, 5 yards (no play)",1.800,1.470
3,11:08,1,30,MIA 38,14,7,Ryan Tannehill pass complete short right to Lamar Miller for no gain,1.470,-0.460
3,10:35,2,30,MIA 38,14,7,"Ryan Tannehill pass complete short middle to Dion Sims for 7 yards (tackle by Rolando McClain). Penalty on Greg Hardy: Defensive Offside, 5 yards (no play)",-0.460,0.220
3,10:05,2,25,MIA 43,14,7,Ryan Tannehill pass complete short right to Jay Ajayi for 3 yards (tackle by Tyler Patmon),0.220,-0.030
3,9:26,3,22,MIA 46,14,7,Ryan Tannehill pass complete short middle to Jarvis Landry for 9 yards (tackle by Sean Lee),-0.030,0.270
3,8:46,4,13,DAL 45,14,7,"Matt Darr punts 35 yards, fair catch by Cole Beasley",0.270,0.380
3,8:40,1,10,DAL 10,14,7,Darren McFadden right end for no gain (tackle by Zach Vigil),-0.380,-0.780
3,8:05,2,10,DAL 10,14,7,Tony Romo pass incomplete short middle intended for Jason Witten,-0.780,-1.420
3,7:59,3,10,DAL 10,14,7,Tony Romo pass complete short middle to Darren McFadden for 8 yards (tackle by Kelvin Sheppard),-1.420,-2.240
3,7:30,4,2,DAL 18,14,7,"Chris Jones punts 50 yards. Penalty on Anthony Hitchens: Offensive Holding, 10 yards",-2.240,-1.730
3,7:13,1,10,MIA 42,14,7,Jay Ajayi right guard for 5 yards (tackle by David Irving),1.730,1.860
3,6:32,2,5,MIA 47,14,7,Ryan Tannehill pass complete deep right to Jay Ajayi for 20 yards (tackle by Randy Gregory),1.860,3.380
3,6:10,1,10,DAL 33,14,7,Jay Ajayi right tackle for 4 yards (tackle by Byron Jones),3.380,3.380
3,5:35,2,6,DAL 29,14,7,Ryan Tannehill for no gain. Mike Pouncey fumbles,3.380,2.680
3,5:26,3,6,DAL 29,14,13,"Ryan Tannehill pass complete deep right to Kenny Stills for 29 yards, touchdown",2.680,7.000
3,5:26,,,DAL 29,14,14,Andrew Franks kicks extra point good,0.000,0.000
3,5:26,,,MIA 35,14,14,"Andrew Franks kicks off 65 yards, touchback",0.000,-0.280
3,5:20,1,10,DAL 20,14,14,Tony Romo pass complete short right to Dez Bryant for 8 yards (tackle by Brent Grimes),0.280,0.810
3,4:45,2,2,DAL 28,14,14,Darren McFadden left end for 2 yards (tackle by Kelvin Sheppard),0.810,0.940
3,3:59,1,10,DAL 30,14,14,Tony Romo pass complete short left to Darren McFadden for 3 yards (tackle by Jamar Taylor and Neville Hewitt),0.940,0.800
3,3:15,2,7,DAL 33,14,14,Robert Turbin middle for 8 yards (tackle by Reshad Jones),0.800,1.660
3,2:49,1,10,DAL 41,14,14,Tony Romo pass complete short right to Terrance Williams for 15 yards (tackle by Jamar Taylor),1.660,2.650
3,1:44,1,10,MIA 44,14,14,Darren McFadden right end for 35 yards (tackle by Reshad Jones),2.650,5.140
3,1:14,1,9,MIA 9,14,14,"Robert Turbin middle for 7 yards (tackle by Walt Aikens and Neville Hewitt). Penalty on Zack Martin: Offensive Holding, 10 yards (no play)",5.140,4.230
3,0:41,1,19,MIA 19,14,14,Tony Romo middle for 3 yards (tackle by Olivier Vernon and Ndamukong Suh),4.230,3.340
Quarter,Time,Down,ToGo,Location,DAL,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,MIA 16,20,14,"Tony Romo pass complete deep middle to Dez Bryant for 16 yards, touchdown",3.340,7.000
4,15:00,,,MIA 16,21,14,Dan Bailey kicks extra point good,0.000,0.000
4,15:00,,,DAL 35,21,14,Dan Bailey kicks off 61 yards,0.000,0.380
4,14:54,1,10,MIA 4,21,14,Lamar Miller right guard for 4 yards (tackle by Sean Lee),-0.380,-0.490
4,14:16,2,6,MIA 8,21,14,Lamar Miller middle for 2 yards (tackle by Jack Crawford),-0.490,-0.720
4,13:34,3,4,MIA 10,21,14,"Ryan Tannehill right end for 5 yards (tackle by Barry Church). Penalty on Jason Fox: Offensive Holding, 5 yards (no play)",-0.720,-1.300
4,13:15,3,9,MIA 5,21,14,Ryan Tannehill pass incomplete short middle intended for Jarvis Landry,-1.300,-2.490
4,13:08,4,9,MIA 5,21,14,"Matt Darr punts 49 yards, returned by Lucky Whitehead for 18 yards (tackle by Matt Darr). Penalty on Matt Darr: Unnecessary Roughness, 15 yards",-2.490,-4.170
4,12:55,1,10,MIA 21,21,14,Robert Turbin left end for -3 yards (tackle by Kelvin Sheppard),4.170,3.220
4,12:16,2,13,MIA 24,21,14,Tony Romo pass complete short middle to Robert Turbin for 3 yards (tackle by Kelvin Sheppard),3.220,2.940
4,11:34,3,10,MIA 21,21,14,Tony Romo pass complete short right to Jason Witten for 12 yards (tackle by Walt Aikens),2.940,5.140
4,11:10,1,9,MIA 9,21,14,Robert Turbin right guard for 2 yards (tackle by Kelvin Sheppard),5.140,5.140
4,10:04,1,9,MIA 9,21,14,Timeout #1 by Dallas Cowboys,5.140,4.760
4,10:04,2,7,MIA 7,21,14,Tony Romo pass incomplete short left intended for Cole Beasley,4.760,3.810
4,9:59,3,7,MIA 7,21,14,Tony Romo sacked by Derrick Shelby for -4 yards,3.810,2.700
4,9:23,4,11,MIA 11,24,14,Dan Bailey 30 yard field goal good,2.700,3.000
4,9:23,,,DAL 35,24,14,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,9:09,1,10,MIA 20,24,14,Ryan Tannehill pass complete deep middle to Kenny Stills for 23 yards (tackle by Brandon Carr and Jeff Heath),0.280,1.800
4,8:35,1,10,MIA 43,24,14,Ryan Tannehill middle for 4 yards (tackle by Jeremy Mincey),1.800,1.790
4,7:56,2,6,MIA 47,24,14,Ryan Tannehill sacked by Jack Crawford for -11 yards,1.790,-0.360
4,7:15,3,17,MIA 36,24,14,Ryan Tannehill pass complete short middle to Lamar Miller for 11 yards (tackle by Sean Lee),-0.360,-0.260
4,6:37,4,6,MIA 47,24,14,"Matt Darr punts 40 yards, fair catch by Cole Beasley",-0.260,0.320
4,6:29,1,10,DAL 13,24,14,Darren McFadden left end for -4 yards (tackle by Olivier Vernon),-0.320,-1.070
4,5:47,2,14,DAL 9,24,14,Darren McFadden left end for no gain (tackle by Olivier Vernon). Penalty on Zack Martin: Offensive Holding (Declined),-1.070,-1.890
4,5:16,3,14,DAL 9,24,14,Darren McFadden left end for 15 yards (tackle by Michael Thomas),-1.890,0.540
4,4:30,1,10,DAL 24,24,14,Darren McFadden left end for -1 yards (tackle by Reshad Jones),0.540,0.540
4,4:23,1,10,DAL 24,24,14,Timeout #1 by Miami Dolphins,0.540,-0.140
4,4:23,2,11,DAL 23,24,14,Darren McFadden right guard for 7 yards (tackle by Zach Vigil),-0.140,-0.140
4,4:19,2,11,DAL 23,24,14,Timeout #2 by Miami Dolphins,-0.140,0.100
4,4:19,3,4,DAL 30,24,14,Tony Romo pass complete short left to Cole Beasley for 14 yards (tackle by Michael Thomas),0.100,1.860
4,3:40,1,10,DAL 44,24,14,Darren McFadden middle for 11 yards (tackle by Neville Hewitt),1.860,2.590
4,2:54,1,10,MIA 45,24,14,Darren McFadden middle for 10 yards (tackle by Kelvin Sheppard and Brent Grimes),2.590,2.590
4,2:04,1,10,MIA 45,24,14,Timeout #2 by Dallas Cowboys,2.590,3.250
4,2:04,1,10,MIA 35,24,14,Darren McFadden middle for 2 yards (tackle by Jordan Phillips),3.250,2.970
4,1:58,2,8,MIA 33,24,14,Darren McFadden middle for 2 yards (tackle by Ndamukong Suh),2.970,2.970
4,1:54,2,8,MIA 33,24,14,Timeout #3 by Miami Dolphins,2.970,2.540
4,1:54,3,6,MIA 31,24,14,Darren McFadden left tackle for no gain (tackle by Olivier Vernon and C.J. Mosley),2.540,2.540
4,1:09,3,6,MIA 31,24,14,Timeout #3 by Dallas Cowboys,2.540,1.340
4,1:09,4,6,MIA 31,24,14,"Penalty on Doug Free: False Start, 5 yards (no play)",1.340,0.880
4,1:09,4,11,MIA 36,24,14,Darren McFadden right tackle for -2 yards (tackle by Ndamukong Suh and Derrick Shelby),0.880,-1.470
4,1:04,1,10,MIA 38,24,14,Ryan Tannehill sacked by Greg Hardy and David Irving for -15 yards,1.470,-1.100
4,0:36,2,25,MIA 23,24,14,Ryan Tannehill pass incomplete short left intended for Jordan Cameron,-1.100,-1.750
4,0:27,3,25,MIA 23,24,14,Ryan Tannehill pass complete short right to Jarvis Landry for 7 yards (tackle by Jack Crawford),-1.750,-1.750
4,0:27,3,25,MIA 23,24,14,Timeout #4 by Dallas Cowboys,-1.750,-1.370
4,0:12,4,18,MIA 30,24,14,Ryan Tannehill sacked by Demarcus Lawrence for -22 yards,-1.370,2.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
